#t:nan-nan ; rate:nan-nan
rate: 14808 	 duration: 500 
rate: 18672 	 duration: 500 
rate: 16104 	 duration: 500 
rate: 15264 	 duration: 500 
rate: 19920 	 duration: 500 
rate: 21552 	 duration: 500 
rate: 24648 	 duration: 500 
rate: 24720 	 duration: 500 
rate: 21912 	 duration: 500 
rate: 19176 	 duration: 500 
rate: 20868 	 duration: 502 
rate: 20616 	 duration: 500 
rate: 17532 	 duration: 501 
rate: 17280 	 duration: 500 
rate: 17749 	 duration: 503 
rate: 16728 	 duration: 500 
rate: 18792 	 duration: 500 
rate: 22128 	 duration: 500 
rate: 17064 	 duration: 500 
rate: 15048 	 duration: 500 
rate: 9748 	 duration: 501 
rate: 11976 	 duration: 500 
rate: 11976 	 duration: 500 
rate: 11472 	 duration: 500 
rate: 13032 	 duration: 500 
rate: 18912 	 duration: 500 
rate: 19488 	 duration: 500 
rate: 15024 	 duration: 500 
rate: 19032 	 duration: 500 
rate: 8156 	 duration: 537 
rate: 10728 	 duration: 500 
rate: 12335 	 duration: 501 
rate: 16536 	 duration: 500 
rate: 13968 	 duration: 500 
rate: 11977 	 duration: 545 
rate: 12471 	 duration: 509 
rate: 12936 	 duration: 500 
rate: 17616 	 duration: 500 
rate: 12360 	 duration: 500 
rate: 13008 	 duration: 500 
rate: 20263 	 duration: 501 
rate: 11908 	 duration: 523 
rate: 9227 	 duration: 502 
rate: 12984 	 duration: 500 
rate: 13293 	 duration: 501 
rate: 8352 	 duration: 500 
rate: 9580 	 duration: 501 
rate: 11737 	 duration: 502 
rate: 10878 	 duration: 503 
rate: 12479 	 duration: 501 
rate: 10128 	 duration: 500 
rate: 10992 	 duration: 500 
rate: 12426 	 duration: 507 
rate: 11165 	 duration: 503 
rate: 8832 	 duration: 500 
rate: 10200 	 duration: 500 
rate: 10637 	 duration: 502 
rate: 9744 	 duration: 500 
rate: 9508 	 duration: 501 
rate: 11568 	 duration: 500 
rate: 16191 	 duration: 501 
rate: 14256 	 duration: 500 
rate: 15096 	 duration: 500 
rate: 16574 	 duration: 501 
rate: 15752 	 duration: 502 
rate: 20616 	 duration: 500 
rate: 10344 	 duration: 500 
rate: 13368 	 duration: 500 
rate: 20160 	 duration: 500 
rate: 20352 	 duration: 500 
rate: 24888 	 duration: 500 
rate: 18200 	 duration: 509 
rate: 15360 	 duration: 500 
rate: 20664 	 duration: 500 
rate: 13920 	 duration: 500 
rate: 19848 	 duration: 500 
rate: 18024 	 duration: 500 
rate: 21216 	 duration: 500 
rate: 20736 	 duration: 500 
rate: 21552 	 duration: 500 
rate: 20184 	 duration: 500 
rate: 20742 	 duration: 501 
rate: 19452 	 duration: 504 
rate: 19440 	 duration: 500 
rate: 19800 	 duration: 500 
rate: 20232 	 duration: 500 
rate: 19896 	 duration: 500 
rate: 20352 	 duration: 500 
rate: 21288 	 duration: 500 
rate: 21576 	 duration: 500 
rate: 20016 	 duration: 500 
rate: 19314 	 duration: 502 
rate: 16656 	 duration: 500 
rate: 18984 	 duration: 500 
rate: 20808 	 duration: 500 
rate: 17496 	 duration: 500 
rate: 19608 	 duration: 500 
rate: 17448 	 duration: 500 
rate: 19008 	 duration: 500 
rate: 21413 	 duration: 501 
rate: 22464 	 duration: 500 
rate: 19704 	 duration: 500 
rate: 20784 	 duration: 500 
rate: 19248 	 duration: 500 
rate: 23184 	 duration: 500 
rate: 21681 	 duration: 502 
rate: 23160 	 duration: 500 
rate: 24264 	 duration: 500 
rate: 24288 	 duration: 500 
rate: 23232 	 duration: 500 
rate: 22560 	 duration: 500 
rate: 23232 	 duration: 500 
rate: 23760 	 duration: 500 
rate: 24648 	 duration: 500 
rate: 19656 	 duration: 500 
rate: 21552 	 duration: 500 
rate: 25728 	 duration: 500 
rate: 16440 	 duration: 500 
rate: 21131 	 duration: 502 
rate: 15240 	 duration: 500 
rate: 25176 	 duration: 500 
rate: 23160 	 duration: 500 
rate: 23328 	 duration: 500 
rate: 23280 	 duration: 500 
rate: 23544 	 duration: 500 
rate: 23424 	 duration: 500 
rate: 23424 	 duration: 500 
rate: 23544 	 duration: 500 
rate: 23520 	 duration: 500 
rate: 22419 	 duration: 501 
rate: 21648 	 duration: 500 
rate: 21011 	 duration: 502 
rate: 20976 	 duration: 500 
rate: 21528 	 duration: 500 
rate: 24360 	 duration: 500 
rate: 24984 	 duration: 500 
rate: 25656 	 duration: 500 
rate: 23640 	 duration: 500 
rate: 23328 	 duration: 500 
rate: 23717 	 duration: 509 
rate: 16056 	 duration: 500 
rate: 24024 	 duration: 500 
rate: 20568 	 duration: 500 
rate: 24504 	 duration: 500 
rate: 24024 	 duration: 500 
rate: 23256 	 duration: 500 
rate: 23136 	 duration: 500 
rate: 21744 	 duration: 500 
rate: 21072 	 duration: 500 
rate: 22248 	 duration: 500 
rate: 24574 	 duration: 501 
rate: 12514 	 duration: 583 
rate: 21216 	 duration: 500 
rate: 21624 	 duration: 500 
rate: 16104 	 duration: 500 
