#t:nan-nan ; rate:nan-nan
rate: 8418 	 duration: 506 
rate: 9776 	 duration: 502 
rate: 9519 	 duration: 508 
rate: 10656 	 duration: 500 
rate: 10344 	 duration: 500 
rate: 8472 	 duration: 500 
rate: 9118 	 duration: 508 
rate: 9699 	 duration: 506 
rate: 9346 	 duration: 502 
rate: 7928 	 duration: 504 
rate: 5689 	 duration: 502 
rate: 6597 	 duration: 502 
rate: 6192 	 duration: 500 
rate: 5448 	 duration: 500 
rate: 4920 	 duration: 500 
rate: 5413 	 duration: 501 
rate: 6912 	 duration: 500 
rate: 6769 	 duration: 507 
rate: 5856 	 duration: 502 
rate: 6120 	 duration: 500 
rate: 6711 	 duration: 506 
rate: 5724 	 duration: 501 
rate: 7560 	 duration: 500 
rate: 7029 	 duration: 507 
rate: 7300 	 duration: 503 
rate: 6336 	 duration: 500 
rate: 9456 	 duration: 500 
rate: 9878 	 duration: 509 
rate: 9696 	 duration: 500 
rate: 10419 	 duration: 501 
rate: 10344 	 duration: 500 
rate: 8448 	 duration: 500 
rate: 9343 	 duration: 506 
rate: 9504 	 duration: 500 
rate: 8455 	 duration: 501 
rate: 6035 	 duration: 501 
rate: 5031 	 duration: 508 
rate: 7176 	 duration: 500 
rate: 8087 	 duration: 503 
rate: 9083 	 duration: 506 
rate: 9940 	 duration: 501 
rate: 6952 	 duration: 523 
rate: 7248 	 duration: 500 
rate: 7656 	 duration: 500 
rate: 9672 	 duration: 500 
rate: 9456 	 duration: 500 
rate: 12024 	 duration: 500 
rate: 11833 	 duration: 503 
rate: 10840 	 duration: 507 
rate: 10128 	 duration: 500 
rate: 10320 	 duration: 500 
rate: 9096 	 duration: 500 
rate: 9418 	 duration: 502 
rate: 7443 	 duration: 503 
rate: 7712 	 duration: 501 
rate: 9017 	 duration: 515 
rate: 8448 	 duration: 500 
rate: 8426 	 duration: 507 
rate: 7804 	 duration: 512 
rate: 8256 	 duration: 500 
rate: 10275 	 duration: 501 
rate: 10479 	 duration: 505 
rate: 9840 	 duration: 500 
rate: 9360 	 duration: 500 
rate: 7651 	 duration: 505 
rate: 9689 	 duration: 509 
rate: 10008 	 duration: 500 
rate: 11304 	 duration: 500 
rate: 9384 	 duration: 500 
rate: 9072 	 duration: 500 
rate: 8904 	 duration: 500 
rate: 8016 	 duration: 500 
rate: 10347 	 duration: 501 
rate: 7680 	 duration: 500 
rate: 10368 	 duration: 500 
rate: 10443 	 duration: 501 
rate: 10416 	 duration: 500 
rate: 9585 	 duration: 502 
rate: 8862 	 duration: 501 
rate: 9552 	 duration: 500 
rate: 12120 	 duration: 500 
rate: 9240 	 duration: 500 
rate: 7664 	 duration: 501 
rate: 9833 	 duration: 504 
rate: 6792 	 duration: 500 
rate: 9035 	 duration: 502 
rate: 10080 	 duration: 500 
rate: 8472 	 duration: 500 
rate: 9845 	 duration: 518 
rate: 11688 	 duration: 500 
rate: 7552 	 duration: 545 
rate: 9408 	 duration: 500 
rate: 10800 	 duration: 500 
rate: 11524 	 duration: 505 
rate: 8256 	 duration: 500 
rate: 8469 	 duration: 503 
rate: 7872 	 duration: 500 
rate: 7776 	 duration: 500 
rate: 7832 	 duration: 501 
rate: 8670 	 duration: 501 
rate: 7584 	 duration: 500 
rate: 10203 	 duration: 501 
rate: 9307 	 duration: 508 
rate: 10592 	 duration: 503 
rate: 10523 	 duration: 504 
rate: 9221 	 duration: 501 
rate: 7089 	 duration: 501 
rate: 8509 	 duration: 502 
rate: 7000 	 duration: 504 
rate: 5976 	 duration: 502 
rate: 8071 	 duration: 501 
rate: 8232 	 duration: 500 
rate: 6201 	 duration: 507 
rate: 9149 	 duration: 501 
rate: 10608 	 duration: 500 
rate: 9864 	 duration: 500 
rate: 8064 	 duration: 500 
rate: 7656 	 duration: 500 
rate: 8000 	 duration: 507 
rate: 7123 	 duration: 502 
rate: 8520 	 duration: 500 
rate: 8790 	 duration: 501 
rate: 9788 	 duration: 510 
rate: 8784 	 duration: 500 
rate: 11328 	 duration: 500 
rate: 12168 	 duration: 500 
rate: 11472 	 duration: 500 
rate: 10416 	 duration: 500 
rate: 10850 	 duration: 501 
rate: 8619 	 duration: 504 
rate: 8340 	 duration: 505 
rate: 8294 	 duration: 502 
rate: 7680 	 duration: 500 
rate: 7393 	 duration: 508 
rate: 8448 	 duration: 500 
rate: 9792 	 duration: 500 
rate: 8136 	 duration: 500 
rate: 5580 	 duration: 501 
rate: 6549 	 duration: 502 
rate: 7625 	 duration: 502 
rate: 7642 	 duration: 504 
rate: 7089 	 duration: 501 
rate: 10560 	 duration: 500 
rate: 9848 	 duration: 502 
rate: 9194 	 duration: 509 
rate: 8390 	 duration: 502 
rate: 6251 	 duration: 501 
rate: 8455 	 duration: 501 
rate: 8811 	 duration: 508 
rate: 9179 	 duration: 502 
rate: 9936 	 duration: 500 
rate: 8554 	 duration: 505 
rate: 10512 	 duration: 500 
rate: 8863 	 duration: 505 
rate: 10419 	 duration: 501 
rate: 10536 	 duration: 500 
rate: 11544 	 duration: 500 
rate: 11257 	 duration: 501 
rate: 8952 	 duration: 500 
rate: 8232 	 duration: 500 
rate: 11208 	 duration: 500 
rate: 10682 	 duration: 501 
rate: 11185 	 duration: 501 
rate: 11616 	 duration: 500 
rate: 11280 	 duration: 500 
rate: 10872 	 duration: 500 
rate: 8712 	 duration: 500 
rate: 7992 	 duration: 500 
rate: 8592 	 duration: 500 
rate: 6860 	 duration: 502 
rate: 6601 	 duration: 509 
rate: 5664 	 duration: 500 
rate: 9885 	 duration: 505 
rate: 11306 	 duration: 502 
rate: 9240 	 duration: 500 
rate: 9346 	 duration: 502 
rate: 9700 	 duration: 501 
rate: 11185 	 duration: 501 
rate: 9197 	 duration: 501 
rate: 8380 	 duration: 504 
rate: 8571 	 duration: 504 
rate: 9888 	 duration: 500 
rate: 8088 	 duration: 500 
rate: 7777 	 duration: 503 
rate: 7928 	 duration: 501 
rate: 6693 	 duration: 502 
rate: 10200 	 duration: 500 
rate: 10203 	 duration: 501 
rate: 9341 	 duration: 501 
rate: 9065 	 duration: 503 
rate: 9781 	 duration: 503 
rate: 10326 	 duration: 502 
rate: 8357 	 duration: 504 
rate: 9240 	 duration: 500 
rate: 10491 	 duration: 501 
rate: 6751 	 duration: 503 
rate: 5496 	 duration: 500 
rate: 7776 	 duration: 500 
rate: 12024 	 duration: 500 
