#t:nan-nan ; rate:nan-nan
rate: 819 	 duration: 527 
rate: 123 	 duration: 871 
rate: 20352 	 duration: 500 
rate: 9892 	 duration: 501 
rate: 13176 	 duration: 500 
rate: 13320 	 duration: 500 
rate: 13488 	 duration: 500 
rate: 14688 	 duration: 500 
rate: 13128 	 duration: 500 
rate: 13440 	 duration: 500 
rate: 14232 	 duration: 500 
rate: 13272 	 duration: 500 
rate: 13152 	 duration: 500 
rate: 13704 	 duration: 500 
rate: 13968 	 duration: 500 
rate: 11160 	 duration: 500 
rate: 12960 	 duration: 500 
rate: 13128 	 duration: 500 
rate: 12646 	 duration: 501 
rate: 13080 	 duration: 500 
rate: 13296 	 duration: 500 
rate: 13656 	 duration: 500 
rate: 14928 	 duration: 500 
rate: 14304 	 duration: 500 
rate: 14568 	 duration: 500 
rate: 14976 	 duration: 500 
rate: 13152 	 duration: 500 
rate: 13440 	 duration: 500 
rate: 12792 	 duration: 500 
rate: 14136 	 duration: 500 
rate: 14856 	 duration: 500 
rate: 14952 	 duration: 500 
rate: 12696 	 duration: 500 
rate: 14928 	 duration: 500 
rate: 12120 	 duration: 500 
rate: 10872 	 duration: 500 
rate: 13896 	 duration: 500 
rate: 15096 	 duration: 500 
rate: 15072 	 duration: 500 
rate: 14784 	 duration: 500 
rate: 13632 	 duration: 500 
rate: 13632 	 duration: 500 
rate: 15648 	 duration: 500 
rate: 15096 	 duration: 500 
rate: 14016 	 duration: 500 
rate: 14928 	 duration: 500 
rate: 13296 	 duration: 500 
rate: 12888 	 duration: 500 
rate: 12936 	 duration: 500 
rate: 12672 	 duration: 500 
rate: 14424 	 duration: 500 
rate: 15000 	 duration: 500 
rate: 16056 	 duration: 500 
rate: 14568 	 duration: 500 
rate: 12384 	 duration: 500 
rate: 14088 	 duration: 500 
rate: 14904 	 duration: 500 
rate: 15096 	 duration: 500 
rate: 14880 	 duration: 500 
rate: 15000 	 duration: 500 
rate: 14184 	 duration: 500 
rate: 12960 	 duration: 500 
rate: 15888 	 duration: 500 
rate: 14832 	 duration: 500 
rate: 13848 	 duration: 500 
rate: 15096 	 duration: 500 
rate: 14784 	 duration: 500 
rate: 14856 	 duration: 500 
rate: 14040 	 duration: 500 
rate: 12888 	 duration: 500 
rate: 13176 	 duration: 500 
rate: 14808 	 duration: 500 
rate: 17160 	 duration: 500 
rate: 15144 	 duration: 500 
rate: 14424 	 duration: 500 
rate: 11401 	 duration: 501 
rate: 14016 	 duration: 500 
rate: 14640 	 duration: 500 
rate: 14832 	 duration: 500 
rate: 9459 	 duration: 666 
rate: 15600 	 duration: 500 
rate: 11856 	 duration: 500 
rate: 15024 	 duration: 500 
rate: 14136 	 duration: 500 
rate: 14640 	 duration: 500 
rate: 14904 	 duration: 500 
rate: 14232 	 duration: 500 
rate: 14976 	 duration: 500 
rate: 15048 	 duration: 500 
rate: 14544 	 duration: 500 
rate: 15000 	 duration: 500 
rate: 14976 	 duration: 500 
rate: 12888 	 duration: 500 
rate: 13128 	 duration: 500 
rate: 13248 	 duration: 500 
rate: 11160 	 duration: 500 
rate: 12120 	 duration: 500 
rate: 12336 	 duration: 500 
rate: 13704 	 duration: 500 
rate: 14976 	 duration: 500 
rate: 11616 	 duration: 500 
rate: 12456 	 duration: 500 
rate: 13152 	 duration: 500 
rate: 13008 	 duration: 500 
rate: 11713 	 duration: 502 
rate: 11376 	 duration: 500 
rate: 12864 	 duration: 500 
rate: 11160 	 duration: 500 
rate: 12960 	 duration: 500 
rate: 14472 	 duration: 500 
rate: 15096 	 duration: 500 
rate: 14904 	 duration: 500 
rate: 14736 	 duration: 500 
rate: 13608 	 duration: 500 
rate: 14232 	 duration: 500 
rate: 14952 	 duration: 500 
rate: 13632 	 duration: 500 
rate: 11616 	 duration: 501 
rate: 13368 	 duration: 500 
rate: 13896 	 duration: 500 
rate: 13416 	 duration: 500 
rate: 12288 	 duration: 500 
rate: 12696 	 duration: 500 
rate: 14352 	 duration: 500 
rate: 14736 	 duration: 500 
rate: 14376 	 duration: 500 
rate: 13536 	 duration: 500 
rate: 14640 	 duration: 500 
rate: 13584 	 duration: 500 
rate: 12048 	 duration: 500 
rate: 14184 	 duration: 500 
rate: 14856 	 duration: 500 
rate: 15264 	 duration: 500 
rate: 14736 	 duration: 500 
rate: 14448 	 duration: 500 
rate: 14784 	 duration: 500 
rate: 14856 	 duration: 500 
rate: 12456 	 duration: 500 
rate: 15096 	 duration: 500 
rate: 14616 	 duration: 500 
rate: 15120 	 duration: 500 
rate: 12720 	 duration: 500 
rate: 10992 	 duration: 500 
rate: 12048 	 duration: 500 
rate: 11184 	 duration: 500 
rate: 11784 	 duration: 500 
rate: 13344 	 duration: 500 
rate: 13728 	 duration: 500 
rate: 14424 	 duration: 500 
rate: 14640 	 duration: 500 
rate: 14688 	 duration: 500 
rate: 15072 	 duration: 500 
rate: 15120 	 duration: 500 
rate: 14467 	 duration: 501 
rate: 13392 	 duration: 500 
rate: 11112 	 duration: 500 
rate: 12120 	 duration: 500 
rate: 14112 	 duration: 500 
rate: 15024 	 duration: 500 
rate: 14616 	 duration: 500 
rate: 15264 	 duration: 500 
rate: 14952 	 duration: 500 
rate: 12119 	 duration: 501 
rate: 12144 	 duration: 500 
rate: 13104 	 duration: 500 
rate: 12672 	 duration: 500 
rate: 11880 	 duration: 500 
rate: 12288 	 duration: 500 
rate: 14784 	 duration: 500 
rate: 15024 	 duration: 500 
rate: 14904 	 duration: 500 
rate: 14760 	 duration: 500 
rate: 15072 	 duration: 500 
rate: 11232 	 duration: 500 
rate: 11520 	 duration: 500 
rate: 11544 	 duration: 500 
rate: 11496 	 duration: 500 
rate: 11163 	 duration: 502 
rate: 13608 	 duration: 500 
rate: 14592 	 duration: 500 
rate: 15024 	 duration: 500 
rate: 14928 	 duration: 500 
rate: 14664 	 duration: 500 
rate: 14784 	 duration: 500 
rate: 14880 	 duration: 500 
rate: 13752 	 duration: 500 
rate: 11952 	 duration: 500 
rate: 11712 	 duration: 500 
rate: 11736 	 duration: 500 
rate: 11352 	 duration: 500 
rate: 14376 	 duration: 500 
rate: 12816 	 duration: 500 
rate: 11328 	 duration: 500 
rate: 11832 	 duration: 500 
rate: 10512 	 duration: 500 
rate: 11136 	 duration: 500 
rate: 12360 	 duration: 500 
rate: 14304 	 duration: 500 
