#t:nan-nan ; rate:nan-nan
rate: 11164 	 duration: 704 
rate: 18192 	 duration: 500 
rate: 23016 	 duration: 500 
rate: 20328 	 duration: 500 
rate: 23928 	 duration: 500 
rate: 23016 	 duration: 500 
rate: 19656 	 duration: 500 
rate: 22608 	 duration: 500 
rate: 15920 	 duration: 502 
rate: 17568 	 duration: 500 
rate: 7627 	 duration: 505 
rate: 20784 	 duration: 500 
rate: 18059 	 duration: 501 
rate: 5784 	 duration: 502 
rate: 5593 	 duration: 502 
rate: 13416 	 duration: 500 
rate: 7914 	 duration: 517 
rate: 10800 	 duration: 500 
rate: 20664 	 duration: 500 
rate: 12264 	 duration: 500 
rate: 7128 	 duration: 500 
rate: 16584 	 duration: 500 
rate: 15005 	 duration: 507 
rate: 19320 	 duration: 500 
rate: 22800 	 duration: 500 
rate: 20280 	 duration: 500 
rate: 20208 	 duration: 500 
rate: 19944 	 duration: 500 
rate: 16968 	 duration: 500 
rate: 9662 	 duration: 503 
rate: 5400 	 duration: 500 
rate: 18360 	 duration: 500 
rate: 19728 	 duration: 500 
rate: 9576 	 duration: 500 
rate: 6131 	 duration: 501 
rate: 13003 	 duration: 538 
rate: 5904 	 duration: 502 
rate: 16056 	 duration: 500 
rate: 16104 	 duration: 500 
rate: 4414 	 duration: 511 
rate: 3540 	 duration: 505 
rate: 8112 	 duration: 500 
rate: 8352 	 duration: 500 
rate: 13488 	 duration: 500 
rate: 15272 	 duration: 506 
rate: 13512 	 duration: 500 
rate: 13800 	 duration: 500 
rate: 17328 	 duration: 500 
rate: 9822 	 duration: 507 
rate: 13608 	 duration: 500 
rate: 6504 	 duration: 500 
rate: 16752 	 duration: 500 
rate: 10179 	 duration: 501 
rate: 16560 	 duration: 500 
rate: 15384 	 duration: 500 
rate: 14544 	 duration: 500 
rate: 18888 	 duration: 500 
rate: 11832 	 duration: 500 
rate: 12285 	 duration: 504 
rate: 9681 	 duration: 502 
rate: 6480 	 duration: 500 
rate: 19368 	 duration: 500 
rate: 21696 	 duration: 500 
rate: 24816 	 duration: 500 
rate: 21312 	 duration: 500 
rate: 19176 	 duration: 500 
rate: 20568 	 duration: 500 
rate: 23568 	 duration: 500 
rate: 23472 	 duration: 500 
rate: 24504 	 duration: 500 
rate: 7896 	 duration: 500 
rate: 22488 	 duration: 500 
rate: 20856 	 duration: 500 
rate: 24072 	 duration: 500 
rate: 21576 	 duration: 500 
rate: 21432 	 duration: 500 
rate: 25296 	 duration: 500 
rate: 12524 	 duration: 503 
