#t:nan-nan ; rate:nan-nan
rate: 23136 	 duration: 500 
rate: 19272 	 duration: 500 
rate: 21024 	 duration: 500 
rate: 19760 	 duration: 501 
rate: 22344 	 duration: 500 
rate: 22536 	 duration: 500 
rate: 21120 	 duration: 500 
rate: 21792 	 duration: 500 
rate: 22632 	 duration: 500 
rate: 19296 	 duration: 500 
rate: 23688 	 duration: 500 
rate: 20136 	 duration: 500 
rate: 20766 	 duration: 501 
rate: 23376 	 duration: 500 
rate: 22800 	 duration: 500 
rate: 19224 	 duration: 500 
rate: 21072 	 duration: 500 
rate: 20112 	 duration: 500 
rate: 21384 	 duration: 500 
rate: 21672 	 duration: 500 
rate: 21888 	 duration: 500 
rate: 20880 	 duration: 500 
rate: 23640 	 duration: 500 
rate: 20136 	 duration: 500 
rate: 19968 	 duration: 500 
rate: 23088 	 duration: 500 
rate: 21504 	 duration: 500 
rate: 17808 	 duration: 500 
rate: 24648 	 duration: 500 
rate: 22200 	 duration: 500 
rate: 22704 	 duration: 500 
rate: 22680 	 duration: 500 
rate: 21672 	 duration: 500 
rate: 22152 	 duration: 500 
rate: 23856 	 duration: 500 
rate: 24048 	 duration: 500 
rate: 25728 	 duration: 500 
rate: 17784 	 duration: 500 
rate: 19056 	 duration: 500 
rate: 23544 	 duration: 500 
rate: 24192 	 duration: 500 
rate: 18984 	 duration: 500 
rate: 22416 	 duration: 500 
rate: 18456 	 duration: 500 
rate: 22776 	 duration: 500 
rate: 23304 	 duration: 500 
rate: 19368 	 duration: 500 
rate: 22920 	 duration: 500 
rate: 23616 	 duration: 500 
rate: 20880 	 duration: 500 
rate: 22608 	 duration: 500 
rate: 19584 	 duration: 500 
rate: 19656 	 duration: 500 
rate: 21528 	 duration: 500 
rate: 22848 	 duration: 500 
rate: 20640 	 duration: 500 
rate: 22536 	 duration: 500 
rate: 19272 	 duration: 500 
rate: 22224 	 duration: 500 
rate: 21984 	 duration: 500 
rate: 21576 	 duration: 500 
rate: 22008 	 duration: 500 
rate: 19728 	 duration: 500 
rate: 24192 	 duration: 500 
rate: 21840 	 duration: 500 
rate: 22224 	 duration: 500 
rate: 22200 	 duration: 500 
rate: 18744 	 duration: 500 
rate: 23592 	 duration: 500 
rate: 22152 	 duration: 500 
rate: 19992 	 duration: 500 
rate: 23376 	 duration: 500 
rate: 23640 	 duration: 500 
rate: 22224 	 duration: 500 
rate: 22224 	 duration: 500 
rate: 24720 	 duration: 500 
rate: 21240 	 duration: 500 
rate: 18144 	 duration: 500 
rate: 20040 	 duration: 500 
rate: 20496 	 duration: 500 
rate: 21528 	 duration: 500 
rate: 19368 	 duration: 500 
rate: 24264 	 duration: 500 
rate: 21696 	 duration: 500 
rate: 19968 	 duration: 500 
rate: 20328 	 duration: 500 
rate: 20928 	 duration: 500 
rate: 20928 	 duration: 500 
rate: 20922 	 duration: 503 
rate: 21216 	 duration: 500 
rate: 22728 	 duration: 500 
rate: 21864 	 duration: 500 
rate: 18816 	 duration: 500 
rate: 21024 	 duration: 500 
rate: 20640 	 duration: 500 
rate: 20664 	 duration: 500 
rate: 20359 	 duration: 501 
rate: 22152 	 duration: 500 
rate: 22704 	 duration: 500 
rate: 25392 	 duration: 500 
rate: 19425 	 duration: 501 
rate: 17304 	 duration: 500 
rate: 22560 	 duration: 500 
rate: 20328 	 duration: 500 
rate: 22968 	 duration: 500 
rate: 22536 	 duration: 500 
rate: 22776 	 duration: 500 
rate: 18888 	 duration: 500 
rate: 22632 	 duration: 500 
rate: 22656 	 duration: 500 
