#t:674-931 ; rate:608-3797
rate: 1669 	 duration: 776 
rate: 3466 	 duration: 752 
rate: 1798 	 duration: 747 
rate: 3015 	 duration: 785 
rate: 1957 	 duration: 772 
rate: 2851 	 duration: 720 
rate: 3204 	 duration: 918 
rate: 676 	 duration: 852 
rate: 2012 	 duration: 794 
rate: 2332 	 duration: 679 
rate: 2166 	 duration: 848 
rate: 2443 	 duration: 776 
rate: 1026 	 duration: 924 
rate: 1669 	 duration: 776 
rate: 3466 	 duration: 752 
rate: 1798 	 duration: 747 
rate: 3015 	 duration: 785 
rate: 1957 	 duration: 772 
rate: 2851 	 duration: 720 
rate: 3204 	 duration: 918 
rate: 676 	 duration: 852 
rate: 2012 	 duration: 794 
rate: 2332 	 duration: 679 
rate: 2166 	 duration: 848 
rate: 2443 	 duration: 776 
rate: 1026 	 duration: 924 
rate: 1669 	 duration: 776 
rate: 3466 	 duration: 752 
rate: 1798 	 duration: 747 
rate: 3015 	 duration: 785 
rate: 1957 	 duration: 772 
rate: 2851 	 duration: 720 
rate: 3204 	 duration: 918 
rate: 676 	 duration: 852 
rate: 2012 	 duration: 794 
rate: 2332 	 duration: 679 
rate: 2166 	 duration: 848 
rate: 2443 	 duration: 776 
rate: 1026 	 duration: 924 
rate: 1669 	 duration: 776 
rate: 3466 	 duration: 752 
rate: 1798 	 duration: 747 
rate: 3015 	 duration: 785 
rate: 1957 	 duration: 772 
rate: 2851 	 duration: 720 
rate: 3204 	 duration: 918 
rate: 676 	 duration: 852 
rate: 2012 	 duration: 794 
rate: 2332 	 duration: 679 
rate: 2166 	 duration: 848 
rate: 2443 	 duration: 776 
rate: 1026 	 duration: 924 
rate: 1669 	 duration: 776 
rate: 3466 	 duration: 752 
rate: 1798 	 duration: 747 
rate: 3015 	 duration: 785 
rate: 1957 	 duration: 772 
rate: 2851 	 duration: 720 
rate: 3204 	 duration: 918 
rate: 676 	 duration: 852 
rate: 2012 	 duration: 794 
rate: 2332 	 duration: 679 
rate: 2166 	 duration: 848 
rate: 2443 	 duration: 776 
rate: 1026 	 duration: 924 
rate: 1669 	 duration: 776 
rate: 3466 	 duration: 752 
rate: 1798 	 duration: 747 
rate: 3015 	 duration: 785 
rate: 1957 	 duration: 772 
rate: 2851 	 duration: 720 
rate: 3204 	 duration: 918 
rate: 676 	 duration: 852 
rate: 2012 	 duration: 794 
rate: 2332 	 duration: 679 
rate: 2166 	 duration: 848 
rate: 2443 	 duration: 776 
rate: 1026 	 duration: 924 
rate: 1669 	 duration: 776 
rate: 3466 	 duration: 752 
rate: 1798 	 duration: 747 
rate: 3015 	 duration: 785 
rate: 1957 	 duration: 772 
rate: 2851 	 duration: 720 
rate: 3204 	 duration: 918 
rate: 676 	 duration: 852 
rate: 2012 	 duration: 794 
rate: 2332 	 duration: 679 
rate: 2166 	 duration: 848 
rate: 2443 	 duration: 776 
rate: 1026 	 duration: 924 
rate: 1669 	 duration: 776 
rate: 3466 	 duration: 752 
rate: 1798 	 duration: 747 
rate: 3015 	 duration: 785 
rate: 1957 	 duration: 772 
rate: 2851 	 duration: 720 
rate: 3204 	 duration: 918 
rate: 676 	 duration: 852 
rate: 2012 	 duration: 794 
rate: 2332 	 duration: 679 
rate: 2166 	 duration: 848 
rate: 2443 	 duration: 776 
rate: 1026 	 duration: 924 
rate: 1669 	 duration: 776 
rate: 3466 	 duration: 752 
rate: 1798 	 duration: 747 
rate: 3015 	 duration: 785 
rate: 1957 	 duration: 772 
rate: 2851 	 duration: 720 
rate: 3204 	 duration: 918 
rate: 676 	 duration: 852 
rate: 2012 	 duration: 794 
rate: 2332 	 duration: 679 
rate: 2166 	 duration: 848 
rate: 2443 	 duration: 776 
rate: 1026 	 duration: 924 
rate: 1669 	 duration: 776 
rate: 3466 	 duration: 752 
rate: 1798 	 duration: 747 
rate: 3015 	 duration: 785 
rate: 1957 	 duration: 772 
rate: 2851 	 duration: 720 
rate: 3204 	 duration: 918 
rate: 676 	 duration: 852 
rate: 2012 	 duration: 794 
rate: 2332 	 duration: 679 
rate: 2166 	 duration: 848 
rate: 2443 	 duration: 776 
rate: 1026 	 duration: 924 
