#t:250-500 ; rate:2253-2866
rate: 2710 	 duration: 368 
rate: 2583 	 duration: 325 
rate: 2480 	 duration: 349 
rate: 2680 	 duration: 456 
rate: 2787 	 duration: 263 
rate: 2600 	 duration: 332 
rate: 2832 	 duration: 262 
rate: 2774 	 duration: 463 
rate: 2724 	 duration: 396 
rate: 2457 	 duration: 439 
rate: 2337 	 duration: 359 
rate: 2727 	 duration: 331 
rate: 2842 	 duration: 444 
rate: 2530 	 duration: 493 
rate: 2541 	 duration: 468 
rate: 2637 	 duration: 351 
rate: 2814 	 duration: 312 
rate: 2611 	 duration: 404 
rate: 2415 	 duration: 314 
rate: 2406 	 duration: 359 
rate: 2492 	 duration: 294 
rate: 2627 	 duration: 325 
rate: 2600 	 duration: 461 
rate: 2746 	 duration: 297 
rate: 2552 	 duration: 338 
rate: 2714 	 duration: 465 
rate: 2364 	 duration: 351 
rate: 2605 	 duration: 466 
rate: 2715 	 duration: 376 
rate: 2654 	 duration: 461 
rate: 2583 	 duration: 455 
rate: 2523 	 duration: 294 
rate: 2562 	 duration: 384 
rate: 2655 	 duration: 330 
rate: 2851 	 duration: 485 
rate: 2717 	 duration: 447 
rate: 2353 	 duration: 285 
rate: 2542 	 duration: 481 
rate: 2776 	 duration: 293 
rate: 2763 	 duration: 304 
rate: 2712 	 duration: 380 
rate: 2411 	 duration: 284 
rate: 2373 	 duration: 471 
rate: 2579 	 duration: 368 
rate: 2445 	 duration: 304 
rate: 2562 	 duration: 267 
rate: 2560 	 duration: 385 
rate: 2736 	 duration: 365 
rate: 2308 	 duration: 286 
rate: 2270 	 duration: 344 
rate: 2818 	 duration: 383 
rate: 2813 	 duration: 355 
rate: 2849 	 duration: 395 
rate: 2434 	 duration: 502 
rate: 2475 	 duration: 460 
rate: 2513 	 duration: 416 
rate: 2454 	 duration: 367 
rate: 2781 	 duration: 410 
rate: 2562 	 duration: 440 
rate: 2390 	 duration: 367 
rate: 2649 	 duration: 440 
rate: 2569 	 duration: 285 
rate: 2654 	 duration: 425 
rate: 2261 	 duration: 297 
