#t:521-805 ; rate:760-1952
rate: 1352 	 duration: 639 
rate: 1676 	 duration: 767 
rate: 775 	 duration: 666 
rate: 1373 	 duration: 699 
rate: 1697 	 duration: 579 
rate: 1049 	 duration: 686 
rate: 1035 	 duration: 777 
rate: 1443 	 duration: 532 
rate: 885 	 duration: 542 
rate: 1056 	 duration: 694 
rate: 1320 	 duration: 627 
rate: 1867 	 duration: 585 
rate: 763 	 duration: 566 
rate: 1078 	 duration: 635 
rate: 1865 	 duration: 540 
rate: 1821 	 duration: 738 
rate: 1347 	 duration: 801 
rate: 1045 	 duration: 711 
rate: 1652 	 duration: 653 
rate: 1006 	 duration: 739 
rate: 1756 	 duration: 636 
rate: 1620 	 duration: 600 
rate: 1592 	 duration: 603 
rate: 1442 	 duration: 782 
rate: 1055 	 duration: 796 
rate: 1010 	 duration: 641 
rate: 1673 	 duration: 625 
rate: 891 	 duration: 553 
rate: 824 	 duration: 539 
rate: 1019 	 duration: 753 
rate: 1846 	 duration: 553 
rate: 1599 	 duration: 638 
rate: 1469 	 duration: 564 
rate: 781 	 duration: 538 
rate: 844 	 duration: 540 
rate: 972 	 duration: 729 
rate: 1619 	 duration: 770 
rate: 1781 	 duration: 687 
rate: 1706 	 duration: 661 
rate: 1452 	 duration: 545 
rate: 1121 	 duration: 663 
rate: 1119 	 duration: 547 
rate: 1814 	 duration: 661 
rate: 1357 	 duration: 734 
rate: 1432 	 duration: 646 
rate: 1938 	 duration: 705 
rate: 1598 	 duration: 744 
rate: 1725 	 duration: 564 
rate: 1621 	 duration: 793 
rate: 829 	 duration: 652 
rate: 1791 	 duration: 691 
rate: 1210 	 duration: 665 
rate: 1099 	 duration: 798 
rate: 1901 	 duration: 732 
rate: 1662 	 duration: 707 
rate: 1401 	 duration: 565 
rate: 899 	 duration: 815 
rate: 1907 	 duration: 774 
rate: 776 	 duration: 804 
rate: 1546 	 duration: 558 
rate: 831 	 duration: 779 
rate: 1154 	 duration: 760 
rate: 1109 	 duration: 747 
rate: 1395 	 duration: 800 
rate: 1282 	 duration: 580 
rate: 1270 	 duration: 774 
rate: 1687 	 duration: 725 
rate: 843 	 duration: 683 
rate: 1236 	 duration: 632 
rate: 1914 	 duration: 571 
rate: 1580 	 duration: 768 
rate: 1047 	 duration: 539 
rate: 1879 	 duration: 582 
rate: 1017 	 duration: 755 
rate: 1649 	 duration: 546 
rate: 1339 	 duration: 655 
rate: 1676 	 duration: 758 
rate: 809 	 duration: 593 
rate: 1332 	 duration: 748 
rate: 1252 	 duration: 555 
rate: 805 	 duration: 715 
rate: 1146 	 duration: 807 
rate: 1238 	 duration: 542 
rate: 817 	 duration: 793 
rate: 1535 	 duration: 540 
rate: 947 	 duration: 723 
rate: 936 	 duration: 603 
rate: 1062 	 duration: 577 
rate: 1046 	 duration: 573 
rate: 1395 	 duration: 533 
rate: 1759 	 duration: 635 
rate: 1393 	 duration: 733 
rate: 1671 	 duration: 789 
rate: 1262 	 duration: 665 
rate: 1041 	 duration: 714 
rate: 1043 	 duration: 782 
rate: 1133 	 duration: 593 
rate: 1745 	 duration: 571 
rate: 763 	 duration: 803 
rate: 1293 	 duration: 798 
rate: 1762 	 duration: 790 
rate: 1347 	 duration: 801 
rate: 1545 	 duration: 723 
rate: 1529 	 duration: 596 
rate: 1115 	 duration: 688 
rate: 1391 	 duration: 690 
rate: 1560 	 duration: 747 
rate: 1324 	 duration: 725 
rate: 1221 	 duration: 628 
rate: 1653 	 duration: 777 
rate: 772 	 duration: 559 
rate: 1007 	 duration: 571 
rate: 1452 	 duration: 538 
rate: 1033 	 duration: 709 
rate: 1361 	 duration: 609 
rate: 1539 	 duration: 717 
rate: 1799 	 duration: 640 
rate: 1748 	 duration: 617 
rate: 1733 	 duration: 637 
rate: 1937 	 duration: 701 
rate: 1325 	 duration: 633 
rate: 1345 	 duration: 741 
rate: 952 	 duration: 655 
rate: 1221 	 duration: 561 
rate: 1190 	 duration: 616 
rate: 1759 	 duration: 750 
rate: 1886 	 duration: 661 
rate: 1715 	 duration: 651 
rate: 1434 	 duration: 712 
rate: 1177 	 duration: 652 
rate: 1780 	 duration: 606 
rate: 1367 	 duration: 790 
rate: 881 	 duration: 735 
rate: 1435 	 duration: 594 
rate: 1085 	 duration: 631 
rate: 1863 	 duration: 708 
rate: 937 	 duration: 730 
rate: 1105 	 duration: 750 
rate: 1340 	 duration: 744 
rate: 930 	 duration: 710 
rate: 1468 	 duration: 604 
rate: 1386 	 duration: 529 
rate: 1773 	 duration: 703 
rate: 1730 	 duration: 770 
rate: 1170 	 duration: 606 
rate: 909 	 duration: 792 
rate: 1188 	 duration: 747 
rate: 1945 	 duration: 673 
rate: 1094 	 duration: 636 
rate: 1479 	 duration: 706 
