#t:414-489 ; rate:2208-3274
rate: 2724 	 duration: 440 
rate: 2455 	 duration: 439 
rate: 2969 	 duration: 476 
rate: 3261 	 duration: 471 
rate: 3220 	 duration: 437 
rate: 2502 	 duration: 422 
rate: 3179 	 duration: 419 
rate: 2505 	 duration: 436 
rate: 2662 	 duration: 447 
rate: 2641 	 duration: 445 
rate: 2786 	 duration: 465 
rate: 2644 	 duration: 468 
rate: 3253 	 duration: 486 
rate: 2371 	 duration: 455 
rate: 2299 	 duration: 417 
rate: 2280 	 duration: 485 
rate: 2775 	 duration: 428 
rate: 2834 	 duration: 448 
rate: 2882 	 duration: 424 
rate: 2815 	 duration: 440 
rate: 2224 	 duration: 420 
rate: 3087 	 duration: 435 
rate: 2261 	 duration: 488 
rate: 2724 	 duration: 440 
rate: 2455 	 duration: 439 
rate: 2969 	 duration: 476 
rate: 3261 	 duration: 471 
rate: 3220 	 duration: 437 
rate: 2502 	 duration: 422 
rate: 3179 	 duration: 419 
rate: 2505 	 duration: 436 
rate: 2662 	 duration: 447 
rate: 2641 	 duration: 445 
rate: 2786 	 duration: 465 
rate: 2644 	 duration: 468 
rate: 3253 	 duration: 486 
rate: 2371 	 duration: 455 
rate: 2299 	 duration: 417 
rate: 2280 	 duration: 485 
rate: 2775 	 duration: 428 
rate: 2834 	 duration: 448 
rate: 2882 	 duration: 424 
rate: 2815 	 duration: 440 
rate: 2224 	 duration: 420 
rate: 3087 	 duration: 435 
rate: 2261 	 duration: 488 
rate: 2724 	 duration: 440 
rate: 2455 	 duration: 439 
rate: 2969 	 duration: 476 
rate: 3261 	 duration: 471 
rate: 3220 	 duration: 437 
rate: 2502 	 duration: 422 
rate: 3179 	 duration: 419 
rate: 2505 	 duration: 436 
rate: 2662 	 duration: 447 
rate: 2641 	 duration: 445 
rate: 2786 	 duration: 465 
rate: 2644 	 duration: 468 
rate: 3253 	 duration: 486 
rate: 2371 	 duration: 455 
rate: 2299 	 duration: 417 
rate: 2280 	 duration: 485 
rate: 2775 	 duration: 428 
rate: 2834 	 duration: 448 
rate: 2882 	 duration: 424 
rate: 2815 	 duration: 440 
rate: 2224 	 duration: 420 
rate: 3087 	 duration: 435 
rate: 2261 	 duration: 488 
rate: 2724 	 duration: 440 
rate: 2455 	 duration: 439 
rate: 2969 	 duration: 476 
rate: 3261 	 duration: 471 
rate: 3220 	 duration: 437 
rate: 2502 	 duration: 422 
rate: 3179 	 duration: 419 
rate: 2505 	 duration: 436 
rate: 2662 	 duration: 447 
rate: 2641 	 duration: 445 
rate: 2786 	 duration: 465 
rate: 2644 	 duration: 468 
rate: 3253 	 duration: 486 
rate: 2371 	 duration: 455 
rate: 2299 	 duration: 417 
rate: 2280 	 duration: 485 
rate: 2775 	 duration: 428 
rate: 2834 	 duration: 448 
rate: 2882 	 duration: 424 
rate: 2815 	 duration: 440 
rate: 2224 	 duration: 420 
rate: 3087 	 duration: 435 
rate: 2261 	 duration: 488 
rate: 2724 	 duration: 440 
rate: 2455 	 duration: 439 
rate: 2969 	 duration: 476 
rate: 3261 	 duration: 471 
rate: 3220 	 duration: 437 
rate: 2502 	 duration: 422 
rate: 3179 	 duration: 419 
rate: 2505 	 duration: 436 
rate: 2662 	 duration: 447 
rate: 2641 	 duration: 445 
rate: 2786 	 duration: 465 
rate: 2644 	 duration: 468 
rate: 3253 	 duration: 486 
rate: 2371 	 duration: 455 
rate: 2299 	 duration: 417 
rate: 2280 	 duration: 485 
rate: 2775 	 duration: 428 
rate: 2834 	 duration: 448 
rate: 2882 	 duration: 424 
rate: 2815 	 duration: 440 
rate: 2224 	 duration: 420 
rate: 3087 	 duration: 435 
rate: 2261 	 duration: 488 
