#t:341-814 ; rate:2544-3673
rate: 2570 	 duration: 653 
rate: 3653 	 duration: 420 
rate: 3608 	 duration: 536 
rate: 3620 	 duration: 634 
rate: 3525 	 duration: 416 
rate: 3442 	 duration: 353 
rate: 3061 	 duration: 713 
rate: 3023 	 duration: 481 
rate: 3001 	 duration: 452 
rate: 3394 	 duration: 480 
rate: 2577 	 duration: 583 
rate: 3415 	 duration: 534 
rate: 2587 	 duration: 417 
rate: 3601 	 duration: 364 
rate: 3151 	 duration: 408 
rate: 3243 	 duration: 685 
rate: 3382 	 duration: 738 
rate: 3345 	 duration: 786 
rate: 3449 	 duration: 505 
rate: 2912 	 duration: 425 
rate: 2858 	 duration: 811 
rate: 3271 	 duration: 763 
rate: 2943 	 duration: 673 
rate: 2925 	 duration: 541 
rate: 3197 	 duration: 367 
rate: 2754 	 duration: 801 
rate: 2981 	 duration: 447 
rate: 3501 	 duration: 374 
rate: 2841 	 duration: 545 
rate: 3623 	 duration: 752 
rate: 3085 	 duration: 650 
rate: 3557 	 duration: 384 
rate: 3405 	 duration: 775 
rate: 2603 	 duration: 438 
rate: 3510 	 duration: 667 
rate: 2656 	 duration: 760 
rate: 2780 	 duration: 535 
rate: 2762 	 duration: 778 
rate: 2903 	 duration: 782 
rate: 3509 	 duration: 376 
rate: 3251 	 duration: 595 
rate: 3203 	 duration: 457 
rate: 3390 	 duration: 771 
rate: 3354 	 duration: 534 
rate: 3106 	 duration: 476 
rate: 3254 	 duration: 506 
rate: 3194 	 duration: 405 
rate: 3076 	 duration: 488 
rate: 3211 	 duration: 351 
rate: 3361 	 duration: 349 
rate: 2548 	 duration: 382 
rate: 3671 	 duration: 686 
rate: 3327 	 duration: 711 
rate: 3551 	 duration: 518 
rate: 2893 	 duration: 439 
rate: 2975 	 duration: 464 
rate: 2992 	 duration: 489 
rate: 3252 	 duration: 612 
rate: 3344 	 duration: 564 
rate: 2919 	 duration: 361 
rate: 3429 	 duration: 620 
rate: 3049 	 duration: 582 
rate: 3166 	 duration: 758 
rate: 3256 	 duration: 678 
rate: 2945 	 duration: 546 
rate: 3518 	 duration: 354 
rate: 3138 	 duration: 348 
rate: 3282 	 duration: 716 
rate: 2986 	 duration: 393 
rate: 3329 	 duration: 692 
rate: 3584 	 duration: 352 
rate: 2954 	 duration: 357 
rate: 3400 	 duration: 504 
rate: 3611 	 duration: 538 
rate: 3316 	 duration: 354 
rate: 2756 	 duration: 815 
rate: 3032 	 duration: 630 
rate: 3331 	 duration: 797 
rate: 2916 	 duration: 534 
rate: 2719 	 duration: 446 
rate: 3144 	 duration: 618 
rate: 2802 	 duration: 762 
rate: 3459 	 duration: 573 
rate: 3458 	 duration: 735 
rate: 3666 	 duration: 739 
rate: 2781 	 duration: 600 
rate: 3196 	 duration: 740 
rate: 2772 	 duration: 351 
rate: 2596 	 duration: 416 
rate: 2550 	 duration: 574 
