#t:488-537 ; rate:457-526
rate: 500 	 duration: 528 
rate: 473 	 duration: 507 
rate: 512 	 duration: 539 
rate: 521 	 duration: 506 
rate: 496 	 duration: 532 
rate: 463 	 duration: 518 
rate: 492 	 duration: 536 
rate: 469 	 duration: 538 
rate: 497 	 duration: 531 
rate: 485 	 duration: 494 
rate: 469 	 duration: 538 
rate: 517 	 duration: 534 
rate: 487 	 duration: 518 
rate: 508 	 duration: 519 
rate: 472 	 duration: 508 
rate: 522 	 duration: 529 
rate: 488 	 duration: 540 
rate: 514 	 duration: 513 
rate: 475 	 duration: 505 
rate: 506 	 duration: 546 
rate: 482 	 duration: 547 
rate: 522 	 duration: 529 
rate: 524 	 duration: 527 
rate: 471 	 duration: 536 
rate: 518 	 duration: 555 
rate: 465 	 duration: 516 
rate: 495 	 duration: 533 
rate: 486 	 duration: 543 
rate: 466 	 duration: 541 
rate: 521 	 duration: 530 
rate: 463 	 duration: 545 
rate: 479 	 duration: 527 
rate: 483 	 duration: 496 
rate: 460 	 duration: 521 
rate: 491 	 duration: 514 
rate: 524 	 duration: 503 
rate: 468 	 duration: 539 
rate: 463 	 duration: 518 
rate: 507 	 duration: 520 
rate: 503 	 duration: 524 
rate: 471 	 duration: 509 
rate: 465 	 duration: 542 
rate: 461 	 duration: 520 
rate: 464 	 duration: 544 
rate: 504 	 duration: 500 
rate: 488 	 duration: 517 
rate: 506 	 duration: 521 
rate: 465 	 duration: 516 
rate: 465 	 duration: 516 
rate: 520 	 duration: 531 
rate: 510 	 duration: 542 
rate: 496 	 duration: 557 
rate: 475 	 duration: 505 
rate: 465 	 duration: 491 
rate: 503 	 duration: 524 
rate: 459 	 duration: 550 
rate: 469 	 duration: 538 
rate: 472 	 duration: 508 
rate: 477 	 duration: 529 
rate: 473 	 duration: 533 
rate: 466 	 duration: 515 
rate: 485 	 duration: 544 
rate: 481 	 duration: 524 
rate: 522 	 duration: 505 
rate: 459 	 duration: 550 
rate: 457 	 duration: 525 
rate: 525 	 duration: 502 
rate: 508 	 duration: 544 
rate: 524 	 duration: 503 
rate: 463 	 duration: 545 
rate: 500 	 duration: 528 
rate: 473 	 duration: 533 
rate: 481 	 duration: 548 
rate: 462 	 duration: 519 
rate: 503 	 duration: 524 
rate: 462 	 duration: 546 
rate: 503 	 duration: 524 
rate: 463 	 duration: 518 
rate: 512 	 duration: 516 
rate: 468 	 duration: 512 
rate: 504 	 duration: 523 
rate: 464 	 duration: 544 
rate: 515 	 duration: 512 
rate: 499 	 duration: 529 
rate: 493 	 duration: 535 
rate: 466 	 duration: 541 
rate: 473 	 duration: 533 
rate: 495 	 duration: 510 
rate: 485 	 duration: 520 
rate: 479 	 duration: 551 
rate: 511 	 duration: 516 
rate: 461 	 duration: 520 
rate: 474 	 duration: 532 
rate: 498 	 duration: 555 
rate: 519 	 duration: 532 
