#t:nan-nan ; rate:nan-nan
rate: 3896 	 duration: 850 
rate: 4279 	 duration: 516 
rate: 3613 	 duration: 817 
rate: 2320 	 duration: 843 
rate: 17413 	 duration: 501 
rate: 18035 	 duration: 501 
rate: 17292 	 duration: 594 
rate: 4062 	 duration: 963 
rate: 22837 	 duration: 506 
rate: 10463 	 duration: 539 
rate: 1704 	 duration: 1021 
rate: 168 	 duration: 1000 
rate: 14 	 duration: 810 
rate: 18936 	 duration: 500 
rate: 4423 	 duration: 1153 
rate: 10 	 duration: 1148 
rate: 712 	 duration: 606 
rate: 8198 	 duration: 865 
rate: 3612 	 duration: 651 
rate: 1604 	 duration: 1144 
rate: 12 	 duration: 968 
rate: 19272 	 duration: 500 
rate: 18864 	 duration: 500 
rate: 11335 	 duration: 506 
rate: 8904 	 duration: 500 
rate: 8904 	 duration: 500 
rate: 13802 	 duration: 506 
rate: 2325 	 duration: 676 
rate: 20544 	 duration: 500 
rate: 18888 	 duration: 500 
rate: 17354 	 duration: 502 
rate: 10802 	 duration: 501 
rate: 8160 	 duration: 822 
rate: 14544 	 duration: 500 
rate: 18984 	 duration: 500 
rate: 6803 	 duration: 545 
rate: 11256 	 duration: 500 
rate: 13752 	 duration: 500 
rate: 7431 	 duration: 570 
rate: 7221 	 duration: 570 
rate: 8982 	 duration: 676 
rate: 10272 	 duration: 500 
rate: 6271 	 duration: 553 
rate: 18816 	 duration: 500 
rate: 1752 	 duration: 541 
rate: 5096 	 duration: 843 
rate: 18000 	 duration: 500 
rate: 868 	 duration: 511 
rate: 1195 	 duration: 502 
rate: 2275 	 duration: 501 
rate: 3840 	 duration: 500 
rate: 9349 	 duration: 883 
rate: 8520 	 duration: 500 
rate: 4848 	 duration: 500 
rate: 8123 	 duration: 873 
rate: 7130 	 duration: 515 
rate: 11332 	 duration: 503 
rate: 9129 	 duration: 556 
rate: 4781 	 duration: 507 
rate: 4177 	 duration: 948 
rate: 18 	 duration: 648 
rate: 14179 	 duration: 501 
rate: 9144 	 duration: 500 
rate: 7224 	 duration: 500 
rate: 10879 	 duration: 514 
rate: 21120 	 duration: 500 
rate: 3711 	 duration: 1138 
rate: 22035 	 duration: 501 
rate: 9224 	 duration: 722 
rate: 10736 	 duration: 551 
rate: 19728 	 duration: 500 
rate: 3629 	 duration: 681 
rate: 8448 	 duration: 500 
rate: 2088 	 duration: 500 
