#t:nan-nan ; rate:nan-nan
rate: 8418 	 duration: 506 
rate: 9776 	 duration: 502 
rate: 9519 	 duration: 508 
rate: 10656 	 duration: 500 
rate: 10344 	 duration: 500 
rate: 8472 	 duration: 500 
rate: 9118 	 duration: 508 
rate: 9699 	 duration: 506 
rate: 9346 	 duration: 502 
rate: 7928 	 duration: 504 
rate: 5689 	 duration: 502 
rate: 6597 	 duration: 502 
rate: 6192 	 duration: 500 
rate: 5448 	 duration: 500 
rate: 4920 	 duration: 500 
rate: 5413 	 duration: 501 
rate: 6912 	 duration: 500 
rate: 6769 	 duration: 507 
rate: 5856 	 duration: 502 
rate: 6120 	 duration: 500 
rate: 6711 	 duration: 506 
rate: 5724 	 duration: 501 
rate: 7560 	 duration: 500 
rate: 7029 	 duration: 507 
rate: 7300 	 duration: 503 
rate: 6336 	 duration: 500 
rate: 9456 	 duration: 500 
rate: 9878 	 duration: 509 
rate: 9696 	 duration: 500 
rate: 10419 	 duration: 501 
rate: 10344 	 duration: 500 
rate: 8448 	 duration: 500 
rate: 9343 	 duration: 506 
rate: 9504 	 duration: 500 
rate: 8455 	 duration: 501 
rate: 6035 	 duration: 501 
rate: 5031 	 duration: 508 
rate: 7176 	 duration: 500 
rate: 8087 	 duration: 503 
rate: 9083 	 duration: 506 
rate: 9940 	 duration: 501 
rate: 6952 	 duration: 523 
rate: 7248 	 duration: 500 
rate: 7656 	 duration: 500 
rate: 9672 	 duration: 500 
rate: 9456 	 duration: 500 
rate: 12024 	 duration: 500 
rate: 11833 	 duration: 503 
rate: 10840 	 duration: 507 
rate: 10128 	 duration: 500 
rate: 10320 	 duration: 500 
rate: 9096 	 duration: 500 
rate: 9418 	 duration: 502 
rate: 7443 	 duration: 503 
rate: 7712 	 duration: 501 
rate: 9017 	 duration: 515 
rate: 8448 	 duration: 500 
rate: 8426 	 duration: 507 
rate: 7804 	 duration: 512 
rate: 8256 	 duration: 500 
rate: 10275 	 duration: 501 
rate: 10479 	 duration: 505 
rate: 9840 	 duration: 500 
rate: 9360 	 duration: 500 
rate: 7651 	 duration: 505 
rate: 9689 	 duration: 509 
rate: 10008 	 duration: 500 
rate: 11304 	 duration: 500 
rate: 9384 	 duration: 500 
rate: 9072 	 duration: 500 
rate: 8904 	 duration: 500 
rate: 8016 	 duration: 500 
rate: 10347 	 duration: 501 
rate: 7680 	 duration: 500 
rate: 10368 	 duration: 500 
rate: 10443 	 duration: 501 
rate: 10416 	 duration: 500 
rate: 9585 	 duration: 502 
rate: 8862 	 duration: 501 
rate: 9552 	 duration: 500 
rate: 12120 	 duration: 500 
rate: 9240 	 duration: 500 
rate: 7664 	 duration: 501 
rate: 9833 	 duration: 504 
rate: 6792 	 duration: 500 
rate: 9035 	 duration: 502 
rate: 10080 	 duration: 500 
rate: 8472 	 duration: 500 
rate: 9845 	 duration: 518 
rate: 11688 	 duration: 500 
rate: 7552 	 duration: 545 
rate: 9408 	 duration: 500 
rate: 10800 	 duration: 500 
rate: 11524 	 duration: 505 
rate: 8256 	 duration: 500 
rate: 8469 	 duration: 503 
rate: 7872 	 duration: 500 
rate: 7776 	 duration: 500 
rate: 7832 	 duration: 501 
rate: 8670 	 duration: 501 
rate: 7584 	 duration: 500 
rate: 10203 	 duration: 501 
rate: 9307 	 duration: 508 
rate: 10592 	 duration: 503 
rate: 10523 	 duration: 504 
rate: 9221 	 duration: 501 
rate: 7089 	 duration: 501 
rate: 8509 	 duration: 502 
rate: 7000 	 duration: 504 
rate: 5976 	 duration: 502 
rate: 8071 	 duration: 501 
rate: 8232 	 duration: 500 
rate: 6201 	 duration: 507 
rate: 9149 	 duration: 501 
rate: 10608 	 duration: 500 
rate: 9864 	 duration: 500 
rate: 8064 	 duration: 500 
rate: 7656 	 duration: 500 
rate: 8000 	 duration: 507 
rate: 7123 	 duration: 502 
rate: 8520 	 duration: 500 
rate: 8790 	 duration: 501 
rate: 9788 	 duration: 510 
rate: 8784 	 duration: 500 
rate: 11328 	 duration: 500 
rate: 12168 	 duration: 500 
rate: 11472 	 duration: 500 
rate: 10416 	 duration: 500 
rate: 10850 	 duration: 501 
rate: 8619 	 duration: 504 
rate: 8340 	 duration: 505 
rate: 8294 	 duration: 502 
rate: 7680 	 duration: 500 
rate: 7393 	 duration: 508 
rate: 8448 	 duration: 500 
rate: 9792 	 duration: 500 
rate: 8136 	 duration: 500 
rate: 5580 	 duration: 501 
rate: 6549 	 duration: 502 
rate: 7625 	 duration: 502 
rate: 7642 	 duration: 504 
rate: 7089 	 duration: 501 
rate: 10560 	 duration: 500 
rate: 9848 	 duration: 502 
rate: 9194 	 duration: 509 
rate: 8390 	 duration: 502 
rate: 6251 	 duration: 501 
rate: 8455 	 duration: 501 
rate: 8811 	 duration: 508 
rate: 9179 	 duration: 502 
rate: 9936 	 duration: 500 
rate: 8554 	 duration: 505 
rate: 10512 	 duration: 500 
rate: 8863 	 duration: 505 
rate: 10419 	 duration: 501 
rate: 10536 	 duration: 500 
rate: 11544 	 duration: 500 
rate: 11257 	 duration: 501 
rate: 8952 	 duration: 500 
rate: 8232 	 duration: 500 
rate: 11208 	 duration: 500 
rate: 10682 	 duration: 501 
rate: 11185 	 duration: 501 
rate: 11616 	 duration: 500 
rate: 11280 	 duration: 500 
rate: 10872 	 duration: 500 
rate: 8712 	 duration: 500 
rate: 7992 	 duration: 500 
rate: 8592 	 duration: 500 
rate: 6860 	 duration: 502 
rate: 6601 	 duration: 509 
rate: 5664 	 duration: 500 
rate: 9885 	 duration: 505 
rate: 11306 	 duration: 502 
rate: 9240 	 duration: 500 
rate: 9346 	 duration: 502 
rate: 9700 	 duration: 501 
rate: 11185 	 duration: 501 
rate: 9197 	 duration: 501 
rate: 8380 	 duration: 504 
rate: 8571 	 duration: 504 
rate: 9888 	 duration: 500 
rate: 8088 	 duration: 500 
rate: 7777 	 duration: 503 
rate: 7928 	 duration: 501 
rate: 6693 	 duration: 502 
rate: 10200 	 duration: 500 
rate: 10203 	 duration: 501 
rate: 9341 	 duration: 501 
rate: 9065 	 duration: 503 
rate: 9781 	 duration: 503 
rate: 10326 	 duration: 502 
rate: 8357 	 duration: 504 
rate: 9240 	 duration: 500 
rate: 10491 	 duration: 501 
rate: 6751 	 duration: 503 
rate: 5496 	 duration: 500 
rate: 7776 	 duration: 500 
rate: 12024 	 duration: 500 
rate: 9011 	 duration: 502 
rate: 6382 	 duration: 502 
rate: 7401 	 duration: 501 
rate: 9418 	 duration: 502 
rate: 10110 	 duration: 508 
rate: 8142 	 duration: 504 
rate: 9633 	 duration: 502 
rate: 7816 	 duration: 502 
rate: 9456 	 duration: 500 
rate: 10080 	 duration: 500 
rate: 11809 	 duration: 503 
rate: 9760 	 duration: 509 
rate: 9556 	 duration: 501 
rate: 11017 	 duration: 501 
rate: 12119 	 duration: 503 
rate: 9508 	 duration: 501 
rate: 8892 	 duration: 502 
rate: 11088 	 duration: 500 
rate: 12024 	 duration: 500 
rate: 10968 	 duration: 500 
rate: 9245 	 duration: 501 
rate: 10411 	 duration: 506 
rate: 9243 	 duration: 505 
rate: 9192 	 duration: 500 
rate: 10896 	 duration: 500 
rate: 11088 	 duration: 500 
rate: 11664 	 duration: 500 
rate: 10728 	 duration: 500 
rate: 11161 	 duration: 501 
rate: 6390 	 duration: 507 
rate: 6768 	 duration: 500 
rate: 12744 	 duration: 500 
rate: 8899 	 duration: 507 
rate: 5821 	 duration: 505 
rate: 12047 	 duration: 502 
rate: 12552 	 duration: 500 
rate: 11760 	 duration: 500 
rate: 7386 	 duration: 502 
rate: 9144 	 duration: 500 
rate: 8862 	 duration: 501 
rate: 9053 	 duration: 501 
rate: 8870 	 duration: 510 
rate: 9720 	 duration: 500 
rate: 9968 	 duration: 502 
rate: 11498 	 duration: 502 
rate: 12120 	 duration: 500 
rate: 12357 	 duration: 503 
rate: 12744 	 duration: 500 
rate: 12714 	 duration: 504 
rate: 12840 	 duration: 500 
rate: 15984 	 duration: 500 
rate: 13584 	 duration: 500 
rate: 11762 	 duration: 506 
rate: 11160 	 duration: 500 
rate: 10032 	 duration: 500 
rate: 10344 	 duration: 500 
rate: 7536 	 duration: 500 
rate: 9792 	 duration: 500 
rate: 8766 	 duration: 501 
rate: 8537 	 duration: 506 
rate: 8856 	 duration: 500 
rate: 7944 	 duration: 500 
rate: 10608 	 duration: 500 
rate: 9192 	 duration: 500 
rate: 8352 	 duration: 500 
rate: 10392 	 duration: 500 
rate: 10035 	 duration: 501 
rate: 8731 	 duration: 503 
rate: 10752 	 duration: 500 
rate: 8568 	 duration: 500 
rate: 9125 	 duration: 501 
rate: 10128 	 duration: 500 
rate: 9681 	 duration: 502 
rate: 10422 	 duration: 502 
rate: 9720 	 duration: 500 
rate: 10440 	 duration: 500 
rate: 12504 	 duration: 500 
rate: 12047 	 duration: 503 
rate: 15661 	 duration: 508 
rate: 12720 	 duration: 500 
rate: 9652 	 duration: 501 
rate: 9528 	 duration: 500 
rate: 11569 	 duration: 502 
rate: 12120 	 duration: 500 
rate: 10200 	 duration: 500 
rate: 10107 	 duration: 501 
rate: 9312 	 duration: 500 
rate: 10880 	 duration: 504 
rate: 11808 	 duration: 500 
rate: 11808 	 duration: 501 
rate: 9912 	 duration: 500 
rate: 11616 	 duration: 500 
rate: 10470 	 duration: 502 
rate: 7764 	 duration: 510 
rate: 5521 	 duration: 502 
rate: 10872 	 duration: 500 
rate: 9280 	 duration: 503 
rate: 8592 	 duration: 500 
rate: 9432 	 duration: 500 
rate: 9940 	 duration: 501 
rate: 9341 	 duration: 501 
rate: 8904 	 duration: 500 
rate: 8736 	 duration: 500 
rate: 7656 	 duration: 500 
rate: 7760 	 duration: 501 
rate: 6480 	 duration: 500 
rate: 6129 	 duration: 511 
rate: 4824 	 duration: 500 
rate: 6648 	 duration: 500 
rate: 7536 	 duration: 500 
rate: 10107 	 duration: 501 
rate: 9077 	 duration: 505 
rate: 8616 	 duration: 500 
rate: 9676 	 duration: 501 
rate: 9864 	 duration: 500 
rate: 10783 	 duration: 513 
rate: 10946 	 duration: 501 
rate: 10296 	 duration: 500 
rate: 9456 	 duration: 500 
rate: 8151 	 duration: 502 
rate: 8592 	 duration: 500 
rate: 8127 	 duration: 502 
rate: 7419 	 duration: 503 
rate: 7752 	 duration: 500 
rate: 8359 	 duration: 501 
rate: 6850 	 duration: 501 
rate: 5684 	 duration: 513 
rate: 4680 	 duration: 500 
rate: 4733 	 duration: 502 
rate: 6682 	 duration: 501 
rate: 6142 	 duration: 506 
rate: 7266 	 duration: 502 
rate: 7565 	 duration: 506 
rate: 6336 	 duration: 500 
rate: 8462 	 duration: 502 
rate: 7736 	 duration: 501 
rate: 8664 	 duration: 500 
rate: 9096 	 duration: 500 
rate: 7482 	 duration: 518 
rate: 7952 	 duration: 501 
rate: 8760 	 duration: 500 
rate: 8550 	 duration: 501 
rate: 7921 	 duration: 509 
rate: 8645 	 duration: 508 
rate: 7776 	 duration: 500 
rate: 7176 	 duration: 500 
rate: 8946 	 duration: 503 
rate: 8673 	 duration: 505 
rate: 8088 	 duration: 500 
rate: 8280 	 duration: 500 
rate: 6447 	 duration: 523 
rate: 7290 	 duration: 502 
rate: 8208 	 duration: 500 
rate: 10248 	 duration: 507 
rate: 8136 	 duration: 500 
rate: 8712 	 duration: 500 
rate: 9466 	 duration: 502 
rate: 10251 	 duration: 501 
rate: 10800 	 duration: 500 
rate: 9841 	 duration: 506 
rate: 8088 	 duration: 500 
rate: 7992 	 duration: 500 
rate: 8496 	 duration: 500 
rate: 9504 	 duration: 500 
rate: 8160 	 duration: 500 
rate: 8400 	 duration: 500 
rate: 9816 	 duration: 500 
rate: 11569 	 duration: 502 
rate: 7085 	 duration: 630 
rate: 5136 	 duration: 500 
rate: 9197 	 duration: 501 
rate: 11616 	 duration: 500 
rate: 10680 	 duration: 500 
rate: 10950 	 duration: 503 
rate: 8694 	 duration: 501 
rate: 10422 	 duration: 502 
rate: 9480 	 duration: 500 
rate: 10008 	 duration: 500 
rate: 10922 	 duration: 501 
rate: 11785 	 duration: 503 
rate: 9192 	 duration: 500 
rate: 9448 	 duration: 508 
rate: 9183 	 duration: 507 
rate: 10824 	 duration: 500 
rate: 10680 	 duration: 500 
rate: 10272 	 duration: 500 
rate: 8136 	 duration: 500 
rate: 6473 	 duration: 519 
rate: 7621 	 duration: 507 
rate: 8712 	 duration: 500 
rate: 9813 	 duration: 505 
rate: 8581 	 duration: 502 
rate: 9120 	 duration: 500 
rate: 8904 	 duration: 504 
rate: 13152 	 duration: 500 
rate: 11239 	 duration: 505 
rate: 11043 	 duration: 502 
rate: 10497 	 duration: 503 
rate: 9255 	 duration: 516 
rate: 9144 	 duration: 500 
rate: 8136 	 duration: 500 
rate: 9168 	 duration: 500 
rate: 8840 	 duration: 509 
rate: 6980 	 duration: 502 
rate: 6888 	 duration: 500 
rate: 5450 	 duration: 502 
rate: 6347 	 duration: 501 
rate: 6898 	 duration: 501 
rate: 5306 	 duration: 502 
rate: 4756 	 duration: 502 
rate: 3936 	 duration: 500 
rate: 3626 	 duration: 503 
rate: 5338 	 duration: 508 
rate: 5067 	 duration: 502 
rate: 5005 	 duration: 501 
rate: 4479 	 duration: 501 
rate: 3928 	 duration: 501 
rate: 3857 	 duration: 507 
rate: 5160 	 duration: 500 
rate: 5669 	 duration: 508 
rate: 3675 	 duration: 506 
rate: 7353 	 duration: 501 
rate: 8904 	 duration: 500 
rate: 7017 	 duration: 501 
rate: 8095 	 duration: 501 
rate: 8256 	 duration: 500 
rate: 10008 	 duration: 500 
rate: 10603 	 duration: 507 
rate: 9552 	 duration: 500 
rate: 9504 	 duration: 505 
rate: 8127 	 duration: 502 
rate: 6946 	 duration: 501 
rate: 8677 	 duration: 502 
rate: 8592 	 duration: 500 
rate: 9064 	 duration: 515 
rate: 8376 	 duration: 500 
rate: 9972 	 duration: 509 
rate: 10584 	 duration: 500 
rate: 10536 	 duration: 500 
rate: 6624 	 duration: 500 
rate: 6024 	 duration: 500 
rate: 4363 	 duration: 517 
rate: 5916 	 duration: 501 
rate: 7017 	 duration: 501 
rate: 9283 	 duration: 508 
rate: 9552 	 duration: 500 
rate: 10682 	 duration: 501 
rate: 10804 	 duration: 502 
rate: 8772 	 duration: 502 
rate: 9155 	 duration: 502 
rate: 8622 	 duration: 501 
rate: 10248 	 duration: 500 
rate: 10704 	 duration: 500 
rate: 12838 	 duration: 501 
rate: 10440 	 duration: 500 
rate: 8215 	 duration: 501 
rate: 7104 	 duration: 500 
rate: 7464 	 duration: 500 
rate: 8592 	 duration: 500 
rate: 10568 	 duration: 503 
rate: 11544 	 duration: 500 
rate: 10082 	 duration: 507 
rate: 9065 	 duration: 503 
rate: 8820 	 duration: 502 
rate: 7252 	 duration: 503 
rate: 7243 	 duration: 502 
rate: 8160 	 duration: 500 
rate: 10197 	 duration: 506 
rate: 8940 	 duration: 502 
rate: 7390 	 duration: 505 
rate: 8520 	 duration: 500 
rate: 8994 	 duration: 503 
rate: 10272 	 duration: 500 
rate: 11568 	 duration: 500 
rate: 10176 	 duration: 500 
rate: 9293 	 duration: 501 
rate: 9005 	 duration: 501 
rate: 9053 	 duration: 501 
rate: 8928 	 duration: 500 
rate: 9624 	 duration: 500 
rate: 9317 	 duration: 501 
rate: 8736 	 duration: 500 
rate: 8808 	 duration: 500 
rate: 9144 	 duration: 500 
rate: 8397 	 duration: 513 
rate: 8352 	 duration: 500 
rate: 7393 	 duration: 508 
rate: 9888 	 duration: 500 
rate: 10440 	 duration: 500 
rate: 10464 	 duration: 500 
rate: 10200 	 duration: 500 
rate: 9960 	 duration: 500 
rate: 8592 	 duration: 500 
rate: 9513 	 duration: 502 
rate: 8371 	 duration: 506 
rate: 8047 	 duration: 504 
rate: 8119 	 duration: 501 
rate: 6768 	 duration: 500 
rate: 7856 	 duration: 501 
rate: 8526 	 duration: 501 
rate: 8407 	 duration: 501 
rate: 7320 	 duration: 500 
rate: 6986 	 duration: 505 
rate: 6648 	 duration: 500 
rate: 8904 	 duration: 500 
rate: 8578 	 duration: 505 
rate: 8940 	 duration: 506 
rate: 8184 	 duration: 500 
rate: 8760 	 duration: 500 
rate: 8232 	 duration: 500 
rate: 7896 	 duration: 500 
rate: 7832 	 duration: 501 
rate: 7560 	 duration: 500 
rate: 8215 	 duration: 501 
rate: 10272 	 duration: 507 
rate: 9456 	 duration: 500 
rate: 7320 	 duration: 500 
rate: 6371 	 duration: 501 
rate: 7242 	 duration: 507 
rate: 8976 	 duration: 500 
rate: 8526 	 duration: 501 
rate: 7913 	 duration: 508 
rate: 7362 	 duration: 502 
rate: 8055 	 duration: 502 
rate: 7640 	 duration: 512 
rate: 8640 	 duration: 500 
rate: 9005 	 duration: 501 
rate: 10272 	 duration: 500 
rate: 10608 	 duration: 500 
rate: 9792 	 duration: 500 
rate: 9948 	 duration: 503 
rate: 9972 	 duration: 503 
rate: 7800 	 duration: 500 
rate: 7497 	 duration: 501 
rate: 6912 	 duration: 500 
rate: 7128 	 duration: 500 
rate: 7556 	 duration: 505 
rate: 7032 	 duration: 500 
rate: 8424 	 duration: 500 
rate: 8142 	 duration: 507 
rate: 7032 	 duration: 500 
rate: 6741 	 duration: 502 
rate: 7338 	 duration: 502 
rate: 8304 	 duration: 500 
rate: 8880 	 duration: 500 
rate: 6576 	 duration: 500 
rate: 7224 	 duration: 500 
rate: 6576 	 duration: 500 
rate: 6456 	 duration: 500 
rate: 7736 	 duration: 501 
rate: 7896 	 duration: 500 
rate: 6792 	 duration: 500 
rate: 6826 	 duration: 501 
rate: 6706 	 duration: 501 
rate: 4680 	 duration: 500 
rate: 4118 	 duration: 507 
rate: 6023 	 duration: 506 
rate: 7952 	 duration: 501 
rate: 6730 	 duration: 501 
rate: 8184 	 duration: 500 
rate: 10152 	 duration: 500 
rate: 7699 	 duration: 505 
rate: 7904 	 duration: 501 
rate: 4666 	 duration: 504 
rate: 8500 	 duration: 504 
rate: 5952 	 duration: 504 
rate: 5320 	 duration: 503 
rate: 8335 	 duration: 501 
rate: 8088 	 duration: 500 
rate: 8040 	 duration: 500 
rate: 8309 	 duration: 504 
rate: 7944 	 duration: 500 
rate: 12672 	 duration: 500 
rate: 10512 	 duration: 500 
rate: 10752 	 duration: 500 
rate: 9101 	 duration: 501 
rate: 8716 	 duration: 508 
rate: 7776 	 duration: 500 
rate: 6912 	 duration: 500 
rate: 8673 	 duration: 505 
rate: 7832 	 duration: 501 
rate: 9408 	 duration: 500 
rate: 9077 	 duration: 501 
rate: 8640 	 duration: 500 
rate: 8407 	 duration: 501 
rate: 7080 	 duration: 500 
rate: 9049 	 duration: 541 
rate: 7440 	 duration: 500 
rate: 7386 	 duration: 502 
rate: 6144 	 duration: 500 
rate: 6888 	 duration: 500 
rate: 5628 	 duration: 501 
rate: 6000 	 duration: 500 
rate: 5716 	 duration: 508 
rate: 5293 	 duration: 501 
rate: 6720 	 duration: 500 
rate: 6048 	 duration: 500 
rate: 7243 	 duration: 502 
rate: 7512 	 duration: 500 
rate: 6240 	 duration: 500 
rate: 5472 	 duration: 500 
rate: 7065 	 duration: 501 
rate: 6047 	 duration: 504 
rate: 6216 	 duration: 500 
rate: 6956 	 duration: 502 
rate: 7896 	 duration: 500 
rate: 5341 	 duration: 501 
rate: 6679 	 duration: 503 
rate: 6332 	 duration: 506 
rate: 8254 	 duration: 503 
rate: 7224 	 duration: 500 
rate: 7425 	 duration: 501 
rate: 8352 	 duration: 500 
rate: 5630 	 duration: 503 
rate: 6874 	 duration: 501 
rate: 6479 	 duration: 513 
rate: 8839 	 duration: 505 
rate: 7952 	 duration: 501 
rate: 6720 	 duration: 500 
rate: 6744 	 duration: 500 
rate: 7608 	 duration: 500 
rate: 7368 	 duration: 500 
rate: 7912 	 duration: 502 
rate: 7760 	 duration: 501 
rate: 8646 	 duration: 501 
rate: 9288 	 duration: 500 
rate: 8133 	 duration: 509 
rate: 7541 	 duration: 506 
rate: 7642 	 duration: 504 
rate: 7272 	 duration: 500 
