#t:nan-nan ; rate:nan-nan
rate: 9048 	 duration: 500 
rate: 7247 	 duration: 510 
rate: 3880 	 duration: 501 
rate: 10416 	 duration: 500 
rate: 11664 	 duration: 500 
rate: 12672 	 duration: 500 
rate: 12240 	 duration: 500 
rate: 6095 	 duration: 502 
rate: 9312 	 duration: 500 
rate: 11088 	 duration: 500 
rate: 12696 	 duration: 500 
rate: 8970 	 duration: 507 
rate: 4191 	 duration: 501 
rate: 9864 	 duration: 500 
rate: 10344 	 duration: 500 
rate: 11713 	 duration: 503 
rate: 10080 	 duration: 500 
rate: 9227 	 duration: 502 
rate: 12047 	 duration: 501 
rate: 12576 	 duration: 500 
rate: 12024 	 duration: 500 
rate: 11304 	 duration: 500 
rate: 11497 	 duration: 501 
rate: 11090 	 duration: 528 
rate: 10608 	 duration: 500 
rate: 6850 	 duration: 501 
rate: 11544 	 duration: 500 
rate: 5437 	 duration: 501 
rate: 4296 	 duration: 500 
rate: 4848 	 duration: 500 
rate: 3000 	 duration: 504 
rate: 4353 	 duration: 543 
rate: 2472 	 duration: 500 
rate: 3216 	 duration: 500 
rate: 6203 	 duration: 501 
rate: 2712 	 duration: 500 
rate: 3074 	 duration: 601 
rate: 1550 	 duration: 503 
rate: 1357 	 duration: 504 
rate: 1920 	 duration: 500 
rate: 1920 	 duration: 506 
rate: 2566 	 duration: 505 
rate: 1333 	 duration: 504 
rate: 2129 	 duration: 541 
rate: 6816 	 duration: 500 
rate: 7297 	 duration: 541 
rate: 6864 	 duration: 500 
rate: 10800 	 duration: 500 
rate: 6264 	 duration: 500 
rate: 10392 	 duration: 500 
rate: 9864 	 duration: 500 
rate: 9024 	 duration: 500 
rate: 2738 	 duration: 504 
rate: 9029 	 duration: 501 
rate: 7704 	 duration: 500 
rate: 11112 	 duration: 500 
rate: 12384 	 duration: 500 
rate: 13224 	 duration: 500 
rate: 9961 	 duration: 524 
rate: 9384 	 duration: 500 
rate: 10032 	 duration: 500 
rate: 6549 	 duration: 502 
rate: 3168 	 duration: 500 
rate: 8007 	 duration: 517 
rate: 2605 	 duration: 502 
rate: 2314 	 duration: 508 
rate: 2749 	 duration: 502 
rate: 5136 	 duration: 500 
rate: 1560 	 duration: 500 
rate: 7560 	 duration: 500 
rate: 11131 	 duration: 511 
rate: 11496 	 duration: 500 
rate: 12888 	 duration: 500 
rate: 6192 	 duration: 500 
rate: 6168 	 duration: 500 
rate: 7152 	 duration: 500 
rate: 8260 	 duration: 507 
rate: 9504 	 duration: 500 
rate: 10056 	 duration: 500 
rate: 10728 	 duration: 500 
rate: 11688 	 duration: 500 
rate: 11640 	 duration: 500 
rate: 11016 	 duration: 500 
rate: 11424 	 duration: 500 
rate: 6072 	 duration: 500 
rate: 5005 	 duration: 501 
rate: 8592 	 duration: 500 
rate: 10800 	 duration: 500 
rate: 12720 	 duration: 500 
rate: 12456 	 duration: 500 
rate: 12384 	 duration: 500 
rate: 11688 	 duration: 500 
rate: 11688 	 duration: 500 
rate: 11277 	 duration: 515 
rate: 9840 	 duration: 500 
rate: 12024 	 duration: 500 
rate: 10778 	 duration: 501 
rate: 12408 	 duration: 500 
rate: 11472 	 duration: 500 
rate: 10704 	 duration: 500 
rate: 9614 	 duration: 503 
rate: 10994 	 duration: 501 
rate: 11424 	 duration: 500 
rate: 7416 	 duration: 500 
rate: 11520 	 duration: 526 
rate: 5029 	 duration: 501 
rate: 4861 	 duration: 506 
rate: 5485 	 duration: 501 
rate: 4344 	 duration: 500 
rate: 7680 	 duration: 500 
rate: 7800 	 duration: 500 
rate: 4287 	 duration: 501 
rate: 4520 	 duration: 507 
rate: 2183 	 duration: 522 
rate: 6023 	 duration: 506 
rate: 5840 	 duration: 526 
rate: 4933 	 duration: 540 
rate: 3864 	 duration: 503 
rate: 3336 	 duration: 500 
rate: 5712 	 duration: 500 
rate: 6730 	 duration: 501 
rate: 5952 	 duration: 500 
rate: 4573 	 duration: 509 
rate: 4055 	 duration: 506 
rate: 5407 	 duration: 506 
rate: 3203 	 duration: 502 
rate: 2424 	 duration: 500 
rate: 3298 	 duration: 502 
rate: 3880 	 duration: 501 
rate: 5558 	 duration: 503 
rate: 5091 	 duration: 502 
rate: 2063 	 duration: 506 
rate: 2270 	 duration: 502 
rate: 4296 	 duration: 500 
rate: 1922 	 duration: 543 
rate: 4200 	 duration: 520 
rate: 5016 	 duration: 500 
rate: 550 	 duration: 501 
rate: 3096 	 duration: 500 
rate: 2027 	 duration: 509 
rate: 1005 	 duration: 501 
rate: 2131 	 duration: 501 
rate: 3192 	 duration: 500 
rate: 1820 	 duration: 501 
rate: 2461 	 duration: 590 
rate: 3561 	 duration: 502 
rate: 2040 	 duration: 500 
rate: 3835 	 duration: 535 
rate: 4541 	 duration: 502 
rate: 2500 	 duration: 528 
rate: 3705 	 duration: 502 
rate: 2603 	 duration: 507 
rate: 2904 	 duration: 500 
rate: 2438 	 duration: 556 
rate: 2712 	 duration: 500 
rate: 2461 	 duration: 507 
rate: 2130 	 duration: 507 
rate: 2323 	 duration: 501 
rate: 3000 	 duration: 520 
rate: 1717 	 duration: 531 
rate: 1560 	 duration: 500 
rate: 1772 	 duration: 501 
rate: 1864 	 duration: 502 
rate: 1641 	 duration: 519 
rate: 2970 	 duration: 501 
rate: 2138 	 duration: 505 
rate: 1720 	 duration: 516 
rate: 2142 	 duration: 504 
rate: 2203 	 duration: 501 
rate: 3736 	 duration: 501 
rate: 1996 	 duration: 547 
rate: 3832 	 duration: 501 
rate: 3681 	 duration: 502 
rate: 3720 	 duration: 500 
rate: 3600 	 duration: 500 
rate: 4304 	 duration: 513 
rate: 4346 	 duration: 508 
rate: 4047 	 duration: 504 
rate: 2509 	 duration: 502 
rate: 3360 	 duration: 500 
rate: 3692 	 duration: 507 
rate: 2447 	 duration: 559 
rate: 1005 	 duration: 501 
rate: 2666 	 duration: 513 
rate: 2970 	 duration: 505 
rate: 3554 	 duration: 503 
rate: 2611 	 duration: 510 
rate: 4694 	 duration: 501 
rate: 2364 	 duration: 543 
rate: 1944 	 duration: 500 
rate: 2603 	 duration: 507 
rate: 1536 	 duration: 500 
rate: 2247 	 duration: 502 
rate: 1247 	 duration: 510 
rate: 2754 	 duration: 501 
rate: 2496 	 duration: 500 
rate: 3176 	 duration: 510 
rate: 3206 	 duration: 509 
rate: 2413 	 duration: 517 
rate: 3992 	 duration: 502 
rate: 1214 	 duration: 504 
rate: 3576 	 duration: 500 
rate: 5376 	 duration: 500 
rate: 2357 	 duration: 514 
rate: 4087 	 duration: 502 
rate: 3329 	 duration: 501 
rate: 1915 	 duration: 545 
rate: 2157 	 duration: 595 
rate: 3285 	 duration: 504 
rate: 2434 	 duration: 557 
rate: 5226 	 duration: 512 
rate: 1892 	 duration: 501 
rate: 3214 	 duration: 504 
rate: 2282 	 duration: 510 
rate: 3185 	 duration: 501 
rate: 4071 	 duration: 501 
rate: 2256 	 duration: 500 
rate: 6083 	 duration: 503 
rate: 3445 	 duration: 519 
rate: 2640 	 duration: 500 
rate: 4151 	 duration: 503 
rate: 4536 	 duration: 500 
rate: 5149 	 duration: 501 
rate: 3306 	 duration: 519 
rate: 5868 	 duration: 501 
rate: 9960 	 duration: 500 
rate: 11424 	 duration: 500 
rate: 12072 	 duration: 500 
rate: 11880 	 duration: 500 
rate: 12816 	 duration: 500 
rate: 15616 	 duration: 501 
rate: 10728 	 duration: 500 
rate: 12576 	 duration: 500 
rate: 10872 	 duration: 500 
rate: 12144 	 duration: 500 
rate: 12120 	 duration: 500 
rate: 10769 	 duration: 507 
rate: 9552 	 duration: 500 
rate: 11544 	 duration: 500 
rate: 11616 	 duration: 500 
rate: 12096 	 duration: 500 
rate: 11304 	 duration: 500 
rate: 11784 	 duration: 500 
rate: 11544 	 duration: 500 
rate: 12336 	 duration: 500 
rate: 11448 	 duration: 500 
rate: 11016 	 duration: 500 
rate: 10416 	 duration: 500 
rate: 11208 	 duration: 500 
rate: 12240 	 duration: 500 
rate: 12072 	 duration: 500 
rate: 12288 	 duration: 500 
rate: 11712 	 duration: 500 
rate: 11688 	 duration: 500 
rate: 11640 	 duration: 501 
rate: 11904 	 duration: 500 
rate: 11041 	 duration: 501 
rate: 11064 	 duration: 500 
rate: 12096 	 duration: 500 
rate: 13296 	 duration: 500 
rate: 12144 	 duration: 500 
rate: 12624 	 duration: 500 
rate: 13608 	 duration: 500 
rate: 11880 	 duration: 500 
rate: 10632 	 duration: 500 
rate: 11712 	 duration: 500 
rate: 12360 	 duration: 500 
rate: 12600 	 duration: 500 
rate: 12960 	 duration: 500 
rate: 10560 	 duration: 500 
rate: 11856 	 duration: 500 
rate: 11688 	 duration: 500 
rate: 11568 	 duration: 500 
rate: 11281 	 duration: 501 
rate: 12840 	 duration: 500 
rate: 12072 	 duration: 500 
rate: 11616 	 duration: 500 
rate: 12792 	 duration: 500 
rate: 11664 	 duration: 500 
rate: 12096 	 duration: 500 
rate: 10632 	 duration: 500 
rate: 10776 	 duration: 500 
rate: 10536 	 duration: 500 
rate: 11712 	 duration: 500 
rate: 11328 	 duration: 500 
rate: 12456 	 duration: 500 
rate: 12264 	 duration: 500 
rate: 11208 	 duration: 500 
rate: 11640 	 duration: 500 
rate: 12120 	 duration: 500 
rate: 12384 	 duration: 500 
rate: 12384 	 duration: 500 
rate: 12528 	 duration: 500 
rate: 12744 	 duration: 500 
rate: 12288 	 duration: 500 
rate: 13437 	 duration: 501 
rate: 9288 	 duration: 540 
rate: 1541 	 duration: 506 
rate: 2183 	 duration: 511 
rate: 3065 	 duration: 501 
rate: 3476 	 duration: 504 
rate: 1440 	 duration: 500 
rate: 4862 	 duration: 501 
rate: 2875 	 duration: 505 
rate: 1809 	 duration: 504 
rate: 2304 	 duration: 500 
rate: 2247 	 duration: 502 
rate: 2376 	 duration: 500 
rate: 1320 	 duration: 500 
rate: 1771 	 duration: 508 
rate: 672 	 duration: 500 
rate: 1382 	 duration: 512 
rate: 1617 	 duration: 549 
rate: 2437 	 duration: 512 
rate: 1467 	 duration: 507 
rate: 2380 	 duration: 504 
rate: 3141 	 duration: 508 
rate: 2338 	 duration: 508 
rate: 6566 	 duration: 519 
rate: 4656 	 duration: 500 
rate: 10416 	 duration: 500 
rate: 11400 	 duration: 500 
rate: 11376 	 duration: 500 
rate: 12384 	 duration: 500 
rate: 12096 	 duration: 500 
rate: 11520 	 duration: 500 
rate: 12408 	 duration: 500 
rate: 12072 	 duration: 500 
rate: 12120 	 duration: 500 
rate: 12456 	 duration: 500 
rate: 12120 	 duration: 500 
rate: 12312 	 duration: 500 
rate: 10320 	 duration: 500 
rate: 10944 	 duration: 500 
rate: 11328 	 duration: 500 
rate: 12144 	 duration: 500 
rate: 11016 	 duration: 500 
rate: 9984 	 duration: 500 
rate: 12384 	 duration: 500 
rate: 12024 	 duration: 500 
rate: 11329 	 duration: 501 
rate: 12432 	 duration: 500 
rate: 10848 	 duration: 500 
rate: 10656 	 duration: 500 
rate: 12672 	 duration: 500 
rate: 11760 	 duration: 500 
rate: 12960 	 duration: 500 
rate: 12360 	 duration: 500 
rate: 13080 	 duration: 500 
rate: 10872 	 duration: 500 
rate: 13008 	 duration: 500 
rate: 7992 	 duration: 500 
rate: 7056 	 duration: 500 
rate: 5688 	 duration: 500 
rate: 9336 	 duration: 500 
rate: 11976 	 duration: 500 
rate: 13197 	 duration: 501 
rate: 9052 	 duration: 513 
rate: 2227 	 duration: 501 
rate: 5304 	 duration: 500 
rate: 5352 	 duration: 500 
rate: 8502 	 duration: 501 
rate: 6264 	 duration: 500 
rate: 4159 	 duration: 502 
rate: 5545 	 duration: 502 
rate: 5568 	 duration: 500 
rate: 7119 	 duration: 504 
rate: 5856 	 duration: 500 
rate: 2704 	 duration: 528 
rate: 6045 	 duration: 528 
rate: 5940 	 duration: 507 
rate: 3528 	 duration: 500 
