#t:nan-nan ; rate:nan-nan
rate: 8184 	 duration: 500 
rate: 7584 	 duration: 500 
rate: 7392 	 duration: 500 
rate: 7760 	 duration: 501 
rate: 7147 	 duration: 507 
rate: 7032 	 duration: 500 
rate: 7680 	 duration: 500 
rate: 7867 	 duration: 514 
rate: 8159 	 duration: 503 
rate: 8483 	 duration: 505 
rate: 8815 	 duration: 505 
rate: 9192 	 duration: 500 
rate: 8469 	 duration: 503 
rate: 8304 	 duration: 500 
rate: 8376 	 duration: 500 
rate: 8736 	 duration: 500 
rate: 8720 	 duration: 505 
rate: 9317 	 duration: 510 
rate: 9197 	 duration: 501 
rate: 7071 	 duration: 504 
rate: 6286 	 duration: 502 
rate: 7200 	 duration: 500 
rate: 6888 	 duration: 500 
rate: 8151 	 duration: 502 
rate: 10080 	 duration: 500 
rate: 9681 	 duration: 502 
rate: 9600 	 duration: 500 
rate: 8342 	 duration: 502 
rate: 7248 	 duration: 500 
rate: 7536 	 duration: 500 
rate: 8079 	 duration: 502 
rate: 7536 	 duration: 500 
rate: 7043 	 duration: 506 
rate: 6168 	 duration: 500 
rate: 7261 	 duration: 509 
rate: 7425 	 duration: 501 
rate: 5868 	 duration: 503 
rate: 7176 	 duration: 500 
rate: 8191 	 duration: 501 
rate: 8359 	 duration: 501 
rate: 9024 	 duration: 500 
rate: 8838 	 duration: 501 
rate: 8448 	 duration: 500 
rate: 9024 	 duration: 500 
rate: 7673 	 duration: 502 
rate: 7482 	 duration: 510 
rate: 8088 	 duration: 500 
rate: 7632 	 duration: 500 
rate: 9023 	 duration: 504 
rate: 8352 	 duration: 500 
rate: 8616 	 duration: 500 
rate: 7625 	 duration: 502 
rate: 8760 	 duration: 500 
rate: 8952 	 duration: 500 
rate: 9024 	 duration: 500 
rate: 9072 	 duration: 500 
rate: 9052 	 duration: 513 
rate: 10634 	 duration: 501 
rate: 9408 	 duration: 500 
rate: 7601 	 duration: 502 
rate: 8414 	 duration: 502 
rate: 7728 	 duration: 500 
rate: 7789 	 duration: 513 
rate: 7649 	 duration: 502 
rate: 8046 	 duration: 513 
rate: 8263 	 duration: 501 
rate: 8254 	 duration: 503 
rate: 7752 	 duration: 500 
rate: 8055 	 duration: 502 
rate: 7056 	 duration: 500 
rate: 7833 	 duration: 504 
rate: 5729 	 duration: 511 
rate: 6724 	 duration: 505 
rate: 6328 	 duration: 512 
rate: 5380 	 duration: 562 
rate: 8605 	 duration: 502 
rate: 7896 	 duration: 500 
rate: 7656 	 duration: 500 
rate: 8326 	 duration: 503 
rate: 8605 	 duration: 502 
rate: 5952 	 duration: 500 
rate: 14136 	 duration: 500 
rate: 8809 	 duration: 504 
rate: 9372 	 duration: 507 
rate: 11208 	 duration: 500 
rate: 9155 	 duration: 502 
rate: 10254 	 duration: 502 
rate: 9984 	 duration: 500 
rate: 10577 	 duration: 506 
rate: 11641 	 duration: 502 
rate: 10824 	 duration: 500 
rate: 10248 	 duration: 500 
rate: 10680 	 duration: 500 
rate: 11039 	 duration: 512 
rate: 11067 	 duration: 502 
rate: 10248 	 duration: 500 
rate: 8287 	 duration: 501 
rate: 8159 	 duration: 503 
rate: 8479 	 duration: 501 
rate: 7880 	 duration: 501 
rate: 10536 	 duration: 500 
rate: 11304 	 duration: 500 
rate: 9928 	 duration: 504 
rate: 11424 	 duration: 500 
rate: 10248 	 duration: 500 
rate: 8568 	 duration: 500 
rate: 8472 	 duration: 500 
rate: 8400 	 duration: 500 
rate: 8208 	 duration: 500 
rate: 8749 	 duration: 502 
rate: 9083 	 duration: 502 
rate: 8952 	 duration: 500 
rate: 8701 	 duration: 502 
rate: 8214 	 duration: 504 
rate: 8677 	 duration: 502 
rate: 9210 	 duration: 512 
rate: 7890 	 duration: 511 
rate: 8280 	 duration: 500 
rate: 10078 	 duration: 512 
rate: 8850 	 duration: 503 
rate: 7195 	 duration: 502 
rate: 7488 	 duration: 500 
rate: 6769 	 duration: 507 
rate: 7766 	 duration: 513 
rate: 6888 	 duration: 500 
rate: 8160 	 duration: 500 
rate: 6491 	 duration: 501 
rate: 6888 	 duration: 500 
rate: 7392 	 duration: 500 
rate: 9144 	 duration: 500 
rate: 8976 	 duration: 500 
rate: 9165 	 duration: 508 
rate: 8040 	 duration: 500 
rate: 7968 	 duration: 500 
rate: 7945 	 duration: 512 
rate: 8592 	 duration: 500 
rate: 6510 	 duration: 505 
rate: 7113 	 duration: 501 
rate: 8653 	 duration: 502 
rate: 7704 	 duration: 500 
rate: 9240 	 duration: 500 
rate: 9227 	 duration: 502 
rate: 8574 	 duration: 501 
rate: 6323 	 duration: 501 
rate: 7223 	 duration: 505 
rate: 6984 	 duration: 500 
rate: 7320 	 duration: 500 
