#t:nan-nan ; rate:nan-nan
rate: 5544 	 duration: 500 
rate: 6759 	 duration: 529 
rate: 10248 	 duration: 500 
rate: 5893 	 duration: 507 
rate: 9351 	 duration: 503 
rate: 14832 	 duration: 500 
rate: 13224 	 duration: 500 
rate: 11928 	 duration: 500 
rate: 4948 	 duration: 502 
rate: 5568 	 duration: 500 
rate: 5837 	 duration: 518 
rate: 6560 	 duration: 514 
rate: 6239 	 duration: 502 
rate: 7257 	 duration: 501 
rate: 17200 	 duration: 503 
rate: 13461 	 duration: 501 
rate: 10347 	 duration: 501 
rate: 16056 	 duration: 500 
rate: 15449 	 duration: 501 
rate: 14371 	 duration: 501 
rate: 19547 	 duration: 504 
rate: 19632 	 duration: 500 
rate: 15530 	 duration: 503 
rate: 16103 	 duration: 503 
rate: 18744 	 duration: 500 
rate: 13899 	 duration: 518 
rate: 17573 	 duration: 506 
rate: 19848 	 duration: 500 
rate: 13296 	 duration: 500 
rate: 20167 	 duration: 501 
rate: 17437 	 duration: 501 
rate: 11064 	 duration: 500 
rate: 11904 	 duration: 500 
rate: 10080 	 duration: 500 
rate: 8476 	 duration: 504 
rate: 18214 	 duration: 504 
rate: 16680 	 duration: 500 
rate: 13233 	 duration: 506 
rate: 20490 	 duration: 506 
rate: 13173 	 duration: 501 
rate: 14467 	 duration: 501 
rate: 12336 	 duration: 500 
rate: 9912 	 duration: 500 
rate: 11856 	 duration: 502 
rate: 15705 	 duration: 502 
rate: 18738 	 duration: 504 
rate: 6898 	 duration: 501 
rate: 12381 	 duration: 503 
rate: 21173 	 duration: 501 
rate: 18744 	 duration: 500 
rate: 16656 	 duration: 500 
rate: 15690 	 duration: 517 
rate: 1665 	 duration: 879 
rate: 13147 	 duration: 502 
rate: 21336 	 duration: 500 
rate: 16584 	 duration: 513 
rate: 7900 	 duration: 521 
rate: 9000 	 duration: 504 
rate: 7592 	 duration: 501 
rate: 7714 	 duration: 504 
rate: 4935 	 duration: 513 
rate: 30629 	 duration: 505 
rate: 28135 	 duration: 502 
rate: 18120 	 duration: 500 
rate: 17196 	 duration: 508 
rate: 22032 	 duration: 500 
rate: 25813 	 duration: 503 
rate: 25868 	 duration: 501 
rate: 27360 	 duration: 500 
rate: 26347 	 duration: 501 
rate: 18962 	 duration: 505 
rate: 16416 	 duration: 500 
rate: 21077 	 duration: 505 
rate: 17764 	 duration: 510 
rate: 12552 	 duration: 500 
rate: 21312 	 duration: 500 
rate: 20568 	 duration: 500 
rate: 15984 	 duration: 500 
rate: 12834 	 duration: 503 
rate: 11113 	 duration: 501 
rate: 12801 	 duration: 509 
rate: 18597 	 duration: 502 
rate: 9408 	 duration: 500 
rate: 12360 	 duration: 500 
rate: 14095 	 duration: 504 
rate: 12480 	 duration: 500 
rate: 8304 	 duration: 500 
rate: 11425 	 duration: 501 
rate: 7591 	 duration: 509 
rate: 5512 	 duration: 505 
rate: 7157 	 duration: 503 
rate: 7625 	 duration: 502 
rate: 6777 	 duration: 563 
rate: 12357 	 duration: 503 
rate: 23067 	 duration: 502 
rate: 19362 	 duration: 502 
rate: 10491 	 duration: 501 
rate: 12978 	 duration: 503 
rate: 13077 	 duration: 501 
rate: 11784 	 duration: 501 
rate: 12525 	 duration: 502 
rate: 9425 	 duration: 508 
rate: 10059 	 duration: 501 
rate: 12528 	 duration: 500 
rate: 10536 	 duration: 500 
rate: 10038 	 duration: 728 
rate: 16785 	 duration: 504 
rate: 23187 	 duration: 502 
rate: 30456 	 duration: 500 
rate: 32376 	 duration: 500 
rate: 28584 	 duration: 500 
rate: 27776 	 duration: 502 
rate: 28866 	 duration: 503 
rate: 27154 	 duration: 506 
rate: 27984 	 duration: 500 
rate: 27072 	 duration: 500 
rate: 25872 	 duration: 500 
rate: 23784 	 duration: 500 
rate: 26481 	 duration: 503 
rate: 20683 	 duration: 503 
rate: 19632 	 duration: 500 
rate: 17378 	 duration: 502 
rate: 20496 	 duration: 500 
rate: 19928 	 duration: 507 
rate: 14791 	 duration: 503 
rate: 24214 	 duration: 503 
rate: 15648 	 duration: 500 
rate: 21298 	 duration: 502 
rate: 24166 	 duration: 505 
rate: 18576 	 duration: 500 
rate: 31257 	 duration: 501 
rate: 32496 	 duration: 500 
rate: 22514 	 duration: 501 
rate: 20677 	 duration: 502 
rate: 16526 	 duration: 501 
rate: 11736 	 duration: 501 
rate: 16344 	 duration: 500 
rate: 17496 	 duration: 500 
rate: 19344 	 duration: 500 
rate: 10512 	 duration: 500 
rate: 13440 	 duration: 500 
rate: 11306 	 duration: 502 
rate: 14685 	 duration: 505 
rate: 9288 	 duration: 500 
rate: 9709 	 duration: 503 
rate: 11784 	 duration: 502 
rate: 13772 	 duration: 501 
rate: 8167 	 duration: 501 
rate: 5681 	 duration: 509 
rate: 12312 	 duration: 500 
rate: 14385 	 duration: 503 
rate: 18792 	 duration: 500 
rate: 18240 	 duration: 500 
rate: 15096 	 duration: 500 
rate: 18286 	 duration: 502 
rate: 23496 	 duration: 500 
rate: 24359 	 duration: 501 
rate: 28277 	 duration: 505 
rate: 26922 	 duration: 501 
rate: 22388 	 duration: 536 
rate: 23832 	 duration: 500 
rate: 19968 	 duration: 500 
rate: 23188 	 duration: 503 
rate: 18696 	 duration: 500 
rate: 15720 	 duration: 500 
rate: 14868 	 duration: 502 
rate: 15192 	 duration: 500 
rate: 19013 	 duration: 503 
rate: 28260 	 duration: 507 
rate: 27240 	 duration: 500 
rate: 26323 	 duration: 501 
rate: 22706 	 duration: 501 
rate: 38016 	 duration: 500 
rate: 38496 	 duration: 500 
rate: 48432 	 duration: 500 
rate: 51928 	 duration: 501 
rate: 43147 	 duration: 502 
rate: 57652 	 duration: 501 
rate: 50136 	 duration: 500 
rate: 49792 	 duration: 502 
rate: 51984 	 duration: 500 
rate: 39736 	 duration: 501 
rate: 51808 	 duration: 501 
rate: 41952 	 duration: 500 
rate: 55920 	 duration: 500 
rate: 58104 	 duration: 500 
rate: 66648 	 duration: 500 
rate: 54095 	 duration: 502 
rate: 37584 	 duration: 500 
rate: 36873 	 duration: 522 
rate: 24576 	 duration: 500 
rate: 18932 	 duration: 502 
rate: 17604 	 duration: 501 
rate: 14316 	 duration: 518 
rate: 14797 	 duration: 519 
rate: 3552 	 duration: 1010 
