#t:nan-nan ; rate:nan-nan
rate: 17664 	 duration: 500 
rate: 23880 	 duration: 500 
rate: 21888 	 duration: 500 
rate: 22800 	 duration: 500 
rate: 20808 	 duration: 500 
rate: 21288 	 duration: 500 
rate: 21456 	 duration: 500 
rate: 21240 	 duration: 500 
rate: 23041 	 duration: 501 
rate: 23544 	 duration: 500 
rate: 17232 	 duration: 500 
rate: 21408 	 duration: 500 
rate: 22464 	 duration: 500 
rate: 22032 	 duration: 500 
rate: 23136 	 duration: 500 
rate: 22735 	 duration: 503 
rate: 22320 	 duration: 500 
rate: 18504 	 duration: 500 
rate: 20952 	 duration: 500 
rate: 17016 	 duration: 500 
rate: 17568 	 duration: 500 
rate: 20880 	 duration: 500 
rate: 22608 	 duration: 500 
rate: 20088 	 duration: 500 
rate: 16848 	 duration: 500 
rate: 17166 	 duration: 511 
rate: 18259 	 duration: 508 
rate: 9960 	 duration: 500 
rate: 15360 	 duration: 500 
rate: 14016 	 duration: 500 
rate: 15504 	 duration: 500 
rate: 17349 	 duration: 507 
rate: 14448 	 duration: 500 
rate: 12048 	 duration: 500 
rate: 18286 	 duration: 502 
rate: 14045 	 duration: 522 
rate: 12960 	 duration: 500 
rate: 21456 	 duration: 500 
rate: 22536 	 duration: 500 
rate: 21120 	 duration: 500 
rate: 17280 	 duration: 500 
rate: 16440 	 duration: 500 
rate: 15744 	 duration: 500 
rate: 16776 	 duration: 500 
rate: 18656 	 duration: 503 
rate: 23352 	 duration: 500 
rate: 19560 	 duration: 500 
rate: 18768 	 duration: 500 
rate: 18262 	 duration: 502 
rate: 20136 	 duration: 500 
rate: 24336 	 duration: 500 
rate: 20910 	 duration: 501 
rate: 16920 	 duration: 500 
rate: 17904 	 duration: 500 
rate: 10850 	 duration: 501 
rate: 10706 	 duration: 501 
rate: 12954 	 duration: 503 
rate: 12024 	 duration: 500 
rate: 10756 	 duration: 502 
rate: 8335 	 duration: 501 
rate: 9936 	 duration: 500 
rate: 16608 	 duration: 500 
rate: 20688 	 duration: 500 
rate: 9250 	 duration: 502 
rate: 12910 	 duration: 501 
rate: 12456 	 duration: 500 
rate: 13704 	 duration: 500 
rate: 13896 	 duration: 500 
rate: 11976 	 duration: 501 
rate: 13056 	 duration: 500 
rate: 14658 	 duration: 501 
rate: 12264 	 duration: 500 
rate: 10176 	 duration: 500 
rate: 11400 	 duration: 500 
rate: 12383 	 duration: 501 
rate: 13512 	 duration: 500 
rate: 12215 	 duration: 501 
rate: 14664 	 duration: 500 
rate: 19584 	 duration: 500 
rate: 23640 	 duration: 500 
rate: 21864 	 duration: 500 
rate: 23016 	 duration: 500 
rate: 21720 	 duration: 500 
rate: 19824 	 duration: 500 
rate: 20544 	 duration: 500 
rate: 19243 	 duration: 502 
rate: 18600 	 duration: 500 
rate: 12479 	 duration: 501 
rate: 12645 	 duration: 502 
rate: 17772 	 duration: 501 
rate: 15561 	 duration: 502 
rate: 23208 	 duration: 500 
rate: 14880 	 duration: 500 
rate: 20232 	 duration: 500 
rate: 17352 	 duration: 500 
rate: 24408 	 duration: 500 
rate: 17232 	 duration: 500 
rate: 20064 	 duration: 500 
rate: 20952 	 duration: 500 
rate: 13341 	 duration: 501 
rate: 21096 	 duration: 500 
rate: 17952 	 duration: 500 
rate: 16776 	 duration: 500 
rate: 19104 	 duration: 500 
rate: 13536 	 duration: 500 
rate: 18000 	 duration: 500 
rate: 19368 	 duration: 500 
rate: 14815 	 duration: 503 
rate: 15072 	 duration: 500 
rate: 16152 	 duration: 500 
rate: 11264 	 duration: 506 
rate: 11448 	 duration: 500 
rate: 13752 	 duration: 500 
rate: 13224 	 duration: 500 
