#t:nan-nan ; rate:nan-nan
rate: 7721 	 duration: 502 
rate: 5631 	 duration: 505 
rate: 5716 	 duration: 508 
rate: 7056 	 duration: 500 
rate: 6163 	 duration: 514 
rate: 6360 	 duration: 500 
rate: 6850 	 duration: 501 
rate: 8616 	 duration: 500 
rate: 4560 	 duration: 500 
rate: 6576 	 duration: 500 
rate: 6720 	 duration: 500 
rate: 7656 	 duration: 500 
rate: 7458 	 duration: 502 
rate: 7497 	 duration: 501 
rate: 8304 	 duration: 500 
rate: 5712 	 duration: 500 
rate: 6382 	 duration: 502 
rate: 7560 	 duration: 500 
rate: 8424 	 duration: 500 
rate: 7880 	 duration: 501 
rate: 6456 	 duration: 513 
rate: 7584 	 duration: 500 
rate: 6864 	 duration: 500 
rate: 7668 	 duration: 507 
rate: 8270 	 duration: 502 
rate: 7252 	 duration: 503 
rate: 9360 	 duration: 500 
rate: 9225 	 duration: 506 
rate: 7248 	 duration: 500 
rate: 8335 	 duration: 501 
rate: 7113 	 duration: 501 
rate: 6806 	 duration: 506 
rate: 7368 	 duration: 500 
rate: 8184 	 duration: 500 
rate: 7656 	 duration: 500 
rate: 3401 	 duration: 501 
rate: 4368 	 duration: 500 
rate: 6730 	 duration: 501 
rate: 5389 	 duration: 501 
rate: 8307 	 duration: 507 
rate: 7180 	 duration: 503 
rate: 7968 	 duration: 500 
rate: 7582 	 duration: 508 
rate: 6072 	 duration: 500 
rate: 7697 	 duration: 502 
rate: 3118 	 duration: 531 
rate: 4536 	 duration: 500 
rate: 5122 	 duration: 506 
rate: 6240 	 duration: 500 
rate: 6504 	 duration: 500 
rate: 6489 	 duration: 503 
rate: 5524 	 duration: 517 
rate: 4239 	 duration: 501 
rate: 3738 	 duration: 504 
rate: 3218 	 duration: 507 
rate: 2233 	 duration: 505 
rate: 3387 	 duration: 503 
rate: 3312 	 duration: 500 
rate: 3785 	 duration: 504 
rate: 5808 	 duration: 500 
rate: 5043 	 duration: 502 
rate: 6177 	 duration: 507 
rate: 5496 	 duration: 500 
rate: 5472 	 duration: 500 
rate: 4198 	 duration: 503 
rate: 6048 	 duration: 500 
rate: 5772 	 duration: 501 
rate: 4680 	 duration: 500 
rate: 4613 	 duration: 502 
rate: 5043 	 duration: 502 
rate: 5088 	 duration: 500 
rate: 5644 	 duration: 506 
rate: 5774 	 duration: 505 
rate: 6454 	 duration: 502 
rate: 5562 	 duration: 507 
rate: 4560 	 duration: 500 
rate: 5376 	 duration: 500 
rate: 6310 	 duration: 502 
rate: 5417 	 duration: 505 
rate: 6164 	 duration: 512 
rate: 7666 	 duration: 504 
rate: 6310 	 duration: 502 
rate: 5715 	 duration: 506 
rate: 6456 	 duration: 500 
rate: 5952 	 duration: 502 
rate: 6888 	 duration: 500 
