#t:nan-nan ; rate:nan-nan
rate: 12646 	 duration: 501 
rate: 11041 	 duration: 501 
rate: 11641 	 duration: 502 
rate: 13219 	 duration: 502 
rate: 12192 	 duration: 500 
rate: 13502 	 duration: 503 
rate: 16251 	 duration: 508 
rate: 10788 	 duration: 505 
rate: 14544 	 duration: 500 
rate: 15732 	 duration: 508 
rate: 15072 	 duration: 500 
rate: 13502 	 duration: 503 
rate: 11880 	 duration: 500 
rate: 10488 	 duration: 508 
rate: 12816 	 duration: 500 
rate: 12119 	 duration: 503 
rate: 16287 	 duration: 501 
rate: 18144 	 duration: 500 
rate: 17952 	 duration: 500 
rate: 19505 	 duration: 502 
rate: 13200 	 duration: 500 
rate: 9264 	 duration: 500 
rate: 10039 	 duration: 502 
rate: 9614 	 duration: 503 
rate: 9161 	 duration: 503 
rate: 8304 	 duration: 500 
rate: 8755 	 duration: 503 
rate: 7656 	 duration: 500 
rate: 8976 	 duration: 500 
rate: 6312 	 duration: 500 
rate: 6382 	 duration: 502 
rate: 5904 	 duration: 500 
rate: 7233 	 duration: 506 
rate: 6286 	 duration: 502 
rate: 6144 	 duration: 500 
rate: 11858 	 duration: 509 
rate: 11544 	 duration: 501 
rate: 14616 	 duration: 500 
rate: 11736 	 duration: 500 
rate: 10179 	 duration: 501 
rate: 15048 	 duration: 500 
rate: 17040 	 duration: 500 
rate: 13320 	 duration: 500 
rate: 10467 	 duration: 501 
rate: 13680 	 duration: 500 
rate: 16800 	 duration: 500 
rate: 14622 	 duration: 508 
rate: 15473 	 duration: 501 
rate: 17016 	 duration: 500 
rate: 12720 	 duration: 500 
rate: 15144 	 duration: 500 
rate: 15240 	 duration: 500 
rate: 11880 	 duration: 500 
rate: 17595 	 duration: 519 
rate: 18576 	 duration: 500 
rate: 18672 	 duration: 500 
rate: 16800 	 duration: 500 
rate: 20736 	 duration: 500 
rate: 19824 	 duration: 500 
rate: 19776 	 duration: 500 
rate: 23045 	 duration: 503 
rate: 29383 	 duration: 506 
rate: 20520 	 duration: 500 
rate: 27840 	 duration: 503 
rate: 19344 	 duration: 500 
rate: 19416 	 duration: 500 
rate: 20362 	 duration: 508 
rate: 26496 	 duration: 500 
rate: 44110 	 duration: 509 
rate: 26976 	 duration: 504 
rate: 24936 	 duration: 500 
rate: 11664 	 duration: 501 
rate: 11808 	 duration: 501 
rate: 8223 	 duration: 502 
rate: 5688 	 duration: 500 
rate: 7123 	 duration: 502 
rate: 7305 	 duration: 501 
rate: 8496 	 duration: 500 
rate: 6369 	 duration: 503 
rate: 7305 	 duration: 501 
rate: 7776 	 duration: 500 
rate: 8400 	 duration: 500 
rate: 7368 	 duration: 500 
rate: 6552 	 duration: 500 
rate: 6840 	 duration: 500 
rate: 14112 	 duration: 500 
rate: 12455 	 duration: 501 
rate: 7656 	 duration: 500 
rate: 10115 	 duration: 503 
rate: 11376 	 duration: 500 
rate: 10130 	 duration: 507 
rate: 10139 	 duration: 503 
rate: 10992 	 duration: 500 
rate: 10128 	 duration: 500 
rate: 9264 	 duration: 500 
rate: 10275 	 duration: 501 
rate: 8127 	 duration: 502 
rate: 9024 	 duration: 500 
rate: 6023 	 duration: 508 
rate: 6048 	 duration: 500 
rate: 5053 	 duration: 501 
rate: 7816 	 duration: 502 
rate: 8000 	 duration: 501 
rate: 10316 	 duration: 506 
rate: 6860 	 duration: 502 
rate: 5256 	 duration: 500 
rate: 5485 	 duration: 501 
rate: 4890 	 duration: 503 
rate: 4221 	 duration: 506 
rate: 883 	 duration: 1304 
rate: 12 	 duration: 994 
rate: 12 	 duration: 1000 
rate: 12 	 duration: 1000 
rate: 11 	 duration: 1001 
rate: 12 	 duration: 999 
rate: 12 	 duration: 1000 
rate: 11 	 duration: 1008 
rate: 3784 	 duration: 501 
rate: 5620 	 duration: 506 
rate: 5928 	 duration: 500 
rate: 6600 	 duration: 500 
rate: 7305 	 duration: 501 
rate: 6432 	 duration: 500 
rate: 4680 	 duration: 500 
rate: 5256 	 duration: 500 
rate: 7119 	 duration: 504 
rate: 5856 	 duration: 500 
rate: 6528 	 duration: 500 
rate: 7824 	 duration: 500 
rate: 6048 	 duration: 500 
rate: 4728 	 duration: 500 
rate: 6456 	 duration: 500 
rate: 6456 	 duration: 500 
rate: 6504 	 duration: 500 
rate: 4246 	 duration: 503 
rate: 5640 	 duration: 500 
rate: 4800 	 duration: 500 
rate: 5694 	 duration: 510 
rate: 4728 	 duration: 500 
rate: 4992 	 duration: 500 
rate: 3274 	 duration: 502 
rate: 5534 	 duration: 503 
rate: 4047 	 duration: 507 
rate: 2650 	 duration: 507 
rate: 1789 	 duration: 503 
rate: 3480 	 duration: 500 
rate: 5280 	 duration: 500 
rate: 4287 	 duration: 501 
rate: 1233 	 duration: 506 
rate: 1341 	 duration: 501 
rate: 3129 	 duration: 510 
rate: 4992 	 duration: 500 
rate: 3681 	 duration: 502 
rate: 2079 	 duration: 502 
rate: 2695 	 duration: 503 
rate: 1526 	 duration: 503 
rate: 2011 	 duration: 507 
