#t:nan-nan ; rate:nan-nan
rate: 2868 	 duration: 502 
rate: 11333 	 duration: 504 
rate: 17664 	 duration: 500 
rate: 16104 	 duration: 500 
rate: 18336 	 duration: 500 
rate: 9508 	 duration: 501 
rate: 9336 	 duration: 500 
rate: 10056 	 duration: 500 
rate: 17616 	 duration: 500 
rate: 18816 	 duration: 500 
rate: 11352 	 duration: 500 
rate: 14832 	 duration: 500 
rate: 10776 	 duration: 500 
rate: 14179 	 duration: 501 
rate: 11256 	 duration: 500 
rate: 5832 	 duration: 500 
rate: 8952 	 duration: 500 
rate: 18275 	 duration: 501 
rate: 11304 	 duration: 500 
rate: 13848 	 duration: 500 
rate: 13320 	 duration: 500 
rate: 12982 	 duration: 501 
rate: 8642 	 duration: 504 
rate: 12576 	 duration: 500 
rate: 8833 	 duration: 504 
rate: 9876 	 duration: 503 
rate: 13632 	 duration: 500 
rate: 18288 	 duration: 500 
rate: 17904 	 duration: 502 
rate: 19896 	 duration: 500 
rate: 15552 	 duration: 500 
rate: 6369 	 duration: 503 
rate: 16311 	 duration: 501 
rate: 14160 	 duration: 500 
rate: 14952 	 duration: 500 
rate: 13392 	 duration: 500 
rate: 6264 	 duration: 567 
rate: 6166 	 duration: 504 
rate: 13512 	 duration: 500 
rate: 14304 	 duration: 500 
rate: 7186 	 duration: 531 
rate: 4893 	 duration: 515 
rate: 6864 	 duration: 500 
rate: 6840 	 duration: 500 
rate: 12436 	 duration: 522 
rate: 7848 	 duration: 500 
rate: 5808 	 duration: 500 
rate: 8982 	 duration: 501 
rate: 16056 	 duration: 500 
rate: 18312 	 duration: 500 
rate: 18624 	 duration: 500 
rate: 16738 	 duration: 509 
rate: 21168 	 duration: 500 
rate: 20574 	 duration: 501 
rate: 16992 	 duration: 500 
rate: 20136 	 duration: 500 
rate: 5895 	 duration: 519 
rate: 14616 	 duration: 500 
rate: 18912 	 duration: 500 
rate: 19800 	 duration: 500 
rate: 19200 	 duration: 500 
rate: 19176 	 duration: 500 
rate: 20904 	 duration: 500 
rate: 17544 	 duration: 500 
rate: 20736 	 duration: 500 
rate: 21192 	 duration: 500 
rate: 10307 	 duration: 546 
rate: 19512 	 duration: 500 
rate: 15960 	 duration: 500 
rate: 8880 	 duration: 500 
rate: 17088 	 duration: 500 
rate: 18912 	 duration: 500 
rate: 18504 	 duration: 500 
rate: 19512 	 duration: 500 
rate: 19584 	 duration: 500 
rate: 12984 	 duration: 500 
rate: 17016 	 duration: 500 
rate: 18336 	 duration: 500 
rate: 19320 	 duration: 500 
rate: 16824 	 duration: 500 
rate: 13748 	 duration: 501 
rate: 8316 	 duration: 505 
rate: 6131 	 duration: 501 
rate: 7370 	 duration: 508 
rate: 10512 	 duration: 500 
rate: 8526 	 duration: 501 
rate: 18768 	 duration: 500 
rate: 18648 	 duration: 500 
rate: 18888 	 duration: 500 
rate: 19296 	 duration: 500 
rate: 17772 	 duration: 501 
rate: 13532 	 duration: 509 
