#t:nan-nan ; rate:nan-nan
rate: 16248 	 duration: 500 
rate: 14827 	 duration: 505 
rate: 15432 	 duration: 500 
rate: 17628 	 duration: 501 
rate: 15936 	 duration: 500 
rate: 16680 	 duration: 500 
rate: 13944 	 duration: 500 
rate: 16248 	 duration: 500 
rate: 16622 	 duration: 501 
rate: 16488 	 duration: 500 
rate: 16920 	 duration: 500 
rate: 15209 	 duration: 501 
rate: 15312 	 duration: 500 
rate: 15744 	 duration: 500 
rate: 14016 	 duration: 500 
rate: 15880 	 duration: 501 
rate: 12480 	 duration: 500 
rate: 17088 	 duration: 500 
rate: 18480 	 duration: 500 
rate: 16246 	 duration: 503 
rate: 14664 	 duration: 500 
rate: 16526 	 duration: 501 
rate: 16152 	 duration: 500 
rate: 13000 	 duration: 504 
rate: 11448 	 duration: 500 
rate: 15161 	 duration: 501 
rate: 15518 	 duration: 515 
rate: 13944 	 duration: 506 
rate: 12526 	 duration: 501 
rate: 13968 	 duration: 500 
rate: 13536 	 duration: 500 
rate: 13392 	 duration: 500 
rate: 13440 	 duration: 500 
rate: 14280 	 duration: 500 
rate: 13259 	 duration: 505 
rate: 17232 	 duration: 500 
rate: 15384 	 duration: 500 
rate: 15792 	 duration: 500 
rate: 12960 	 duration: 500 
rate: 17592 	 duration: 500 
rate: 19608 	 duration: 500 
rate: 18336 	 duration: 500 
rate: 17544 	 duration: 500 
rate: 15415 	 duration: 513 
rate: 12792 	 duration: 500 
rate: 17520 	 duration: 500 
rate: 16392 	 duration: 500 
rate: 16992 	 duration: 500 
rate: 13632 	 duration: 500 
rate: 14040 	 duration: 500 
rate: 14669 	 duration: 535 
rate: 17520 	 duration: 500 
rate: 13892 	 duration: 501 
rate: 14904 	 duration: 500 
rate: 15192 	 duration: 500 
rate: 16272 	 duration: 500 
rate: 14778 	 duration: 501 
rate: 14832 	 duration: 500 
rate: 15312 	 duration: 500 
rate: 16608 	 duration: 500 
rate: 15888 	 duration: 500 
rate: 16248 	 duration: 500 
rate: 14208 	 duration: 500 
rate: 16536 	 duration: 500 
rate: 16608 	 duration: 500 
rate: 17256 	 duration: 500 
rate: 17260 	 duration: 511 
rate: 16431 	 duration: 501 
rate: 14760 	 duration: 500 
rate: 15480 	 duration: 500 
rate: 14616 	 duration: 500 
rate: 14616 	 duration: 500 
rate: 14184 	 duration: 500 
rate: 18096 	 duration: 500 
rate: 17040 	 duration: 500 
rate: 16584 	 duration: 500 
rate: 14952 	 duration: 500 
rate: 18072 	 duration: 500 
rate: 14880 	 duration: 500 
rate: 14880 	 duration: 500 
rate: 15960 	 duration: 500 
rate: 16296 	 duration: 500 
rate: 15936 	 duration: 500 
rate: 17016 	 duration: 500 
rate: 16272 	 duration: 500 
rate: 14352 	 duration: 500 
rate: 14496 	 duration: 500 
rate: 15216 	 duration: 500 
rate: 18792 	 duration: 500 
rate: 17952 	 duration: 500 
rate: 15000 	 duration: 500 
rate: 14760 	 duration: 500 
rate: 16152 	 duration: 500 
rate: 16368 	 duration: 500 
rate: 15384 	 duration: 500 
rate: 15240 	 duration: 500 
rate: 16766 	 duration: 501 
rate: 17304 	 duration: 500 
rate: 16848 	 duration: 500 
rate: 16694 	 duration: 501 
rate: 17136 	 duration: 500 
rate: 17184 	 duration: 500 
rate: 15089 	 duration: 501 
rate: 15360 	 duration: 500 
rate: 14832 	 duration: 500 
rate: 20143 	 duration: 501 
rate: 17688 	 duration: 500 
rate: 14125 	 duration: 508 
rate: 20520 	 duration: 500 
rate: 17258 	 duration: 502 
rate: 16176 	 duration: 500 
rate: 15131 	 duration: 502 
rate: 15425 	 duration: 501 
rate: 19152 	 duration: 500 
rate: 18288 	 duration: 500 
rate: 17808 	 duration: 500 
rate: 19128 	 duration: 500 
rate: 13488 	 duration: 500 
rate: 17856 	 duration: 500 
rate: 17448 	 duration: 500 
rate: 17808 	 duration: 500 
rate: 17520 	 duration: 500 
rate: 17256 	 duration: 500 
rate: 16608 	 duration: 500 
rate: 16128 	 duration: 500 
rate: 15432 	 duration: 500 
rate: 16680 	 duration: 500 
rate: 17160 	 duration: 500 
rate: 12924 	 duration: 506 
rate: 12480 	 duration: 500 
rate: 17560 	 duration: 505 
rate: 17832 	 duration: 500 
rate: 17736 	 duration: 500 
rate: 14496 	 duration: 500 
rate: 11928 	 duration: 500 
rate: 17400 	 duration: 500 
rate: 15600 	 duration: 500 
rate: 18816 	 duration: 500 
rate: 17016 	 duration: 500 
rate: 17232 	 duration: 500 
rate: 17053 	 duration: 501 
rate: 14674 	 duration: 525 
rate: 18432 	 duration: 500 
rate: 16584 	 duration: 500 
rate: 18288 	 duration: 500 
rate: 17153 	 duration: 503 
rate: 16800 	 duration: 500 
rate: 15912 	 duration: 500 
rate: 14730 	 duration: 501 
rate: 10898 	 duration: 501 
rate: 13176 	 duration: 500 
rate: 16104 	 duration: 500 
rate: 17688 	 duration: 500 
rate: 16560 	 duration: 500 
rate: 13632 	 duration: 500 
rate: 19880 	 duration: 501 
rate: 17904 	 duration: 500 
rate: 18768 	 duration: 500 
rate: 14448 	 duration: 500 
rate: 17664 	 duration: 500 
rate: 18480 	 duration: 500 
rate: 16464 	 duration: 500 
rate: 17520 	 duration: 500 
rate: 18072 	 duration: 500 
rate: 17592 	 duration: 500 
rate: 16824 	 duration: 500 
rate: 16512 	 duration: 500 
rate: 15888 	 duration: 500 
rate: 15723 	 duration: 506 
rate: 17544 	 duration: 500 
rate: 18648 	 duration: 500 
rate: 19728 	 duration: 500 
rate: 18504 	 duration: 500 
rate: 17424 	 duration: 500 
rate: 16704 	 duration: 500 
rate: 16152 	 duration: 500 
rate: 16080 	 duration: 500 
rate: 14736 	 duration: 500 
rate: 15312 	 duration: 500 
rate: 17568 	 duration: 500 
rate: 17544 	 duration: 500 
rate: 17568 	 duration: 500 
rate: 17160 	 duration: 500 
rate: 18813 	 duration: 509 
rate: 18624 	 duration: 500 
rate: 16200 	 duration: 500 
rate: 20736 	 duration: 500 
rate: 16440 	 duration: 500 
rate: 15072 	 duration: 500 
rate: 18360 	 duration: 500 
rate: 17760 	 duration: 500 
rate: 19584 	 duration: 500 
rate: 16693 	 duration: 519 
rate: 16752 	 duration: 500 
rate: 19656 	 duration: 500 
rate: 17163 	 duration: 502 
rate: 17784 	 duration: 500 
rate: 17448 	 duration: 500 
rate: 16560 	 duration: 500 
