#t:nan-nan ; rate:nan-nan
rate: 19776 	 duration: 500 
rate: 20808 	 duration: 500 
rate: 20838 	 duration: 501 
rate: 20232 	 duration: 500 
rate: 24288 	 duration: 500 
rate: 21192 	 duration: 500 
rate: 20232 	 duration: 500 
rate: 24360 	 duration: 500 
rate: 19296 	 duration: 500 
rate: 21144 	 duration: 500 
rate: 19848 	 duration: 500 
rate: 23280 	 duration: 500 
rate: 19800 	 duration: 500 
rate: 20904 	 duration: 500 
rate: 21384 	 duration: 500 
rate: 22200 	 duration: 500 
rate: 23496 	 duration: 500 
rate: 22464 	 duration: 500 
rate: 24264 	 duration: 500 
rate: 23616 	 duration: 501 
rate: 19392 	 duration: 500 
rate: 21120 	 duration: 500 
rate: 20496 	 duration: 500 
rate: 22368 	 duration: 500 
rate: 21240 	 duration: 500 
rate: 20976 	 duration: 500 
rate: 21024 	 duration: 500 
rate: 22632 	 duration: 500 
rate: 19704 	 duration: 500 
rate: 22008 	 duration: 500 
rate: 22464 	 duration: 500 
rate: 20904 	 duration: 500 
rate: 23688 	 duration: 500 
rate: 21576 	 duration: 500 
rate: 21432 	 duration: 500 
rate: 21048 	 duration: 500 
rate: 20808 	 duration: 500 
rate: 20088 	 duration: 500 
rate: 21384 	 duration: 500 
rate: 20808 	 duration: 500 
rate: 22512 	 duration: 500 
rate: 20736 	 duration: 500 
rate: 21216 	 duration: 500 
rate: 22008 	 duration: 500 
rate: 21864 	 duration: 500 
rate: 23976 	 duration: 500 
rate: 21192 	 duration: 500 
rate: 18216 	 duration: 500 
rate: 18216 	 duration: 500 
rate: 21888 	 duration: 500 
rate: 20664 	 duration: 500 
rate: 21456 	 duration: 500 
rate: 22152 	 duration: 500 
rate: 20928 	 duration: 500 
rate: 23040 	 duration: 500 
rate: 21552 	 duration: 500 
rate: 22152 	 duration: 500 
rate: 20736 	 duration: 500 
rate: 21072 	 duration: 500 
rate: 21144 	 duration: 500 
rate: 18144 	 duration: 500 
rate: 20424 	 duration: 500 
rate: 24144 	 duration: 500 
rate: 22416 	 duration: 500 
rate: 21528 	 duration: 500 
rate: 19032 	 duration: 500 
rate: 21096 	 duration: 500 
rate: 22320 	 duration: 500 
rate: 23880 	 duration: 500 
rate: 20904 	 duration: 500 
rate: 24336 	 duration: 500 
rate: 21792 	 duration: 500 
rate: 20352 	 duration: 500 
rate: 22824 	 duration: 500 
rate: 22944 	 duration: 500 
rate: 19800 	 duration: 500 
rate: 23640 	 duration: 500 
rate: 22056 	 duration: 500 
rate: 22752 	 duration: 500 
rate: 21048 	 duration: 500 
rate: 23712 	 duration: 500 
rate: 23928 	 duration: 500 
rate: 21864 	 duration: 500 
rate: 21696 	 duration: 500 
rate: 22320 	 duration: 500 
rate: 21528 	 duration: 500 
rate: 21480 	 duration: 500 
rate: 22584 	 duration: 500 
rate: 19920 	 duration: 500 
rate: 20047 	 duration: 501 
rate: 20760 	 duration: 500 
rate: 21336 	 duration: 500 
rate: 22560 	 duration: 500 
rate: 19560 	 duration: 500 
rate: 17880 	 duration: 502 
rate: 23904 	 duration: 500 
rate: 23664 	 duration: 500 
rate: 20280 	 duration: 500 
rate: 18528 	 duration: 500 
rate: 21269 	 duration: 501 
rate: 18936 	 duration: 500 
rate: 20712 	 duration: 500 
rate: 19776 	 duration: 500 
rate: 20712 	 duration: 500 
rate: 22008 	 duration: 500 
rate: 21624 	 duration: 500 
rate: 20136 	 duration: 500 
rate: 21960 	 duration: 500 
rate: 19488 	 duration: 500 
rate: 20880 	 duration: 500 
rate: 23664 	 duration: 500 
rate: 21456 	 duration: 500 
rate: 22800 	 duration: 500 
rate: 19272 	 duration: 500 
rate: 21456 	 duration: 500 
rate: 18288 	 duration: 500 
rate: 19104 	 duration: 500 
rate: 23352 	 duration: 500 
rate: 19776 	 duration: 500 
rate: 22776 	 duration: 500 
rate: 24000 	 duration: 500 
