#t:nan-nan ; rate:nan-nan
rate: 29472 	 duration: 500 
rate: 25632 	 duration: 500 
rate: 18371 	 duration: 501 
rate: 15944 	 duration: 502 
rate: 11185 	 duration: 501 
rate: 13892 	 duration: 501 
rate: 10610 	 duration: 501 
rate: 8784 	 duration: 500 
rate: 14003 	 duration: 503 
rate: 6283 	 duration: 508 
rate: 5844 	 duration: 501 
rate: 6826 	 duration: 501 
rate: 3473 	 duration: 501 
rate: 4842 	 duration: 503 
rate: 2134 	 duration: 506 
rate: 1464 	 duration: 549 
rate: 1652 	 duration: 501 
rate: 1315 	 duration: 529 
rate: 1416 	 duration: 576 
rate: 630 	 duration: 1389 
rate: 7632 	 duration: 500 
rate: 7632 	 duration: 500 
rate: 7680 	 duration: 500 
rate: 9912 	 duration: 500 
rate: 7808 	 duration: 501 
rate: 8527 	 duration: 508 
rate: 5328 	 duration: 500 
rate: 6754 	 duration: 501 
rate: 5784 	 duration: 502 
rate: 4189 	 duration: 527 
rate: 2376 	 duration: 500 
rate: 3431 	 duration: 507 
rate: 2911 	 duration: 507 
rate: 2721 	 duration: 507 
rate: 1008 	 duration: 678 
rate: 3592 	 duration: 501 
rate: 313 	 duration: 575 
rate: 1758 	 duration: 505 
rate: 1464 	 duration: 508 
rate: 984 	 duration: 500 
rate: 266 	 duration: 1261 
rate: 720 	 duration: 516 
rate: 648 	 duration: 500 
rate: 833 	 duration: 504 
rate: 634 	 duration: 511 
rate: 801 	 duration: 524 
rate: 258 	 duration: 697 
rate: 35 	 duration: 1003 
rate: 3425 	 duration: 501 
rate: 3113 	 duration: 501 
rate: 3530 	 duration: 503 
rate: 2055 	 duration: 502 
rate: 3654 	 duration: 509 
rate: 4176 	 duration: 500 
rate: 4079 	 duration: 503 
rate: 2958 	 duration: 507 
rate: 2664 	 duration: 509 
rate: 3976 	 duration: 501 
rate: 2538 	 duration: 501 
rate: 3160 	 duration: 505 
rate: 3552 	 duration: 500 
rate: 3179 	 duration: 502 
rate: 2642 	 duration: 504 
rate: 2400 	 duration: 500 
rate: 3161 	 duration: 501 
rate: 2808 	 duration: 500 
rate: 3185 	 duration: 501 
rate: 4071 	 duration: 501 
rate: 4361 	 duration: 509 
rate: 3568 	 duration: 501 
rate: 3425 	 duration: 501 
rate: 3240 	 duration: 500 
rate: 2523 	 duration: 504 
rate: 1474 	 duration: 537 
rate: 2106 	 duration: 507 
rate: 3336 	 duration: 500 
rate: 3635 	 duration: 505 
rate: 3041 	 duration: 501 
rate: 4215 	 duration: 501 
rate: 3209 	 duration: 501 
rate: 3600 	 duration: 500 
rate: 3936 	 duration: 500 
rate: 3633 	 duration: 502 
rate: 3864 	 duration: 500 
rate: 3880 	 duration: 501 
rate: 3149 	 duration: 503 
rate: 4133 	 duration: 508 
rate: 3544 	 duration: 501 
rate: 3648 	 duration: 500 
rate: 4176 	 duration: 500 
rate: 4015 	 duration: 502 
rate: 5016 	 duration: 500 
rate: 5184 	 duration: 500 
rate: 3832 	 duration: 501 
rate: 3904 	 duration: 501 
rate: 4272 	 duration: 500 
rate: 3240 	 duration: 500 
rate: 3017 	 duration: 501 
rate: 2982 	 duration: 507 
rate: 3784 	 duration: 501 
rate: 3227 	 duration: 502 
rate: 4368 	 duration: 500 
rate: 4023 	 duration: 501 
rate: 4413 	 duration: 503 
rate: 3257 	 duration: 501 
rate: 6552 	 duration: 500 
rate: 5606 	 duration: 503 
rate: 6514 	 duration: 501 
rate: 4847 	 duration: 510 
rate: 4564 	 duration: 510 
rate: 3520 	 duration: 501 
