#t:nan-nan ; rate:nan-nan
rate: 1440 	 duration: 500 
rate: 3816 	 duration: 500 
rate: 6000 	 duration: 500 
rate: 6528 	 duration: 500 
rate: 7410 	 duration: 502 
rate: 6816 	 duration: 500 
rate: 7728 	 duration: 500 
rate: 7176 	 duration: 500 
rate: 7157 	 duration: 503 
rate: 4287 	 duration: 501 
rate: 3883 	 duration: 513 
rate: 7317 	 duration: 510 
rate: 7051 	 duration: 502 
rate: 5508 	 duration: 501 
rate: 4837 	 duration: 506 
rate: 5197 	 duration: 501 
rate: 6912 	 duration: 526 
rate: 7848 	 duration: 503 
rate: 7373 	 duration: 511 
rate: 6956 	 duration: 502 
rate: 7673 	 duration: 502 
rate: 7776 	 duration: 500 
rate: 6576 	 duration: 500 
rate: 7704 	 duration: 500 
rate: 6931 	 duration: 509 
rate: 7171 	 duration: 502 
rate: 6706 	 duration: 501 
rate: 7080 	 duration: 500 
rate: 5568 	 duration: 500 
rate: 7329 	 duration: 501 
rate: 8400 	 duration: 500 
rate: 7099 	 duration: 502 
rate: 7195 	 duration: 502 
rate: 7992 	 duration: 500 
rate: 8785 	 duration: 504 
rate: 7891 	 duration: 514 
rate: 7464 	 duration: 500 
rate: 8433 	 duration: 508 
rate: 8328 	 duration: 500 
rate: 4015 	 duration: 792 
rate: 12 	 duration: 983 
rate: 12 	 duration: 1000 
rate: 12 	 duration: 1000 
rate: 12 	 duration: 990 
rate: 11 	 duration: 1012 
rate: 12 	 duration: 1000 
rate: 12 	 duration: 990 
rate: 11 	 duration: 1010 
rate: 12 	 duration: 990 
rate: 16 	 duration: 720 
rate: 4860 	 duration: 558 
rate: 6600 	 duration: 500 
rate: 5328 	 duration: 500 
rate: 3873 	 duration: 505 
rate: 4109 	 duration: 511 
rate: 5472 	 duration: 500 
rate: 5328 	 duration: 500 
rate: 6058 	 duration: 509 
rate: 5328 	 duration: 509 
rate: 6538 	 duration: 501 
rate: 6144 	 duration: 500 
rate: 2241 	 duration: 514 
rate: 2538 	 duration: 501 
rate: 4294 	 duration: 503 
rate: 1457 	 duration: 1383 
rate: 11 	 duration: 1014 
rate: 12 	 duration: 988 
rate: 17 	 duration: 704 
rate: 7248 	 duration: 500 
rate: 8352 	 duration: 500 
rate: 8160 	 duration: 500 
rate: 8664 	 duration: 500 
rate: 7736 	 duration: 501 
rate: 7649 	 duration: 502 
rate: 7047 	 duration: 504 
rate: 6720 	 duration: 500 
rate: 6071 	 duration: 502 
rate: 4992 	 duration: 500 
rate: 6922 	 duration: 501 
rate: 6071 	 duration: 502 
rate: 4434 	 duration: 644 
rate: 1577 	 duration: 502 
rate: 1761 	 duration: 504 
rate: 1776 	 duration: 500 
rate: 1968 	 duration: 500 
rate: 2853 	 duration: 513 
rate: 5532 	 duration: 501 
rate: 7680 	 duration: 500 
rate: 8208 	 duration: 500 
rate: 7850 	 duration: 509 
rate: 9005 	 duration: 501 
rate: 8252 	 duration: 506 
rate: 7992 	 duration: 500 
rate: 7400 	 duration: 514 
rate: 7580 	 duration: 505 
rate: 8934 	 duration: 501 
rate: 8184 	 duration: 500 
rate: 8333 	 duration: 504 
rate: 9120 	 duration: 500 
rate: 8712 	 duration: 500 
rate: 8688 	 duration: 500 
rate: 9192 	 duration: 500 
rate: 9504 	 duration: 500 
rate: 9538 	 duration: 507 
rate: 9619 	 duration: 504 
rate: 9940 	 duration: 501 
rate: 10272 	 duration: 500 
rate: 9461 	 duration: 501 
rate: 9890 	 duration: 512 
rate: 9618 	 duration: 514 
rate: 9557 	 duration: 511 
rate: 9960 	 duration: 500 
rate: 10224 	 duration: 500 
rate: 10183 	 duration: 502 
rate: 10416 	 duration: 500 
rate: 9111 	 duration: 511 
rate: 10032 	 duration: 500 
rate: 9792 	 duration: 500 
rate: 9792 	 duration: 500 
rate: 9729 	 duration: 502 
rate: 8952 	 duration: 500 
rate: 9041 	 duration: 511 
rate: 7559 	 duration: 508 
rate: 8496 	 duration: 500 
rate: 8455 	 duration: 501 
rate: 9192 	 duration: 500 
rate: 8958 	 duration: 501 
rate: 8808 	 duration: 500 
rate: 8136 	 duration: 500 
rate: 8376 	 duration: 500 
rate: 8894 	 duration: 510 
rate: 8928 	 duration: 500 
