#t:nan-nan ; rate:nan-nan
rate: 9269 	 duration: 501 
rate: 20880 	 duration: 504 
rate: 22488 	 duration: 500 
rate: 16872 	 duration: 500 
rate: 19440 	 duration: 500 
rate: 13932 	 duration: 503 
rate: 20616 	 duration: 500 
rate: 15336 	 duration: 500 
rate: 19305 	 duration: 501 
rate: 19200 	 duration: 500 
rate: 18840 	 duration: 500 
rate: 16886 	 duration: 501 
rate: 16667 	 duration: 509 
rate: 15864 	 duration: 500 
rate: 11832 	 duration: 500 
rate: 12576 	 duration: 500 
rate: 13656 	 duration: 500 
rate: 15408 	 duration: 500 
rate: 16560 	 duration: 500 
rate: 17136 	 duration: 500 
rate: 22368 	 duration: 500 
rate: 20722 	 duration: 509 
rate: 21264 	 duration: 500 
rate: 25248 	 duration: 500 
rate: 22536 	 duration: 500 
rate: 24480 	 duration: 500 
rate: 24779 	 duration: 508 
rate: 21384 	 duration: 500 
rate: 19320 	 duration: 500 
rate: 19313 	 duration: 507 
rate: 20204 	 duration: 509 
rate: 18744 	 duration: 500 
rate: 24875 	 duration: 507 
rate: 21892 	 duration: 501 
rate: 21072 	 duration: 500 
rate: 22872 	 duration: 500 
rate: 18850 	 duration: 501 
rate: 20688 	 duration: 500 
rate: 17251 	 duration: 505 
rate: 24024 	 duration: 500 
rate: 23064 	 duration: 500 
rate: 24836 	 duration: 502 
rate: 18239 	 duration: 502 
rate: 15336 	 duration: 500 
rate: 8000 	 duration: 501 
rate: 11784 	 duration: 502 
rate: 11592 	 duration: 501 
rate: 16800 	 duration: 500 
rate: 18792 	 duration: 500 
rate: 20016 	 duration: 500 
rate: 14898 	 duration: 501 
rate: 13872 	 duration: 500 
rate: 16958 	 duration: 501 
rate: 21720 	 duration: 500 
rate: 22344 	 duration: 500 
rate: 20568 	 duration: 500 
rate: 18936 	 duration: 500 
rate: 19386 	 duration: 502 
rate: 17712 	 duration: 500 
rate: 17184 	 duration: 500 
rate: 15432 	 duration: 500 
rate: 11400 	 duration: 500 
rate: 15000 	 duration: 500 
rate: 21724 	 duration: 501 
