#t:nan-nan ; rate:nan-nan
rate: 8976 	 duration: 500 
rate: 8031 	 duration: 502 
rate: 6528 	 duration: 500 
rate: 11067 	 duration: 502 
rate: 8540 	 duration: 503 
rate: 8516 	 duration: 503 
rate: 10135 	 duration: 502 
rate: 11640 	 duration: 501 
rate: 10128 	 duration: 500 
rate: 9480 	 duration: 500 
rate: 16152 	 duration: 500 
rate: 14616 	 duration: 500 
rate: 11640 	 duration: 500 
rate: 12838 	 duration: 501 
rate: 11664 	 duration: 501 
rate: 11088 	 duration: 500 
rate: 13944 	 duration: 500 
rate: 12936 	 duration: 500 
rate: 14304 	 duration: 500 
rate: 11640 	 duration: 500 
rate: 9672 	 duration: 500 
rate: 9662 	 duration: 503 
rate: 9744 	 duration: 500 
rate: 9144 	 duration: 500 
rate: 5184 	 duration: 500 
rate: 3544 	 duration: 501 
rate: 8256 	 duration: 500 
rate: 8958 	 duration: 501 
rate: 11616 	 duration: 500 
rate: 8053 	 duration: 520 
rate: 13248 	 duration: 500 
rate: 11453 	 duration: 505 
rate: 9407 	 duration: 560 
rate: 12215 	 duration: 502 
rate: 12144 	 duration: 500 
rate: 11208 	 duration: 500 
rate: 10514 	 duration: 501 
rate: 11115 	 duration: 502 
rate: 9638 	 duration: 503 
rate: 8031 	 duration: 502 
rate: 9370 	 duration: 502 
rate: 10512 	 duration: 500 
rate: 7944 	 duration: 503 
rate: 6610 	 duration: 501 
rate: 6047 	 duration: 502 
rate: 7520 	 duration: 501 
rate: 6600 	 duration: 500 
rate: 5737 	 duration: 502 
rate: 9732 	 duration: 508 
rate: 7152 	 duration: 500 
rate: 6083 	 duration: 501 
rate: 4550 	 duration: 501 
rate: 5320 	 duration: 503 
rate: 6476 	 duration: 504 
rate: 5029 	 duration: 501 
rate: 8642 	 duration: 529 
rate: 13512 	 duration: 500 
rate: 10872 	 duration: 500 
rate: 12312 	 duration: 500 
rate: 6312 	 duration: 500 
rate: 9600 	 duration: 500 
rate: 4996 	 duration: 502 
rate: 6443 	 duration: 501 
rate: 6261 	 duration: 504 
rate: 7746 	 duration: 505 
rate: 6764 	 duration: 502 
rate: 10896 	 duration: 500 
rate: 13792 	 duration: 502 
rate: 7440 	 duration: 500 
rate: 6738 	 duration: 504 
rate: 2601 	 duration: 512 
rate: 6648 	 duration: 500 
rate: 3633 	 duration: 502 
rate: 3095 	 duration: 504 
rate: 4296 	 duration: 500 
rate: 6816 	 duration: 500 
rate: 9384 	 duration: 500 
rate: 3083 	 duration: 502 
rate: 4934 	 duration: 501 
rate: 8533 	 duration: 502 
rate: 11280 	 duration: 500 
rate: 12048 	 duration: 500 
rate: 14040 	 duration: 500 
rate: 2219 	 duration: 2509 
rate: 1152 	 duration: 979 
rate: 3696 	 duration: 500 
rate: 1685 	 duration: 655 
rate: 6286 	 duration: 502 
rate: 6011 	 duration: 531 
rate: 6600 	 duration: 500 
rate: 5376 	 duration: 500 
rate: 3305 	 duration: 501 
rate: 6510 	 duration: 505 
rate: 4728 	 duration: 500 
rate: 8280 	 duration: 500 
rate: 6922 	 duration: 501 
rate: 4143 	 duration: 501 
rate: 5928 	 duration: 500 
rate: 4374 	 duration: 502 
rate: 7416 	 duration: 500 
rate: 9724 	 duration: 501 
rate: 6280 	 duration: 514 
rate: 4670 	 duration: 501 
rate: 4560 	 duration: 500 
rate: 5149 	 duration: 515 
rate: 5330 	 duration: 502 
rate: 4886 	 duration: 501 
rate: 3576 	 duration: 500 
rate: 5269 	 duration: 501 
rate: 4743 	 duration: 506 
rate: 2749 	 duration: 502 
rate: 2725 	 duration: 502 
rate: 7099 	 duration: 502 
rate: 8400 	 duration: 500 
rate: 11520 	 duration: 500 
rate: 10008 	 duration: 500 
rate: 10416 	 duration: 500 
rate: 9446 	 duration: 517 
rate: 7536 	 duration: 500 
rate: 10131 	 duration: 501 
rate: 11160 	 duration: 500 
rate: 11208 	 duration: 500 
rate: 11856 	 duration: 500 
rate: 10512 	 duration: 500 
rate: 10224 	 duration: 500 
rate: 10752 	 duration: 500 
rate: 9120 	 duration: 500 
rate: 11184 	 duration: 500 
rate: 10704 	 duration: 500 
rate: 8520 	 duration: 500 
rate: 6696 	 duration: 500 
rate: 6048 	 duration: 500 
rate: 4296 	 duration: 500 
rate: 5365 	 duration: 501 
rate: 6384 	 duration: 500 
rate: 10826 	 duration: 501 
rate: 8007 	 duration: 520 
rate: 4838 	 duration: 501 
rate: 5461 	 duration: 501 
rate: 8592 	 duration: 500 
rate: 10296 	 duration: 500 
rate: 10754 	 duration: 501 
rate: 9988 	 duration: 501 
rate: 10166 	 duration: 504 
rate: 2760 	 duration: 500 
rate: 3880 	 duration: 504 
rate: 5496 	 duration: 500 
rate: 5106 	 duration: 517 
rate: 5892 	 duration: 501 
rate: 5568 	 duration: 500 
rate: 7640 	 duration: 501 
rate: 5160 	 duration: 500 
rate: 3633 	 duration: 502 
rate: 6984 	 duration: 500 
rate: 6023 	 duration: 504 
rate: 4584 	 duration: 500 
rate: 2706 	 duration: 501 
rate: 2688 	 duration: 500 
rate: 4335 	 duration: 501 
rate: 4143 	 duration: 501 
rate: 6119 	 duration: 504 
rate: 5258 	 duration: 502 
rate: 6096 	 duration: 500 
rate: 5088 	 duration: 500 
rate: 4104 	 duration: 500 
rate: 9480 	 duration: 500 
rate: 4872 	 duration: 500 
rate: 8568 	 duration: 500 
rate: 9566 	 duration: 503 
rate: 8892 	 duration: 502 
rate: 9312 	 duration: 500 
rate: 6011 	 duration: 503 
rate: 8376 	 duration: 500 
rate: 6816 	 duration: 500 
rate: 9216 	 duration: 500 
rate: 6077 	 duration: 545 
rate: 7952 	 duration: 501 
rate: 9005 	 duration: 501 
rate: 5352 	 duration: 500 
rate: 5724 	 duration: 501 
rate: 6347 	 duration: 501 
rate: 3137 	 duration: 524 
rate: 4752 	 duration: 500 
rate: 2767 	 duration: 581 
rate: 3192 	 duration: 500 
rate: 3699 	 duration: 506 
rate: 5304 	 duration: 500 
rate: 3131 	 duration: 502 
rate: 5480 	 duration: 508 
rate: 4872 	 duration: 500 
rate: 3825 	 duration: 505 
rate: 4479 	 duration: 501 
rate: 4433 	 duration: 517 
rate: 4335 	 duration: 501 
rate: 5628 	 duration: 501 
rate: 7272 	 duration: 500 
rate: 8103 	 duration: 502 
rate: 7608 	 duration: 500 
rate: 10824 	 duration: 500 
rate: 9844 	 duration: 501 
rate: 7401 	 duration: 501 
rate: 8184 	 duration: 500 
rate: 6970 	 duration: 501 
rate: 6528 	 duration: 500 
rate: 6360 	 duration: 500 
rate: 8640 	 duration: 500 
rate: 7152 	 duration: 500 
rate: 10392 	 duration: 500 
rate: 11352 	 duration: 500 
rate: 10586 	 duration: 501 
rate: 9485 	 duration: 501 
rate: 7728 	 duration: 500 
rate: 10680 	 duration: 500 
rate: 9210 	 duration: 512 
rate: 10512 	 duration: 500 
rate: 6264 	 duration: 500 
rate: 6312 	 duration: 500 
rate: 10392 	 duration: 500 
rate: 9288 	 duration: 500 
rate: 8688 	 duration: 500 
rate: 10512 	 duration: 500 
rate: 10152 	 duration: 500 
rate: 10159 	 duration: 502 
rate: 11089 	 duration: 501 
rate: 8928 	 duration: 500 
rate: 8256 	 duration: 500 
rate: 9048 	 duration: 500 
rate: 8063 	 duration: 503 
rate: 9936 	 duration: 500 
rate: 9936 	 duration: 500 
rate: 7128 	 duration: 500 
rate: 10704 	 duration: 500 
rate: 10560 	 duration: 500 
rate: 6168 	 duration: 500 
rate: 10536 	 duration: 500 
rate: 9119 	 duration: 504 
rate: 8040 	 duration: 500 
rate: 6984 	 duration: 500 
rate: 7166 	 duration: 504 
rate: 5964 	 duration: 501 
rate: 9269 	 duration: 501 
rate: 9868 	 duration: 501 
rate: 9936 	 duration: 500 
rate: 9984 	 duration: 500 
rate: 9456 	 duration: 500 
rate: 9792 	 duration: 500 
rate: 10752 	 duration: 500 
rate: 9609 	 duration: 502 
rate: 8064 	 duration: 500 
rate: 7416 	 duration: 500 
rate: 1968 	 duration: 500 
rate: 2727 	 duration: 528 
rate: 4824 	 duration: 500 
rate: 7128 	 duration: 500 
rate: 6703 	 duration: 503 
rate: 3537 	 duration: 502 
rate: 3547 	 duration: 504 
rate: 5051 	 duration: 506 
rate: 5136 	 duration: 500 
rate: 7992 	 duration: 500 
rate: 5534 	 duration: 503 
rate: 9219 	 duration: 505 
rate: 8667 	 duration: 515 
rate: 7680 	 duration: 500 
rate: 5654 	 duration: 503 
rate: 4795 	 duration: 528 
rate: 4842 	 duration: 503 
rate: 4526 	 duration: 501 
rate: 5760 	 duration: 500 
rate: 6840 	 duration: 500 
rate: 7577 	 duration: 502 
rate: 7896 	 duration: 500 
rate: 7944 	 duration: 506 
rate: 8760 	 duration: 500 
rate: 5085 	 duration: 505 
rate: 6059 	 duration: 503 
rate: 4080 	 duration: 500 
rate: 8952 	 duration: 500 
rate: 7008 	 duration: 500 
rate: 7416 	 duration: 500 
rate: 6672 	 duration: 500 
rate: 5664 	 duration: 500 
rate: 3992 	 duration: 529 
rate: 5760 	 duration: 500 
rate: 5676 	 duration: 501 
rate: 5808 	 duration: 500 
rate: 8862 	 duration: 501 
rate: 3896 	 duration: 502 
rate: 6312 	 duration: 500 
rate: 5489 	 duration: 505 
rate: 3576 	 duration: 500 
rate: 2091 	 duration: 505 
rate: 2976 	 duration: 500 
rate: 3736 	 duration: 501 
rate: 4344 	 duration: 500 
rate: 6764 	 duration: 502 
rate: 5586 	 duration: 522 
rate: 4715 	 duration: 509 
rate: 3561 	 duration: 502 
rate: 6107 	 duration: 501 
rate: 3240 	 duration: 500 
rate: 4837 	 duration: 506 
rate: 6432 	 duration: 500 
rate: 7560 	 duration: 500 
rate: 7608 	 duration: 500 
rate: 7896 	 duration: 500 
rate: 8407 	 duration: 501 
rate: 9480 	 duration: 500 
rate: 10392 	 duration: 500 
rate: 10320 	 duration: 500 
rate: 10872 	 duration: 500 
rate: 11136 	 duration: 500 
rate: 11688 	 duration: 500 
rate: 12144 	 duration: 500 
rate: 11304 	 duration: 500 
rate: 10200 	 duration: 500 
rate: 11328 	 duration: 500 
rate: 10944 	 duration: 500 
rate: 11400 	 duration: 500 
rate: 11185 	 duration: 501 
rate: 7181 	 duration: 513 
rate: 5832 	 duration: 500 
rate: 4488 	 duration: 500 
rate: 5108 	 duration: 505 
rate: 7736 	 duration: 501 
rate: 3679 	 duration: 512 
rate: 6840 	 duration: 500 
rate: 6432 	 duration: 500 
rate: 3558 	 duration: 526 
rate: 2714 	 duration: 504 
rate: 2448 	 duration: 500 
rate: 2654 	 duration: 529 
rate: 4848 	 duration: 500 
rate: 5424 	 duration: 500 
rate: 4152 	 duration: 500 
rate: 4488 	 duration: 500 
rate: 5880 	 duration: 500 
rate: 4608 	 duration: 500 
rate: 5892 	 duration: 501 
rate: 4776 	 duration: 500 
rate: 6201 	 duration: 505 
rate: 6731 	 duration: 517 
rate: 3065 	 duration: 501 
rate: 2666 	 duration: 504 
rate: 4718 	 duration: 501 
rate: 6191 	 duration: 502 
rate: 5053 	 duration: 501 
rate: 7008 	 duration: 500 
rate: 4632 	 duration: 500 
rate: 7488 	 duration: 500 
rate: 8640 	 duration: 500 
rate: 10080 	 duration: 500 
rate: 9480 	 duration: 500 
rate: 9552 	 duration: 500 
rate: 9336 	 duration: 500 
rate: 8400 	 duration: 500 
rate: 10296 	 duration: 500 
rate: 10488 	 duration: 500 
rate: 9458 	 duration: 524 
rate: 6642 	 duration: 504 
rate: 4680 	 duration: 500 
rate: 7032 	 duration: 500 
rate: 6398 	 duration: 512 
rate: 4488 	 duration: 500 
rate: 3368 	 duration: 545 
rate: 4718 	 duration: 501 
rate: 11088 	 duration: 500 
rate: 6384 	 duration: 500 
rate: 8088 	 duration: 500 
rate: 8407 	 duration: 501 
rate: 6414 	 duration: 507 
rate: 3360 	 duration: 500 
rate: 4416 	 duration: 500 
rate: 6240 	 duration: 500 
rate: 10392 	 duration: 500 
rate: 10415 	 duration: 530 
rate: 2918 	 duration: 514 
rate: 3648 	 duration: 500 
rate: 3672 	 duration: 500 
rate: 6384 	 duration: 500 
rate: 3944 	 duration: 502 
rate: 5664 	 duration: 500 
rate: 10416 	 duration: 500 
rate: 8592 	 duration: 500 
rate: 9360 	 duration: 500 
rate: 10128 	 duration: 500 
rate: 10536 	 duration: 500 
rate: 11424 	 duration: 500 
rate: 10404 	 duration: 504 
rate: 5568 	 duration: 500 
rate: 5780 	 duration: 519 
rate: 9876 	 duration: 503 
rate: 9408 	 duration: 500 
rate: 11064 	 duration: 500 
rate: 8000 	 duration: 513 
rate: 7632 	 duration: 500 
rate: 3712 	 duration: 501 
rate: 4624 	 duration: 506 
rate: 2079 	 duration: 502 
rate: 4128 	 duration: 500 
rate: 5400 	 duration: 500 
rate: 6864 	 duration: 500 
rate: 5832 	 duration: 500 
rate: 8952 	 duration: 500 
rate: 6605 	 duration: 525 
rate: 6600 	 duration: 500 
rate: 10416 	 duration: 500 
rate: 8739 	 duration: 530 
rate: 7634 	 duration: 503 
rate: 7320 	 duration: 500 
rate: 9046 	 duration: 512 
rate: 10131 	 duration: 501 
rate: 11016 	 duration: 500 
rate: 11520 	 duration: 500 
rate: 10704 	 duration: 500 
rate: 10797 	 duration: 509 
rate: 11401 	 duration: 501 
rate: 10850 	 duration: 501 
rate: 10728 	 duration: 500 
rate: 10056 	 duration: 500 
rate: 11136 	 duration: 500 
rate: 6936 	 duration: 500 
rate: 9590 	 duration: 503 
rate: 4694 	 duration: 501 
rate: 6107 	 duration: 501 
rate: 3888 	 duration: 500 
rate: 10296 	 duration: 500 
rate: 11616 	 duration: 500 
rate: 11712 	 duration: 500 
rate: 11376 	 duration: 500 
rate: 10440 	 duration: 500 
rate: 9005 	 duration: 501 
rate: 8352 	 duration: 500 
rate: 10059 	 duration: 501 
rate: 9024 	 duration: 500 
rate: 4824 	 duration: 500 
rate: 4094 	 duration: 507 
rate: 5389 	 duration: 501 
rate: 6336 	 duration: 500 
rate: 8910 	 duration: 505 
rate: 9360 	 duration: 500 
rate: 10152 	 duration: 500 
rate: 5245 	 duration: 501 
rate: 8088 	 duration: 500 
rate: 8328 	 duration: 500 
rate: 7560 	 duration: 500 
rate: 7632 	 duration: 500 
rate: 7704 	 duration: 500 
rate: 8280 	 duration: 500 
rate: 7440 	 duration: 500 
rate: 9700 	 duration: 501 
rate: 9528 	 duration: 500 
rate: 9240 	 duration: 500 
rate: 8328 	 duration: 500 
rate: 3528 	 duration: 500 
rate: 8208 	 duration: 500 
rate: 10608 	 duration: 500 
rate: 10512 	 duration: 500 
rate: 8064 	 duration: 500 
rate: 8448 	 duration: 500 
rate: 7562 	 duration: 503 
rate: 7377 	 duration: 501 
rate: 3333 	 duration: 504 
rate: 4584 	 duration: 500 
rate: 6840 	 duration: 500 
rate: 6155 	 duration: 501 
rate: 7032 	 duration: 500 
rate: 6672 	 duration: 500 
rate: 9315 	 duration: 514 
rate: 4207 	 duration: 502 
rate: 3800 	 duration: 502 
rate: 6922 	 duration: 501 
rate: 7896 	 duration: 500 
rate: 7416 	 duration: 500 
rate: 4608 	 duration: 500 
rate: 5716 	 duration: 508 
rate: 9504 	 duration: 500 
rate: 5551 	 duration: 508 
rate: 2750 	 duration: 506 
rate: 5688 	 duration: 500 
rate: 2596 	 duration: 513 
rate: 9048 	 duration: 500 
rate: 10728 	 duration: 500 
rate: 9144 	 duration: 500 
rate: 10224 	 duration: 500 
rate: 11520 	 duration: 500 
rate: 10824 	 duration: 500 
rate: 11137 	 duration: 501 
rate: 10944 	 duration: 500 
rate: 11784 	 duration: 500 
rate: 7600 	 duration: 510 
rate: 5352 	 duration: 500 
rate: 4677 	 duration: 508 
rate: 5064 	 duration: 500 
rate: 5748 	 duration: 501 
rate: 3513 	 duration: 502 
rate: 2292 	 duration: 513 
rate: 3657 	 duration: 502 
