#t:nan-nan ; rate:nan-nan
rate: 21595 	 duration: 504 
rate: 22944 	 duration: 500 
rate: 20064 	 duration: 500 
rate: 17952 	 duration: 500 
rate: 13748 	 duration: 501 
rate: 15432 	 duration: 500 
rate: 17136 	 duration: 500 
rate: 10685 	 duration: 502 
rate: 11448 	 duration: 500 
rate: 18360 	 duration: 500 
rate: 20095 	 duration: 501 
rate: 11857 	 duration: 591 
rate: 16680 	 duration: 500 
rate: 17520 	 duration: 500 
rate: 20784 	 duration: 500 
rate: 20664 	 duration: 500 
rate: 18864 	 duration: 500 
rate: 19968 	 duration: 500 
rate: 14400 	 duration: 500 
rate: 8141 	 duration: 678 
rate: 18096 	 duration: 500 
rate: 13844 	 duration: 540 
rate: 14136 	 duration: 500 
rate: 12336 	 duration: 500 
rate: 10505 	 duration: 514 
rate: 16296 	 duration: 500 
rate: 13128 	 duration: 500 
rate: 15096 	 duration: 500 
rate: 15840 	 duration: 500 
rate: 15024 	 duration: 500 
rate: 16455 	 duration: 501 
rate: 16176 	 duration: 500 
rate: 14544 	 duration: 500 
rate: 13051 	 duration: 502 
rate: 12960 	 duration: 500 
rate: 15864 	 duration: 500 
rate: 15696 	 duration: 500 
rate: 14928 	 duration: 500 
rate: 14904 	 duration: 500 
rate: 15624 	 duration: 500 
rate: 17784 	 duration: 502 
rate: 17688 	 duration: 500 
rate: 17160 	 duration: 500 
rate: 17616 	 duration: 500 
rate: 17088 	 duration: 500 
rate: 15576 	 duration: 500 
rate: 16224 	 duration: 500 
rate: 16392 	 duration: 500 
rate: 15648 	 duration: 500 
rate: 17136 	 duration: 500 
rate: 14880 	 duration: 500 
rate: 15288 	 duration: 500 
rate: 15744 	 duration: 500 
rate: 13488 	 duration: 500 
rate: 17352 	 duration: 500 
rate: 14472 	 duration: 500 
rate: 14016 	 duration: 500 
rate: 13176 	 duration: 500 
rate: 14352 	 duration: 500 
rate: 15816 	 duration: 500 
rate: 15576 	 duration: 500 
rate: 18000 	 duration: 500 
rate: 18912 	 duration: 500 
rate: 16608 	 duration: 500 
rate: 15720 	 duration: 500 
rate: 15912 	 duration: 500 
rate: 13464 	 duration: 500 
rate: 15840 	 duration: 500 
rate: 16896 	 duration: 500 
rate: 15504 	 duration: 500 
rate: 16704 	 duration: 500 
rate: 16008 	 duration: 500 
rate: 18936 	 duration: 500 
rate: 15960 	 duration: 500 
rate: 18456 	 duration: 500 
