#t:nan-nan ; rate:nan-nan
rate: 19296 	 duration: 500 
rate: 17832 	 duration: 500 
rate: 20424 	 duration: 500 
rate: 22032 	 duration: 500 
rate: 20280 	 duration: 500 
rate: 20784 	 duration: 500 
rate: 21864 	 duration: 500 
rate: 21720 	 duration: 500 
rate: 21912 	 duration: 500 
rate: 22680 	 duration: 500 
rate: 21192 	 duration: 500 
rate: 21720 	 duration: 500 
rate: 22008 	 duration: 500 
rate: 21744 	 duration: 500 
rate: 20232 	 duration: 500 
rate: 21648 	 duration: 500 
rate: 19416 	 duration: 500 
rate: 20976 	 duration: 500 
rate: 19296 	 duration: 500 
rate: 22944 	 duration: 500 
rate: 21384 	 duration: 500 
rate: 21384 	 duration: 500 
rate: 20400 	 duration: 500 
rate: 18994 	 duration: 501 
rate: 19872 	 duration: 500 
rate: 21912 	 duration: 500 
rate: 19032 	 duration: 500 
rate: 23592 	 duration: 500 
rate: 19272 	 duration: 500 
rate: 23280 	 duration: 500 
rate: 23616 	 duration: 501 
rate: 19296 	 duration: 500 
rate: 19824 	 duration: 500 
rate: 23664 	 duration: 500 
rate: 21912 	 duration: 500 
rate: 21480 	 duration: 500 
rate: 21888 	 duration: 500 
rate: 22200 	 duration: 500 
rate: 20616 	 duration: 500 
rate: 20712 	 duration: 500 
rate: 22968 	 duration: 500 
rate: 21840 	 duration: 500 
rate: 22728 	 duration: 500 
rate: 21864 	 duration: 500 
rate: 22032 	 duration: 500 
rate: 22416 	 duration: 500 
rate: 22080 	 duration: 500 
rate: 19104 	 duration: 500 
rate: 24264 	 duration: 500 
rate: 22728 	 duration: 500 
rate: 19872 	 duration: 500 
rate: 24984 	 duration: 500 
rate: 20856 	 duration: 500 
rate: 23208 	 duration: 500 
rate: 23064 	 duration: 500 
rate: 24288 	 duration: 500 
rate: 24984 	 duration: 500 
rate: 21720 	 duration: 500 
rate: 24912 	 duration: 500 
rate: 21485 	 duration: 501 
rate: 22296 	 duration: 500 
rate: 18864 	 duration: 500 
rate: 22608 	 duration: 500 
rate: 21384 	 duration: 500 
rate: 20472 	 duration: 500 
rate: 19416 	 duration: 500 
rate: 22992 	 duration: 500 
rate: 17520 	 duration: 500 
rate: 20976 	 duration: 500 
rate: 18240 	 duration: 500 
rate: 22368 	 duration: 500 
rate: 21528 	 duration: 500 
rate: 22272 	 duration: 500 
rate: 20160 	 duration: 500 
rate: 21528 	 duration: 500 
rate: 22728 	 duration: 500 
rate: 22128 	 duration: 500 
rate: 21168 	 duration: 500 
rate: 20784 	 duration: 500 
rate: 21696 	 duration: 500 
rate: 17904 	 duration: 500 
rate: 20424 	 duration: 500 
rate: 19992 	 duration: 500 
rate: 21456 	 duration: 500 
rate: 20263 	 duration: 501 
rate: 21144 	 duration: 500 
rate: 21744 	 duration: 500 
rate: 22272 	 duration: 500 
rate: 24312 	 duration: 500 
rate: 20448 	 duration: 500 
rate: 22272 	 duration: 500 
rate: 21264 	 duration: 500 
rate: 21264 	 duration: 500 
rate: 18168 	 duration: 500 
rate: 23160 	 duration: 500 
rate: 21168 	 duration: 500 
rate: 22248 	 duration: 500 
rate: 21528 	 duration: 500 
rate: 20208 	 duration: 500 
rate: 23208 	 duration: 500 
rate: 19992 	 duration: 500 
rate: 17184 	 duration: 500 
rate: 20832 	 duration: 500 
rate: 19752 	 duration: 500 
rate: 19992 	 duration: 500 
rate: 22344 	 duration: 500 
rate: 21264 	 duration: 500 
rate: 23760 	 duration: 500 
rate: 22656 	 duration: 500 
rate: 20664 	 duration: 500 
rate: 23544 	 duration: 500 
rate: 21048 	 duration: 500 
rate: 21912 	 duration: 500 
rate: 18984 	 duration: 500 
rate: 23736 	 duration: 500 
rate: 18480 	 duration: 500 
rate: 22800 	 duration: 500 
rate: 21024 	 duration: 500 
rate: 20736 	 duration: 500 
rate: 22296 	 duration: 500 
rate: 22704 	 duration: 500 
rate: 22824 	 duration: 500 
rate: 20448 	 duration: 500 
rate: 20064 	 duration: 500 
rate: 22320 	 duration: 500 
rate: 21312 	 duration: 500 
rate: 22176 	 duration: 500 
rate: 21936 	 duration: 500 
rate: 21960 	 duration: 500 
rate: 23592 	 duration: 500 
rate: 20526 	 duration: 501 
rate: 21624 	 duration: 500 
rate: 21912 	 duration: 500 
rate: 19872 	 duration: 500 
rate: 19608 	 duration: 500 
rate: 22416 	 duration: 500 
rate: 24312 	 duration: 500 
rate: 21768 	 duration: 500 
rate: 24240 	 duration: 500 
rate: 18576 	 duration: 500 
rate: 20958 	 duration: 501 
rate: 18432 	 duration: 500 
rate: 21600 	 duration: 500 
rate: 21672 	 duration: 500 
rate: 20400 	 duration: 500 
rate: 20112 	 duration: 500 
rate: 20856 	 duration: 500 
rate: 21552 	 duration: 500 
rate: 23736 	 duration: 500 
rate: 20280 	 duration: 500 
rate: 22824 	 duration: 500 
rate: 19656 	 duration: 500 
rate: 20256 	 duration: 500 
rate: 20496 	 duration: 500 
rate: 20232 	 duration: 500 
rate: 18456 	 duration: 500 
rate: 20880 	 duration: 500 
rate: 20712 	 duration: 500 
rate: 21552 	 duration: 500 
rate: 22584 	 duration: 500 
rate: 23592 	 duration: 500 
rate: 22104 	 duration: 500 
rate: 20880 	 duration: 500 
rate: 23352 	 duration: 500 
rate: 21960 	 duration: 500 
rate: 21168 	 duration: 500 
rate: 21240 	 duration: 500 
rate: 18720 	 duration: 500 
rate: 24168 	 duration: 500 
rate: 19296 	 duration: 500 
rate: 18239 	 duration: 502 
rate: 15672 	 duration: 500 
rate: 18576 	 duration: 500 
rate: 19752 	 duration: 500 
rate: 21456 	 duration: 500 
rate: 20472 	 duration: 500 
rate: 21960 	 duration: 500 
rate: 22440 	 duration: 500 
rate: 22296 	 duration: 500 
rate: 20424 	 duration: 500 
rate: 18984 	 duration: 500 
rate: 24816 	 duration: 500 
rate: 24552 	 duration: 500 
rate: 23880 	 duration: 500 
rate: 18696 	 duration: 500 
rate: 20688 	 duration: 500 
rate: 21624 	 duration: 500 
rate: 21288 	 duration: 500 
rate: 20592 	 duration: 500 
rate: 23280 	 duration: 500 
rate: 24408 	 duration: 500 
rate: 24984 	 duration: 500 
rate: 17904 	 duration: 500 
rate: 22056 	 duration: 500 
rate: 24504 	 duration: 500 
rate: 21888 	 duration: 500 
rate: 22320 	 duration: 500 
rate: 20352 	 duration: 500 
rate: 19920 	 duration: 500 
rate: 20688 	 duration: 500 
rate: 20694 	 duration: 501 
rate: 21432 	 duration: 500 
rate: 20784 	 duration: 500 
rate: 18408 	 duration: 500 
rate: 25032 	 duration: 500 
rate: 23112 	 duration: 500 
rate: 19992 	 duration: 500 
rate: 21048 	 duration: 500 
rate: 20880 	 duration: 500 
rate: 20232 	 duration: 500 
rate: 21984 	 duration: 500 
rate: 18752 	 duration: 510 
rate: 15856 	 duration: 501 
rate: 15168 	 duration: 500 
rate: 21720 	 duration: 500 
rate: 20760 	 duration: 500 
rate: 17186 	 duration: 509 
rate: 15576 	 duration: 500 
rate: 13656 	 duration: 500 
rate: 14371 	 duration: 501 
rate: 16104 	 duration: 500 
rate: 18120 	 duration: 500 
rate: 18312 	 duration: 500 
rate: 20448 	 duration: 500 
rate: 19872 	 duration: 500 
rate: 21192 	 duration: 500 
rate: 20592 	 duration: 500 
rate: 20544 	 duration: 500 
rate: 20400 	 duration: 500 
rate: 19392 	 duration: 500 
rate: 22704 	 duration: 500 
rate: 22440 	 duration: 500 
rate: 18432 	 duration: 500 
rate: 19800 	 duration: 500 
rate: 16848 	 duration: 500 
rate: 18576 	 duration: 500 
rate: 21432 	 duration: 500 
rate: 19488 	 duration: 500 
rate: 19512 	 duration: 500 
rate: 18936 	 duration: 500 
rate: 20904 	 duration: 500 
rate: 10422 	 duration: 502 
rate: 7152 	 duration: 500 
rate: 6600 	 duration: 500 
rate: 6864 	 duration: 500 
rate: 4694 	 duration: 501 
rate: 5568 	 duration: 500 
rate: 7377 	 duration: 501 
rate: 5208 	 duration: 500 
rate: 4032 	 duration: 500 
rate: 2275 	 duration: 522 
rate: 2904 	 duration: 500 
rate: 3377 	 duration: 501 
rate: 5786 	 duration: 506 
rate: 6000 	 duration: 502 
rate: 5317 	 duration: 501 
rate: 2958 	 duration: 507 
rate: 4316 	 duration: 506 
rate: 11568 	 duration: 500 
rate: 13820 	 duration: 501 
rate: 10377 	 duration: 503 
rate: 13632 	 duration: 500 
rate: 17184 	 duration: 500 
rate: 8199 	 duration: 502 
rate: 9312 	 duration: 500 
rate: 10968 	 duration: 500 
rate: 13604 	 duration: 501 
rate: 12240 	 duration: 500 
rate: 15377 	 duration: 501 
rate: 14904 	 duration: 500 
rate: 13632 	 duration: 500 
rate: 12408 	 duration: 500 
rate: 11736 	 duration: 500 
rate: 11568 	 duration: 500 
rate: 11112 	 duration: 500 
rate: 11688 	 duration: 501 
rate: 11688 	 duration: 500 
rate: 8085 	 duration: 564 
rate: 6168 	 duration: 500 
rate: 9312 	 duration: 500 
rate: 11690 	 duration: 504 
rate: 3142 	 duration: 504 
rate: 4488 	 duration: 500 
rate: 3864 	 duration: 500 
rate: 18000 	 duration: 500 
rate: 21720 	 duration: 500 
rate: 20616 	 duration: 500 
rate: 17904 	 duration: 500 
rate: 24000 	 duration: 500 
rate: 21960 	 duration: 500 
rate: 20448 	 duration: 500 
rate: 22776 	 duration: 500 
rate: 23640 	 duration: 500 
rate: 19272 	 duration: 500 
rate: 20544 	 duration: 500 
rate: 24048 	 duration: 500 
rate: 20832 	 duration: 500 
rate: 20376 	 duration: 500 
rate: 20208 	 duration: 500 
rate: 20904 	 duration: 500 
rate: 24336 	 duration: 500 
rate: 19776 	 duration: 500 
rate: 23136 	 duration: 500 
rate: 22272 	 duration: 500 
rate: 9480 	 duration: 500 
rate: 17352 	 duration: 500 
rate: 19776 	 duration: 500 
rate: 20496 	 duration: 500 
rate: 19152 	 duration: 500 
rate: 21816 	 duration: 500 
rate: 21864 	 duration: 500 
rate: 20904 	 duration: 500 
rate: 21096 	 duration: 500 
rate: 21720 	 duration: 500 
rate: 20328 	 duration: 500 
rate: 21792 	 duration: 500 
rate: 20136 	 duration: 500 
rate: 21864 	 duration: 500 
rate: 19464 	 duration: 500 
rate: 18888 	 duration: 500 
rate: 21864 	 duration: 500 
rate: 22296 	 duration: 500 
rate: 19560 	 duration: 500 
rate: 24864 	 duration: 500 
rate: 24360 	 duration: 500 
rate: 14259 	 duration: 563 
rate: 19224 	 duration: 500 
rate: 19800 	 duration: 500 
rate: 21744 	 duration: 500 
rate: 21816 	 duration: 500 
rate: 22344 	 duration: 500 
rate: 24888 	 duration: 500 
rate: 22872 	 duration: 500 
rate: 15793 	 duration: 503 
rate: 17904 	 duration: 500 
rate: 16263 	 duration: 546 
rate: 10333 	 duration: 504 
rate: 9720 	 duration: 500 
rate: 15360 	 duration: 500 
rate: 22658 	 duration: 501 
rate: 17184 	 duration: 500 
rate: 18888 	 duration: 500 
rate: 21744 	 duration: 500 
rate: 18528 	 duration: 500 
rate: 19152 	 duration: 500 
rate: 11904 	 duration: 500 
rate: 9960 	 duration: 500 
rate: 13125 	 duration: 501 
rate: 7704 	 duration: 500 
rate: 4592 	 duration: 520 
rate: 5376 	 duration: 500 
rate: 8136 	 duration: 500 
rate: 8664 	 duration: 500 
rate: 7896 	 duration: 500 
rate: 10848 	 duration: 500 
rate: 14976 	 duration: 500 
rate: 8160 	 duration: 500 
rate: 17664 	 duration: 500 
rate: 11208 	 duration: 500 
rate: 15960 	 duration: 500 
rate: 15600 	 duration: 500 
rate: 19104 	 duration: 500 
rate: 18648 	 duration: 500 
rate: 22248 	 duration: 500 
rate: 19776 	 duration: 500 
rate: 19560 	 duration: 500 
rate: 20808 	 duration: 500 
rate: 22416 	 duration: 500 
rate: 24984 	 duration: 500 
rate: 18360 	 duration: 500 
rate: 5821 	 duration: 505 
rate: 13344 	 duration: 500 
rate: 19392 	 duration: 500 
rate: 19992 	 duration: 500 
rate: 23400 	 duration: 500 
rate: 12264 	 duration: 500 
rate: 14664 	 duration: 500 
rate: 20622 	 duration: 501 
rate: 10536 	 duration: 500 
rate: 5736 	 duration: 500 
rate: 11454 	 duration: 506 
rate: 14952 	 duration: 500 
rate: 20568 	 duration: 500 
rate: 24576 	 duration: 500 
rate: 11664 	 duration: 500 
rate: 16896 	 duration: 500 
rate: 9312 	 duration: 500 
rate: 18083 	 duration: 501 
rate: 19464 	 duration: 500 
rate: 20256 	 duration: 500 
rate: 21216 	 duration: 500 
rate: 19608 	 duration: 500 
rate: 20736 	 duration: 500 
rate: 20136 	 duration: 500 
rate: 16152 	 duration: 500 
rate: 16152 	 duration: 500 
rate: 9240 	 duration: 500 
rate: 21072 	 duration: 500 
rate: 21960 	 duration: 500 
rate: 18720 	 duration: 500 
rate: 20832 	 duration: 500 
rate: 10491 	 duration: 501 
rate: 15936 	 duration: 500 
rate: 20784 	 duration: 500 
rate: 16632 	 duration: 500 
rate: 19368 	 duration: 500 
rate: 25560 	 duration: 500 
rate: 17448 	 duration: 500 
rate: 15681 	 duration: 502 
rate: 17928 	 duration: 500 
rate: 22416 	 duration: 500 
rate: 20564 	 duration: 503 
rate: 13248 	 duration: 500 
rate: 8331 	 duration: 507 
rate: 10536 	 duration: 500 
rate: 11276 	 duration: 531 
rate: 7440 	 duration: 500 
rate: 18840 	 duration: 500 
rate: 21096 	 duration: 500 
rate: 17976 	 duration: 500 
rate: 14760 	 duration: 500 
rate: 21120 	 duration: 500 
rate: 15688 	 duration: 501 
rate: 14208 	 duration: 500 
rate: 17053 	 duration: 501 
rate: 15024 	 duration: 500 
rate: 12648 	 duration: 500 
rate: 16752 	 duration: 500 
rate: 18360 	 duration: 500 
rate: 11424 	 duration: 500 
rate: 18754 	 duration: 501 
rate: 14323 	 duration: 501 
rate: 17352 	 duration: 500 
rate: 8289 	 duration: 511 
rate: 11280 	 duration: 500 
rate: 9128 	 duration: 514 
rate: 5616 	 duration: 500 
rate: 10251 	 duration: 501 
rate: 7224 	 duration: 500 
rate: 6541 	 duration: 510 
rate: 15784 	 duration: 501 
rate: 6954 	 duration: 509 
rate: 6288 	 duration: 500 
rate: 13200 	 duration: 500 
rate: 21648 	 duration: 500 
rate: 18288 	 duration: 500 
rate: 18768 	 duration: 500 
rate: 22560 	 duration: 500 
rate: 33384 	 duration: 500 
rate: 23784 	 duration: 500 
rate: 18960 	 duration: 500 
rate: 23232 	 duration: 500 
rate: 22632 	 duration: 500 
rate: 20712 	 duration: 500 
rate: 19968 	 duration: 500 
