#t:nan-nan ; rate:nan-nan
rate: 7416 	 duration: 500 
rate: 6792 	 duration: 500 
rate: 7583 	 duration: 519 
rate: 7592 	 duration: 501 
rate: 6792 	 duration: 500 
rate: 7464 	 duration: 500 
rate: 7688 	 duration: 501 
rate: 6888 	 duration: 500 
rate: 7832 	 duration: 501 
rate: 7272 	 duration: 500 
rate: 7269 	 duration: 515 
rate: 7027 	 duration: 543 
rate: 7728 	 duration: 500 
rate: 8031 	 duration: 508 
rate: 5880 	 duration: 500 
rate: 6779 	 duration: 508 
rate: 7872 	 duration: 503 
rate: 6956 	 duration: 502 
rate: 7136 	 duration: 528 
rate: 7531 	 duration: 521 
rate: 6788 	 duration: 548 
rate: 7488 	 duration: 500 
rate: 7776 	 duration: 500 
rate: 7792 	 duration: 502 
rate: 6696 	 duration: 500 
rate: 7584 	 duration: 500 
rate: 7224 	 duration: 500 
rate: 7896 	 duration: 500 
rate: 7080 	 duration: 500 
rate: 7368 	 duration: 500 
rate: 7272 	 duration: 500 
rate: 6742 	 duration: 509 
rate: 7968 	 duration: 500 
rate: 7224 	 duration: 500 
rate: 6788 	 duration: 502 
rate: 7296 	 duration: 500 
rate: 7089 	 duration: 501 
rate: 7320 	 duration: 500 
rate: 7612 	 duration: 506 
rate: 6501 	 duration: 502 
rate: 7776 	 duration: 500 
rate: 6624 	 duration: 538 
rate: 7320 	 duration: 500 
rate: 7704 	 duration: 500 
rate: 7688 	 duration: 501 
rate: 7113 	 duration: 501 
rate: 7253 	 duration: 536 
rate: 7872 	 duration: 503 
rate: 6219 	 duration: 519 
rate: 7776 	 duration: 500 
rate: 6406 	 duration: 502 
rate: 6763 	 duration: 511 
rate: 6792 	 duration: 500 
rate: 8213 	 duration: 507 
rate: 6888 	 duration: 500 
rate: 7152 	 duration: 500 
rate: 8071 	 duration: 501 
rate: 6634 	 duration: 501 
rate: 6564 	 duration: 510 
rate: 6701 	 duration: 539 
rate: 6931 	 duration: 509 
rate: 6744 	 duration: 500 
rate: 7505 	 duration: 542 
rate: 7017 	 duration: 501 
rate: 7218 	 duration: 517 
rate: 6833 	 duration: 511 
rate: 7476 	 duration: 504 
