#t:nan-nan ; rate:nan-nan
rate: 2067 	 duration: 505 
rate: 2546 	 duration: 509 
rate: 4838 	 duration: 501 
rate: 8424 	 duration: 500 
rate: 7171 	 duration: 507 
rate: 7776 	 duration: 500 
rate: 7600 	 duration: 510 
rate: 7610 	 duration: 503 
rate: 6035 	 duration: 509 
rate: 5988 	 duration: 511 
rate: 6336 	 duration: 500 
rate: 5688 	 duration: 500 
rate: 5460 	 duration: 512 
rate: 4604 	 duration: 503 
rate: 4110 	 duration: 505 
rate: 4440 	 duration: 500 
rate: 5391 	 duration: 503 
rate: 6456 	 duration: 500 
rate: 5856 	 duration: 500 
rate: 5784 	 duration: 500 
rate: 5700 	 duration: 501 
rate: 6323 	 duration: 501 
rate: 7089 	 duration: 501 
rate: 9912 	 duration: 500 
rate: 10488 	 duration: 500 
rate: 10392 	 duration: 500 
rate: 8622 	 duration: 501 
rate: 7195 	 duration: 507 
rate: 6556 	 duration: 507 
rate: 6792 	 duration: 500 
rate: 9298 	 duration: 502 
rate: 8064 	 duration: 500 
rate: 8136 	 duration: 500 
rate: 7377 	 duration: 501 
rate: 7825 	 duration: 503 
rate: 9048 	 duration: 500 
rate: 8359 	 duration: 501 
rate: 8064 	 duration: 500 
rate: 7662 	 duration: 509 
rate: 8928 	 duration: 500 
rate: 8184 	 duration: 500 
rate: 9107 	 duration: 502 
rate: 7872 	 duration: 500 
rate: 8383 	 duration: 501 
rate: 7237 	 duration: 509 
rate: 5760 	 duration: 502 
rate: 6586 	 duration: 501 
rate: 5952 	 duration: 500 
rate: 6143 	 duration: 502 
rate: 5208 	 duration: 500 
rate: 4657 	 duration: 505 
rate: 4694 	 duration: 501 
rate: 3776 	 duration: 502 
rate: 3435 	 duration: 503 
rate: 3155 	 duration: 502 
rate: 2844 	 duration: 502 
rate: 1949 	 duration: 511 
rate: 2256 	 duration: 500 
rate: 872 	 duration: 509 
rate: 1015 	 duration: 508 
rate: 1550 	 duration: 503 
rate: 1802 	 duration: 506 
rate: 1851 	 duration: 512 
rate: 1080 	 duration: 500 
