#t:nan-nan ; rate:nan-nan
rate: 4872 	 duration: 500 
rate: 5964 	 duration: 507 
rate: 4456 	 duration: 517 
rate: 4517 	 duration: 502 
rate: 6627 	 duration: 507 
rate: 4804 	 duration: 502 
rate: 5441 	 duration: 505 
rate: 6082 	 duration: 507 
rate: 6310 	 duration: 502 
rate: 5157 	 duration: 577 
rate: 6488 	 duration: 516 
rate: 4035 	 duration: 571 
rate: 6898 	 duration: 501 
rate: 6032 	 duration: 559 
rate: 6888 	 duration: 500 
rate: 4551 	 duration: 580 
rate: 6711 	 duration: 531 
rate: 6059 	 duration: 503 
rate: 5952 	 duration: 502 
rate: 5338 	 duration: 517 
rate: 5515 	 duration: 533 
rate: 6046 	 duration: 516 
rate: 4244 	 duration: 588 
rate: 6658 	 duration: 501 
rate: 5258 	 duration: 502 
rate: 1022 	 duration: 1350 
rate: 2424 	 duration: 500 
rate: 6310 	 duration: 502 
rate: 11040 	 duration: 500 
rate: 10706 	 duration: 501 
rate: 9600 	 duration: 500 
rate: 8574 	 duration: 501 
rate: 7377 	 duration: 501 
rate: 6347 	 duration: 501 
rate: 3191 	 duration: 534 
rate: 21705 	 duration: 502 
rate: 28872 	 duration: 500 
rate: 19440 	 duration: 500 
rate: 16800 	 duration: 500 
rate: 24500 	 duration: 504 
rate: 28464 	 duration: 500 
rate: 33984 	 duration: 500 
rate: 25290 	 duration: 502 
rate: 40239 	 duration: 501 
rate: 34828 	 duration: 502 
rate: 29184 	 duration: 500 
rate: 22203 	 duration: 501 
rate: 18528 	 duration: 500 
rate: 26904 	 duration: 500 
rate: 22634 	 duration: 501 
rate: 18610 	 duration: 501 
rate: 19104 	 duration: 500 
rate: 26528 	 duration: 522 
rate: 22272 	 duration: 500 
rate: 29712 	 duration: 500 
rate: 27298 	 duration: 502 
rate: 26712 	 duration: 500 
rate: 28104 	 duration: 500 
rate: 30323 	 duration: 501 
rate: 34658 	 duration: 501 
rate: 28950 	 duration: 509 
rate: 28119 	 duration: 504 
rate: 30888 	 duration: 500 
rate: 28656 	 duration: 500 
rate: 27648 	 duration: 500 
rate: 27602 	 duration: 503 
rate: 23064 	 duration: 500 
rate: 13628 	 duration: 501 
rate: 14712 	 duration: 500 
rate: 13370 	 duration: 508 
rate: 8252 	 duration: 506 
rate: 9624 	 duration: 500 
rate: 14304 	 duration: 500 
rate: 15113 	 duration: 501 
rate: 12144 	 duration: 500 
rate: 11424 	 duration: 500 
rate: 11256 	 duration: 500 
rate: 12858 	 duration: 503 
rate: 16661 	 duration: 502 
rate: 17510 	 duration: 503 
rate: 16063 	 duration: 502 
rate: 19248 	 duration: 500 
rate: 18888 	 duration: 500 
rate: 7610 	 duration: 503 
rate: 12667 	 duration: 503 
rate: 7694 	 duration: 719 
rate: 10565 	 duration: 502 
rate: 5321 	 duration: 557 
rate: 8016 	 duration: 500 
rate: 6918 	 duration: 503 
rate: 3800 	 duration: 502 
rate: 11526 	 duration: 507 
rate: 16502 	 duration: 501 
rate: 12774 	 duration: 527 
rate: 18323 	 duration: 501 
rate: 17139 	 duration: 502 
rate: 9785 	 duration: 504 
rate: 2368 	 duration: 537 
rate: 3059 	 duration: 502 
rate: 8040 	 duration: 500 
rate: 22608 	 duration: 500 
rate: 16174 	 duration: 503 
rate: 7248 	 duration: 500 
rate: 22664 	 duration: 503 
rate: 10039 	 duration: 502 
rate: 11640 	 duration: 501 
rate: 19800 	 duration: 500 
rate: 21483 	 duration: 515 
rate: 6390 	 duration: 507 
rate: 10163 	 duration: 503 
rate: 11080 	 duration: 509 
rate: 15120 	 duration: 500 
rate: 15274 	 duration: 502 
rate: 9566 	 duration: 508 
rate: 8629 	 duration: 502 
rate: 17136 	 duration: 500 
rate: 21124 	 duration: 505 
rate: 18664 	 duration: 506 
rate: 16176 	 duration: 500 
rate: 11952 	 duration: 501 
rate: 16608 	 duration: 500 
rate: 9696 	 duration: 500 
rate: 11642 	 duration: 503 
rate: 6741 	 duration: 502 
rate: 13748 	 duration: 501 
rate: 18698 	 duration: 507 
rate: 14223 	 duration: 502 
rate: 13354 	 duration: 505 
rate: 18912 	 duration: 500 
rate: 16135 	 duration: 502 
rate: 12504 	 duration: 500 
rate: 10619 	 duration: 504 
rate: 9208 	 duration: 503 
rate: 8023 	 duration: 501 
rate: 10824 	 duration: 500 
rate: 10224 	 duration: 507 
rate: 9813 	 duration: 505 
rate: 11169 	 duration: 520 
rate: 13920 	 duration: 500 
rate: 15624 	 duration: 500 
rate: 3248 	 duration: 543 
