#t:nan-nan ; rate:nan-nan
rate: 2256 	 duration: 500 
rate: 16752 	 duration: 500 
rate: 15768 	 duration: 500 
rate: 2634 	 duration: 501 
rate: 15864 	 duration: 500 
rate: 14232 	 duration: 500 
rate: 9264 	 duration: 500 
rate: 9696 	 duration: 500 
rate: 14136 	 duration: 500 
rate: 6975 	 duration: 578 
rate: 19512 	 duration: 500 
rate: 12046 	 duration: 515 
rate: 3688 	 duration: 501 
rate: 17040 	 duration: 500 
rate: 10302 	 duration: 820 
rate: 10032 	 duration: 500 
rate: 15024 	 duration: 500 
rate: 15820 	 duration: 534 
rate: 2318 	 duration: 502 
rate: 11911 	 duration: 541 
rate: 19171 	 duration: 507 
rate: 7643 	 duration: 628 
rate: 1318 	 duration: 610 
rate: 13637 	 duration: 535 
rate: 5424 	 duration: 500 
rate: 16536 	 duration: 500 
rate: 9346 	 duration: 719 
rate: 5775 	 duration: 669 
rate: 16032 	 duration: 500 
rate: 8412 	 duration: 562 
rate: 7137 	 duration: 501 
rate: 17737 	 duration: 502 
rate: 19656 	 duration: 500 
rate: 6576 	 duration: 500 
rate: 13612 	 duration: 506 
rate: 2285 	 duration: 567 
rate: 8857 	 duration: 504 
rate: 4910 	 duration: 672 
rate: 12664 	 duration: 506 
rate: 2664 	 duration: 608 
rate: 4968 	 duration: 500 
rate: 10611 	 duration: 648 
rate: 3491 	 duration: 732 
rate: 5804 	 duration: 521 
rate: 7443 	 duration: 640 
rate: 1975 	 duration: 1221 
rate: 20688 	 duration: 500 
rate: 6366 	 duration: 573 
rate: 13296 	 duration: 500 
rate: 4348 	 duration: 1490 
rate: 12 	 duration: 992 
rate: 14 	 duration: 834 
rate: 20736 	 duration: 500 
rate: 8236 	 duration: 609 
rate: 36 	 duration: 999 
rate: 15 	 duration: 765 
rate: 17664 	 duration: 500 
rate: 20520 	 duration: 500 
rate: 6973 	 duration: 1442 
rate: 3466 	 duration: 502 
rate: 4989 	 duration: 582 
rate: 408 	 duration: 647 
rate: 15312 	 duration: 500 
rate: 11203 	 duration: 798 
rate: 3960 	 duration: 500 
rate: 20832 	 duration: 500 
rate: 6385 	 duration: 716 
rate: 5005 	 duration: 501 
rate: 18312 	 duration: 500 
rate: 2203 	 duration: 719 
rate: 2336 	 duration: 755 
rate: 7924 	 duration: 848 
rate: 9432 	 duration: 500 
rate: 6035 	 duration: 501 
rate: 8121 	 duration: 727 
rate: 1032 	 duration: 500 
rate: 6688 	 duration: 1080 
rate: 13365 	 duration: 501 
rate: 3089 	 duration: 1239 
rate: 6098 	 duration: 732 
rate: 4434 	 duration: 644 
rate: 2313 	 duration: 975 
rate: 10560 	 duration: 500 
rate: 1398 	 duration: 549 
rate: 1340 	 duration: 528 
rate: 16032 	 duration: 500 
rate: 4962 	 duration: 769 
