#t:nan-nan ; rate:nan-nan
rate: 3912 	 duration: 500 
rate: 955 	 duration: 779 
rate: 1104 	 duration: 500 
rate: 1289 	 duration: 512 
rate: 1048 	 duration: 561 
rate: 1307 	 duration: 835 
rate: 2649 	 duration: 933 
rate: 699 	 duration: 1030 
rate: 3528 	 duration: 500 
rate: 269 	 duration: 1112 
rate: 1928 	 duration: 753 
rate: 922 	 duration: 1015 
rate: 84 	 duration: 567 
rate: 2920 	 duration: 871 
rate: 549 	 duration: 502 
rate: 118 	 duration: 505 
rate: 1792 	 duration: 1004 
rate: 449 	 duration: 854 
rate: 4439 	 duration: 519 
rate: 1836 	 duration: 503 
rate: 45 	 duration: 533 
rate: 4624 	 duration: 506 
rate: 287 	 duration: 1002 
rate: 13 	 duration: 867 
rate: 1255 	 duration: 650 
rate: 422 	 duration: 710 
rate: 165 	 duration: 654 
rate: 204 	 duration: 999 
rate: 380 	 duration: 1294 
rate: 14 	 duration: 812 
rate: 1577 	 duration: 502 
rate: 59 	 duration: 1006 
rate: 12 	 duration: 995 
rate: 12 	 duration: 995 
rate: 12 	 duration: 999 
rate: 11 	 duration: 1014 
rate: 768 	 duration: 781 
rate: 215 	 duration: 1001 
rate: 50 	 duration: 1190 
rate: 1497 	 duration: 553 
rate: 1015 	 duration: 1004 
rate: 708 	 duration: 508 
rate: 16 	 duration: 720 
rate: 1293 	 duration: 640 
rate: 465 	 duration: 800 
rate: 68 	 duration: 1235 
rate: 11 	 duration: 1005 
rate: 284 	 duration: 885 
rate: 399 	 duration: 992 
rate: 229 	 duration: 940 
rate: 13 	 duration: 884 
rate: 502 	 duration: 859 
rate: 112 	 duration: 1071 
rate: 680 	 duration: 705 
rate: 1239 	 duration: 552 
rate: 1434 	 duration: 552 
rate: 333 	 duration: 720 
rate: 32 	 duration: 736 
rate: 2269 	 duration: 571 
rate: 396 	 duration: 756 
rate: 261 	 duration: 1056 
rate: 12 	 duration: 977 
rate: 11 	 duration: 1069 
rate: 12 	 duration: 980 
rate: 12 	 duration: 959 
rate: 13 	 duration: 876 
rate: 2101 	 duration: 628 
rate: 3766 	 duration: 599 
rate: 7257 	 duration: 501 
rate: 7944 	 duration: 500 
rate: 8820 	 duration: 502 
rate: 3412 	 duration: 742 
rate: 3696 	 duration: 500 
rate: 2796 	 duration: 927 
rate: 8064 	 duration: 500 
rate: 7616 	 duration: 501 
rate: 6738 	 duration: 504 
rate: 7560 	 duration: 500 
rate: 3168 	 duration: 500 
rate: 1373 	 duration: 603 
rate: 8191 	 duration: 501 
rate: 4000 	 duration: 603 
rate: 2811 	 duration: 508 
rate: 9144 	 duration: 500 
rate: 6635 	 duration: 548 
rate: 4032 	 duration: 500 
rate: 5676 	 duration: 501 
rate: 2544 	 duration: 514 
rate: 6384 	 duration: 500 
rate: 4622 	 duration: 501 
rate: 4584 	 duration: 500 
rate: 5845 	 duration: 544 
rate: 4048 	 duration: 913 
rate: 4224 	 duration: 500 
rate: 8858 	 duration: 508 
rate: 6833 	 duration: 518 
rate: 71 	 duration: 507 
rate: 4112 	 duration: 674 
rate: 8964 	 duration: 502 
rate: 7930 	 duration: 519 
rate: 8184 	 duration: 500 
rate: 6802 	 duration: 501 
rate: 7928 	 duration: 501 
rate: 9676 	 duration: 501 
rate: 7329 	 duration: 501 
rate: 4671 	 duration: 506 
rate: 5136 	 duration: 500 
rate: 5616 	 duration: 500 
rate: 6000 	 duration: 502 
rate: 8736 	 duration: 500 
rate: 2448 	 duration: 539 
rate: 7032 	 duration: 500 
rate: 8928 	 duration: 500 
rate: 6384 	 duration: 500 
rate: 8502 	 duration: 501 
rate: 7936 	 duration: 505 
rate: 6208 	 duration: 518 
rate: 6395 	 duration: 501 
rate: 3582 	 duration: 804 
rate: 8031 	 duration: 502 
rate: 6528 	 duration: 500 
rate: 5092 	 duration: 542 
rate: 6528 	 duration: 500 
rate: 6768 	 duration: 500 
rate: 8592 	 duration: 500 
rate: 6600 	 duration: 500 
rate: 1864 	 duration: 502 
rate: 9480 	 duration: 500 
rate: 4410 	 duration: 585 
rate: 6504 	 duration: 500 
rate: 6247 	 duration: 509 
rate: 8904 	 duration: 500 
rate: 9336 	 duration: 500 
rate: 6970 	 duration: 501 
rate: 8088 	 duration: 500 
rate: 5869 	 duration: 507 
rate: 8820 	 duration: 502 
rate: 5684 	 duration: 532 
rate: 6956 	 duration: 502 
rate: 3948 	 duration: 696 
rate: 3911 	 duration: 951 
rate: 8352 	 duration: 500 
rate: 10357 	 duration: 504 
rate: 10169 	 duration: 531 
rate: 10494 	 duration: 502 
rate: 4680 	 duration: 500 
rate: 9685 	 duration: 503 
rate: 9221 	 duration: 501 
rate: 10446 	 duration: 502 
rate: 8916 	 duration: 502 
rate: 2422 	 duration: 535 
rate: 9772 	 duration: 501 
