#t:nan-nan ; rate:nan-nan
rate: 15936 	 duration: 506 
rate: 11880 	 duration: 500 
rate: 28339 	 duration: 506 
rate: 31800 	 duration: 500 
rate: 27065 	 duration: 501 
rate: 29023 	 duration: 516 
rate: 18524 	 duration: 515 
rate: 22224 	 duration: 507 
rate: 21864 	 duration: 500 
rate: 21024 	 duration: 500 
rate: 19224 	 duration: 500 
rate: 20400 	 duration: 500 
rate: 13623 	 duration: 510 
rate: 21408 	 duration: 500 
rate: 25936 	 duration: 502 
rate: 30658 	 duration: 501 
rate: 26208 	 duration: 500 
rate: 17856 	 duration: 500 
rate: 12504 	 duration: 500 
rate: 9011 	 duration: 518 
rate: 9312 	 duration: 500 
rate: 8418 	 duration: 506 
rate: 9864 	 duration: 500 
rate: 11400 	 duration: 500 
rate: 9648 	 duration: 500 
rate: 10944 	 duration: 500 
rate: 11472 	 duration: 500 
rate: 11688 	 duration: 500 
rate: 5086 	 duration: 545 
rate: 13383 	 duration: 503 
rate: 13263 	 duration: 532 
rate: 17784 	 duration: 500 
rate: 16656 	 duration: 500 
rate: 15720 	 duration: 500 
rate: 9892 	 duration: 501 
rate: 8838 	 duration: 501 
rate: 6610 	 duration: 501 
rate: 4766 	 duration: 501 
rate: 2613 	 duration: 629 
rate: 3681 	 duration: 502 
rate: 3513 	 duration: 502 
rate: 2109 	 duration: 512 
rate: 5245 	 duration: 501 
rate: 5095 	 duration: 504 
rate: 2294 	 duration: 502 
rate: 2862 	 duration: 503 
rate: 2879 	 duration: 571 
rate: 2151 	 duration: 502 
rate: 5139 	 duration: 509 
rate: 3840 	 duration: 503 
rate: 2671 	 duration: 503 
rate: 1748 	 duration: 508 
rate: 1000 	 duration: 504 
rate: 381 	 duration: 535 
rate: 13 	 duration: 1800 
rate: 190 	 duration: 505 
rate: 582 	 duration: 515 
rate: 453 	 duration: 820 
rate: 883 	 duration: 530 
rate: 1125 	 duration: 512 
rate: 1197 	 duration: 501 
rate: 676 	 duration: 532 
rate: 452 	 duration: 584 
rate: 5166 	 duration: 504 
rate: 4704 	 duration: 500 
rate: 3120 	 duration: 500 
rate: 2496 	 duration: 500 
rate: 2754 	 duration: 501 
rate: 1835 	 duration: 510 
rate: 2964 	 duration: 506 
rate: 1988 	 duration: 513 
rate: 1829 	 duration: 505 
rate: 214 	 duration: 560 
rate: 32 	 duration: 1116 
rate: 1109 	 duration: 519 
rate: 209 	 duration: 515 
rate: 50 	 duration: 715 
rate: 18 	 duration: 665 
rate: 15 	 duration: 791 
rate: 418 	 duration: 1923 
rate: 2107 	 duration: 501 
rate: 828 	 duration: 666 
rate: 823 	 duration: 539 
rate: 1015 	 duration: 508 
rate: 962 	 duration: 511 
rate: 486 	 duration: 592 
rate: 787 	 duration: 503 
rate: 1669 	 duration: 503 
rate: 3166 	 duration: 504 
rate: 1579 	 duration: 509 
rate: 5112 	 duration: 500 
rate: 6840 	 duration: 500 
rate: 5760 	 duration: 500 
rate: 8544 	 duration: 500 
rate: 4952 	 duration: 504 
rate: 6131 	 duration: 501 
rate: 6792 	 duration: 500 
rate: 11184 	 duration: 500 
rate: 9298 	 duration: 502 
rate: 9024 	 duration: 500 
rate: 8016 	 duration: 500 
rate: 5169 	 duration: 506 
rate: 3544 	 duration: 501 
rate: 2832 	 duration: 500 
rate: 4239 	 duration: 501 
rate: 5904 	 duration: 500 
rate: 5988 	 duration: 501 
rate: 8314 	 duration: 521 
rate: 4560 	 duration: 500 
rate: 7440 	 duration: 500 
rate: 9624 	 duration: 500 
rate: 14232 	 duration: 500 
rate: 20544 	 duration: 500 
rate: 22032 	 duration: 500 
