#t:nan-nan ; rate:nan-nan
rate: 25285 	 duration: 504 
rate: 4008 	 duration: 500 
rate: 9072 	 duration: 500 
rate: 10231 	 duration: 502 
rate: 15408 	 duration: 500 
rate: 17304 	 duration: 500 
rate: 19195 	 duration: 502 
rate: 13872 	 duration: 500 
rate: 23544 	 duration: 500 
rate: 17304 	 duration: 500 
rate: 23016 	 duration: 500 
rate: 25680 	 duration: 500 
rate: 26232 	 duration: 500 
rate: 26184 	 duration: 500 
rate: 26016 	 duration: 500 
rate: 19920 	 duration: 500 
rate: 14736 	 duration: 500 
rate: 13437 	 duration: 501 
rate: 18227 	 duration: 501 
rate: 18792 	 duration: 500 
rate: 20760 	 duration: 500 
rate: 21748 	 duration: 501 
rate: 8760 	 duration: 500 
rate: 20712 	 duration: 500 
rate: 18621 	 duration: 502 
rate: 13416 	 duration: 500 
rate: 21336 	 duration: 500 
rate: 22740 	 duration: 505 
rate: 8784 	 duration: 500 
rate: 6698 	 duration: 507 
rate: 9456 	 duration: 500 
rate: 13992 	 duration: 506 
rate: 8928 	 duration: 500 
rate: 20112 	 duration: 500 
rate: 25224 	 duration: 500 
rate: 26184 	 duration: 500 
rate: 25728 	 duration: 500 
rate: 26304 	 duration: 500 
rate: 24240 	 duration: 500 
rate: 26184 	 duration: 500 
rate: 26256 	 duration: 500 
rate: 17720 	 duration: 516 
rate: 12024 	 duration: 500 
rate: 14031 	 duration: 508 
rate: 20280 	 duration: 500 
rate: 21576 	 duration: 500 
rate: 22440 	 duration: 500 
rate: 22488 	 duration: 500 
rate: 24192 	 duration: 500 
rate: 22032 	 duration: 500 
rate: 21288 	 duration: 500 
rate: 21912 	 duration: 500 
rate: 25704 	 duration: 500 
rate: 22392 	 duration: 500 
rate: 20664 	 duration: 500 
rate: 24264 	 duration: 500 
rate: 24480 	 duration: 500 
rate: 25968 	 duration: 500 
rate: 25440 	 duration: 500 
rate: 26448 	 duration: 500 
rate: 31008 	 duration: 500 
rate: 25872 	 duration: 500 
rate: 22368 	 duration: 500 
rate: 24288 	 duration: 500 
rate: 26496 	 duration: 500 
rate: 6907 	 duration: 509 
rate: 1399 	 duration: 506 
rate: 1887 	 duration: 534 
rate: 9384 	 duration: 500 
rate: 13056 	 duration: 500 
rate: 15456 	 duration: 500 
rate: 17568 	 duration: 500 
rate: 8016 	 duration: 500 
rate: 4391 	 duration: 511 
rate: 3544 	 duration: 501 
rate: 5280 	 duration: 500 
rate: 12573 	 duration: 502 
rate: 5858 	 duration: 553 
rate: 5868 	 duration: 503 
rate: 20376 	 duration: 500 
rate: 24048 	 duration: 500 
rate: 21216 	 duration: 500 
rate: 20280 	 duration: 500 
rate: 23760 	 duration: 500 
rate: 24288 	 duration: 500 
rate: 25104 	 duration: 500 
rate: 18456 	 duration: 500 
rate: 14467 	 duration: 501 
rate: 7728 	 duration: 500 
rate: 15024 	 duration: 500 
rate: 9912 	 duration: 500 
rate: 11640 	 duration: 500 
rate: 3124 	 duration: 507 
rate: 19824 	 duration: 500 
rate: 22008 	 duration: 500 
rate: 26160 	 duration: 500 
rate: 25584 	 duration: 500 
rate: 21984 	 duration: 500 
rate: 22272 	 duration: 500 
rate: 22992 	 duration: 500 
rate: 23424 	 duration: 500 
rate: 26472 	 duration: 500 
rate: 24312 	 duration: 500 
rate: 23400 	 duration: 500 
rate: 25272 	 duration: 500 
rate: 22848 	 duration: 500 
rate: 25728 	 duration: 500 
rate: 11642 	 duration: 503 
rate: 5448 	 duration: 500 
rate: 15857 	 duration: 504 
rate: 13314 	 duration: 502 
rate: 6168 	 duration: 500 
rate: 3551 	 duration: 544 
rate: 12744 	 duration: 500 
rate: 10059 	 duration: 501 
rate: 9580 	 duration: 501 
rate: 6282 	 duration: 510 
rate: 3092 	 duration: 520 
rate: 3768 	 duration: 500 
rate: 6070 	 duration: 508 
rate: 7392 	 duration: 500 
rate: 7488 	 duration: 500 
rate: 7714 	 duration: 504 
rate: 4455 	 duration: 501 
rate: 3326 	 duration: 505 
rate: 3375 	 duration: 519 
rate: 2059 	 duration: 501 
rate: 2760 	 duration: 500 
rate: 3624 	 duration: 500 
rate: 3137 	 duration: 501 
rate: 2329 	 duration: 510 
rate: 779 	 duration: 508 
rate: 882 	 duration: 503 
rate: 1142 	 duration: 525 
rate: 1622 	 duration: 503 
rate: 1059 	 duration: 521 
rate: 535 	 duration: 538 
rate: 322 	 duration: 670 
rate: 363 	 duration: 594 
rate: 504 	 duration: 500 
