#t:nan-nan ; rate:nan-nan
rate: 7944 	 duration: 500 
rate: 3864 	 duration: 503 
rate: 6816 	 duration: 500 
rate: 9375 	 duration: 503 
rate: 10231 	 duration: 502 
rate: 6140 	 duration: 514 
rate: 7745 	 duration: 502 
rate: 8646 	 duration: 501 
rate: 3184 	 duration: 505 
rate: 3136 	 duration: 505 
rate: 4742 	 duration: 501 
rate: 4804 	 duration: 502 
rate: 6023 	 duration: 502 
rate: 8496 	 duration: 500 
rate: 7928 	 duration: 501 
rate: 2538 	 duration: 501 
rate: 3745 	 duration: 503 
rate: 6936 	 duration: 500 
rate: 6936 	 duration: 500 
rate: 6312 	 duration: 500 
rate: 7176 	 duration: 500 
rate: 7673 	 duration: 502 
rate: 9192 	 duration: 500 
rate: 6024 	 duration: 500 
rate: 8127 	 duration: 502 
rate: 5280 	 duration: 500 
rate: 8688 	 duration: 500 
rate: 9000 	 duration: 500 
rate: 6970 	 duration: 501 
rate: 6264 	 duration: 500 
rate: 6696 	 duration: 500 
rate: 9600 	 duration: 500 
rate: 9864 	 duration: 500 
rate: 10706 	 duration: 501 
rate: 8774 	 duration: 506 
rate: 6528 	 duration: 500 
rate: 8736 	 duration: 500 
rate: 10440 	 duration: 500 
rate: 9600 	 duration: 500 
rate: 5941 	 duration: 509 
rate: 7416 	 duration: 500 
rate: 7104 	 duration: 500 
rate: 6288 	 duration: 500 
rate: 9245 	 duration: 501 
rate: 8135 	 duration: 503 
rate: 6782 	 duration: 506 
rate: 8112 	 duration: 500 
rate: 8664 	 duration: 500 
rate: 9240 	 duration: 500 
rate: 6938 	 duration: 505 
rate: 3880 	 duration: 501 
rate: 6764 	 duration: 502 
rate: 8136 	 duration: 500 
rate: 8904 	 duration: 500 
rate: 5785 	 duration: 504 
rate: 7344 	 duration: 500 
rate: 7632 	 duration: 500 
rate: 10008 	 duration: 500 
rate: 5654 	 duration: 503 
rate: 6459 	 duration: 522 
rate: 7968 	 duration: 500 
rate: 722 	 duration: 1728 
rate: 10824 	 duration: 500 
rate: 10754 	 duration: 501 
rate: 7152 	 duration: 500 
rate: 4095 	 duration: 504 
rate: 4272 	 duration: 500 
rate: 4556 	 duration: 553 
rate: 6901 	 duration: 506 
rate: 5880 	 duration: 504 
rate: 7000 	 duration: 504 
rate: 5040 	 duration: 500 
rate: 6096 	 duration: 500 
rate: 10320 	 duration: 500 
rate: 9168 	 duration: 500 
rate: 7872 	 duration: 500 
rate: 9394 	 duration: 502 
rate: 8278 	 duration: 503 
rate: 9705 	 duration: 502 
rate: 8509 	 duration: 502 
rate: 9552 	 duration: 500 
