#t:nan-nan ; rate:nan-nan
rate: 10032 	 duration: 500 
rate: 12672 	 duration: 500 
rate: 15264 	 duration: 500 
rate: 10007 	 duration: 506 
rate: 11928 	 duration: 506 
rate: 14007 	 duration: 502 
rate: 17016 	 duration: 500 
rate: 17880 	 duration: 500 
rate: 18096 	 duration: 500 
rate: 20928 	 duration: 500 
rate: 13622 	 duration: 503 
rate: 10608 	 duration: 500 
rate: 17424 	 duration: 500 
rate: 12720 	 duration: 500 
rate: 14592 	 duration: 500 
rate: 18048 	 duration: 500 
rate: 18768 	 duration: 500 
rate: 9312 	 duration: 500 
rate: 15432 	 duration: 500 
rate: 18096 	 duration: 500 
rate: 15624 	 duration: 500 
rate: 17568 	 duration: 500 
rate: 12576 	 duration: 500 
rate: 16104 	 duration: 500 
rate: 18216 	 duration: 500 
rate: 16728 	 duration: 500 
rate: 16657 	 duration: 505 
rate: 14952 	 duration: 500 
rate: 14688 	 duration: 500 
rate: 14904 	 duration: 500 
rate: 13908 	 duration: 503 
rate: 17256 	 duration: 500 
rate: 17784 	 duration: 500 
rate: 20760 	 duration: 500 
rate: 21264 	 duration: 500 
rate: 19147 	 duration: 502 
rate: 13556 	 duration: 501 
rate: 10019 	 duration: 503 
rate: 5448 	 duration: 500 
rate: 4491 	 duration: 505 
rate: 11023 	 duration: 504 
rate: 11040 	 duration: 500 
rate: 17880 	 duration: 500 
rate: 17760 	 duration: 500 
rate: 18251 	 duration: 501 
rate: 12383 	 duration: 501 
rate: 17544 	 duration: 500 
rate: 16632 	 duration: 500 
rate: 12310 	 duration: 503 
rate: 9384 	 duration: 500 
rate: 10704 	 duration: 500 
rate: 12119 	 duration: 502 
rate: 11112 	 duration: 500 
rate: 11112 	 duration: 500 
rate: 9432 	 duration: 500 
rate: 15288 	 duration: 500 
rate: 19281 	 duration: 501 
rate: 18480 	 duration: 500 
rate: 16560 	 duration: 500 
rate: 6047 	 duration: 502 
rate: 5666 	 duration: 504 
rate: 8208 	 duration: 500 
rate: 8239 	 duration: 501 
rate: 11400 	 duration: 500 
rate: 11573 	 duration: 534 
rate: 15736 	 duration: 501 
rate: 18048 	 duration: 500 
rate: 19104 	 duration: 500 
rate: 14423 	 duration: 505 
rate: 16494 	 duration: 502 
rate: 14376 	 duration: 500 
rate: 13104 	 duration: 500 
rate: 15312 	 duration: 500 
rate: 14424 	 duration: 500 
rate: 13652 	 duration: 501 
rate: 12120 	 duration: 500 
rate: 11664 	 duration: 500 
rate: 14400 	 duration: 500 
rate: 11808 	 duration: 500 
rate: 15432 	 duration: 500 
rate: 11952 	 duration: 502 
rate: 12431 	 duration: 501 
rate: 11065 	 duration: 501 
rate: 6864 	 duration: 500 
rate: 7632 	 duration: 500 
rate: 7080 	 duration: 500 
rate: 8150 	 duration: 505 
rate: 7449 	 duration: 501 
rate: 10019 	 duration: 503 
rate: 5964 	 duration: 501 
rate: 8540 	 duration: 503 
rate: 5424 	 duration: 500 
rate: 5520 	 duration: 500 
rate: 7704 	 duration: 500 
rate: 7688 	 duration: 501 
rate: 7296 	 duration: 500 
rate: 7152 	 duration: 505 
rate: 4752 	 duration: 500 
rate: 6653 	 duration: 505 
rate: 5293 	 duration: 501 
rate: 6131 	 duration: 501 
rate: 5251 	 duration: 537 
rate: 2857 	 duration: 525 
rate: 6519 	 duration: 508 
rate: 9000 	 duration: 500 
rate: 10586 	 duration: 501 
rate: 10954 	 duration: 505 
rate: 8716 	 duration: 508 
rate: 7801 	 duration: 503 
rate: 11305 	 duration: 501 
rate: 10163 	 duration: 503 
rate: 10416 	 duration: 500 
rate: 11160 	 duration: 500 
rate: 10032 	 duration: 500 
rate: 6334 	 duration: 502 
rate: 5712 	 duration: 500 
rate: 9916 	 duration: 501 
rate: 11976 	 duration: 500 
rate: 12720 	 duration: 500 
rate: 7377 	 duration: 501 
rate: 9532 	 duration: 501 
rate: 9264 	 duration: 500 
rate: 9729 	 duration: 502 
rate: 5917 	 duration: 507 
rate: 5762 	 duration: 506 
rate: 7392 	 duration: 500 
rate: 11304 	 duration: 500 
rate: 11165 	 duration: 503 
rate: 8568 	 duration: 500 
rate: 7736 	 duration: 501 
rate: 9720 	 duration: 500 
rate: 11328 	 duration: 500 
rate: 13128 	 duration: 500 
rate: 10512 	 duration: 500 
rate: 11352 	 duration: 500 
rate: 12598 	 duration: 501 
rate: 11472 	 duration: 500 
rate: 10800 	 duration: 500 
rate: 10056 	 duration: 500 
rate: 6166 	 duration: 506 
rate: 5952 	 duration: 510 
rate: 6634 	 duration: 501 
rate: 4134 	 duration: 505 
rate: 3480 	 duration: 500 
rate: 5437 	 duration: 512 
rate: 4948 	 duration: 502 
rate: 4776 	 duration: 500 
rate: 9192 	 duration: 500 
rate: 3544 	 duration: 501 
rate: 4536 	 duration: 500 
rate: 5582 	 duration: 503 
rate: 5227 	 duration: 505 
rate: 3696 	 duration: 500 
rate: 5413 	 duration: 501 
rate: 7007 	 duration: 536 
rate: 6216 	 duration: 500 
rate: 4502 	 duration: 501 
rate: 8814 	 duration: 501 
rate: 14059 	 duration: 501 
rate: 13632 	 duration: 500 
rate: 15480 	 duration: 500 
rate: 9113 	 duration: 503 
rate: 10754 	 duration: 501 
rate: 13197 	 duration: 501 
rate: 12574 	 duration: 501 
rate: 589 	 duration: 2159 
rate: 2223 	 duration: 529 
rate: 7752 	 duration: 500 
rate: 9912 	 duration: 500 
rate: 9504 	 duration: 500 
rate: 12744 	 duration: 500 
rate: 15257 	 duration: 501 
rate: 12264 	 duration: 500 
rate: 7007 	 duration: 512 
rate: 6576 	 duration: 500 
rate: 9360 	 duration: 500 
rate: 7248 	 duration: 500 
rate: 11568 	 duration: 500 
rate: 9864 	 duration: 500 
rate: 11904 	 duration: 501 
rate: 7832 	 duration: 501 
rate: 12072 	 duration: 500 
rate: 11664 	 duration: 500 
rate: 9752 	 duration: 502 
rate: 9360 	 duration: 500 
rate: 10902 	 duration: 503 
rate: 7434 	 duration: 502 
rate: 6480 	 duration: 500 
rate: 9192 	 duration: 500 
rate: 10752 	 duration: 500 
rate: 7824 	 duration: 500 
rate: 11274 	 duration: 513 
rate: 8404 	 duration: 514 
rate: 7776 	 duration: 500 
rate: 4344 	 duration: 511 
