#t:nan-nan ; rate:nan-nan
rate: 15544 	 duration: 501 
rate: 13314 	 duration: 502 
rate: 14299 	 duration: 501 
rate: 16039 	 duration: 505 
rate: 16656 	 duration: 500 
rate: 14528 	 duration: 503 
rate: 13724 	 duration: 501 
rate: 14610 	 duration: 501 
rate: 14640 	 duration: 500 
rate: 13080 	 duration: 500 
rate: 14616 	 duration: 500 
rate: 16159 	 duration: 502 
rate: 14328 	 duration: 500 
rate: 15370 	 duration: 502 
rate: 14664 	 duration: 500 
rate: 17304 	 duration: 500 
rate: 15161 	 duration: 501 
rate: 14976 	 duration: 500 
rate: 14136 	 duration: 500 
rate: 14208 	 duration: 500 
rate: 16080 	 duration: 500 
rate: 14040 	 duration: 500 
rate: 15005 	 duration: 527 
rate: 15216 	 duration: 500 
rate: 15840 	 duration: 500 
rate: 14424 	 duration: 500 
rate: 13800 	 duration: 500 
rate: 14952 	 duration: 500 
rate: 15633 	 duration: 502 
rate: 15288 	 duration: 500 
rate: 16814 	 duration: 501 
rate: 14656 	 duration: 533 
rate: 17664 	 duration: 500 
rate: 17256 	 duration: 500 
rate: 15137 	 duration: 501 
rate: 13778 	 duration: 533 
rate: 15912 	 duration: 500 
rate: 14496 	 duration: 500 
rate: 14208 	 duration: 500 
rate: 13824 	 duration: 500 
rate: 14155 	 duration: 501 
rate: 14880 	 duration: 500 
rate: 15120 	 duration: 500 
rate: 15785 	 duration: 504 
rate: 15528 	 duration: 500 
rate: 13488 	 duration: 500 
rate: 16056 	 duration: 500 
rate: 13632 	 duration: 500 
rate: 15268 	 duration: 503 
rate: 15408 	 duration: 500 
rate: 13632 	 duration: 500 
rate: 12311 	 duration: 501 
rate: 13944 	 duration: 500 
rate: 14184 	 duration: 500 
rate: 13820 	 duration: 501 
rate: 13392 	 duration: 500 
rate: 16464 	 duration: 500 
rate: 11472 	 duration: 500 
rate: 15035 	 duration: 502 
rate: 14778 	 duration: 501 
rate: 11144 	 duration: 505 
rate: 14256 	 duration: 500 
rate: 13296 	 duration: 500 
rate: 13512 	 duration: 500 
rate: 13529 	 duration: 502 
rate: 11053 	 duration: 520 
rate: 13049 	 duration: 503 
rate: 10541 	 duration: 502 
rate: 11120 	 duration: 505 
rate: 11664 	 duration: 500 
rate: 12936 	 duration: 500 
rate: 14472 	 duration: 500 
rate: 13824 	 duration: 500 
rate: 14328 	 duration: 500 
rate: 14664 	 duration: 500 
rate: 15856 	 duration: 501 
rate: 11185 	 duration: 501 
rate: 10536 	 duration: 500 
rate: 11424 	 duration: 500 
rate: 12120 	 duration: 500 
rate: 7553 	 duration: 502 
rate: 8311 	 duration: 501 
rate: 13704 	 duration: 500 
rate: 16584 	 duration: 500 
rate: 13992 	 duration: 500 
rate: 16176 	 duration: 500 
rate: 16294 	 duration: 503 
rate: 14616 	 duration: 500 
rate: 16080 	 duration: 500 
rate: 15720 	 duration: 500 
rate: 16128 	 duration: 500 
rate: 15664 	 duration: 501 
rate: 16032 	 duration: 500 
rate: 15712 	 duration: 501 
rate: 16080 	 duration: 500 
rate: 15960 	 duration: 500 
rate: 15384 	 duration: 500 
rate: 14688 	 duration: 500 
rate: 12569 	 duration: 506 
rate: 16440 	 duration: 500 
rate: 16231 	 duration: 502 
rate: 15401 	 duration: 501 
rate: 16248 	 duration: 500 
rate: 13523 	 duration: 512 
rate: 16872 	 duration: 500 
rate: 14592 	 duration: 500 
rate: 16392 	 duration: 500 
rate: 16224 	 duration: 500 
rate: 17304 	 duration: 500 
rate: 16560 	 duration: 500 
rate: 14472 	 duration: 500 
rate: 14928 	 duration: 500 
rate: 17712 	 duration: 500 
rate: 16886 	 duration: 501 
rate: 17592 	 duration: 500 
rate: 16848 	 duration: 500 
rate: 17160 	 duration: 500 
rate: 18358 	 duration: 502 
rate: 17880 	 duration: 500 
rate: 17496 	 duration: 500 
rate: 17616 	 duration: 500 
rate: 17496 	 duration: 500 
rate: 16574 	 duration: 501 
rate: 16584 	 duration: 500 
rate: 14318 	 duration: 502 
rate: 15288 	 duration: 500 
rate: 14808 	 duration: 500 
rate: 17880 	 duration: 500 
rate: 14467 	 duration: 501 
rate: 15216 	 duration: 500 
rate: 13944 	 duration: 500 
rate: 13464 	 duration: 500 
rate: 14832 	 duration: 500 
rate: 14928 	 duration: 500 
rate: 15720 	 duration: 500 
rate: 16733 	 duration: 502 
rate: 17088 	 duration: 500 
rate: 17424 	 duration: 500 
rate: 15432 	 duration: 500 
rate: 16536 	 duration: 500 
rate: 16608 	 duration: 500 
rate: 15336 	 duration: 500 
rate: 14352 	 duration: 500 
rate: 16488 	 duration: 500 
rate: 14712 	 duration: 500 
rate: 14719 	 duration: 503 
rate: 15888 	 duration: 500 
rate: 16598 	 duration: 501 
rate: 14844 	 duration: 502 
rate: 14352 	 duration: 500 
rate: 15329 	 duration: 501 
rate: 20688 	 duration: 500 
rate: 19368 	 duration: 500 
rate: 17688 	 duration: 500 
rate: 17808 	 duration: 500 
rate: 17424 	 duration: 500 
rate: 20448 	 duration: 500 
rate: 17016 	 duration: 500 
rate: 16080 	 duration: 500 
rate: 19128 	 duration: 500 
rate: 18168 	 duration: 500 
rate: 17976 	 duration: 500 
rate: 17856 	 duration: 502 
rate: 18696 	 duration: 500 
rate: 15683 	 duration: 505 
rate: 16311 	 duration: 501 
rate: 15377 	 duration: 501 
rate: 15984 	 duration: 500 
rate: 15192 	 duration: 500 
rate: 17904 	 duration: 500 
rate: 16632 	 duration: 500 
rate: 15672 	 duration: 500 
rate: 17784 	 duration: 500 
rate: 17043 	 duration: 502 
rate: 12360 	 duration: 500 
rate: 13437 	 duration: 501 
rate: 15240 	 duration: 500 
rate: 15408 	 duration: 500 
rate: 14184 	 duration: 500 
rate: 14376 	 duration: 500 
rate: 15912 	 duration: 500 
rate: 14784 	 duration: 500 
rate: 18144 	 duration: 500 
rate: 17568 	 duration: 500 
rate: 14064 	 duration: 500 
rate: 15792 	 duration: 500 
rate: 17619 	 duration: 504 
rate: 16080 	 duration: 500 
rate: 16248 	 duration: 500 
rate: 15576 	 duration: 500 
rate: 13752 	 duration: 500 
rate: 16032 	 duration: 500 
rate: 15168 	 duration: 500 
rate: 14247 	 duration: 502 
rate: 14743 	 duration: 503 
rate: 13704 	 duration: 500 
rate: 13293 	 duration: 501 
rate: 16128 	 duration: 500 
rate: 15096 	 duration: 500 
