#t:nan-nan ; rate:nan-nan
rate: 22512 	 duration: 500 
rate: 15384 	 duration: 500 
rate: 12048 	 duration: 500 
rate: 17640 	 duration: 500 
rate: 19272 	 duration: 500 
rate: 17040 	 duration: 500 
rate: 22896 	 duration: 500 
rate: 22447 	 duration: 518 
rate: 15752 	 duration: 502 
rate: 17616 	 duration: 500 
rate: 19944 	 duration: 500 
rate: 21360 	 duration: 500 
rate: 17256 	 duration: 500 
rate: 11376 	 duration: 500 
rate: 10680 	 duration: 500 
rate: 8640 	 duration: 500 
rate: 10802 	 duration: 501 
rate: 11328 	 duration: 500 
rate: 20376 	 duration: 500 
rate: 20088 	 duration: 500 
rate: 16680 	 duration: 500 
rate: 14832 	 duration: 500 
rate: 21168 	 duration: 500 
rate: 14760 	 duration: 500 
rate: 14880 	 duration: 500 
rate: 16800 	 duration: 500 
rate: 16824 	 duration: 500 
rate: 11856 	 duration: 500 
rate: 16584 	 duration: 500 
rate: 17378 	 duration: 502 
rate: 13077 	 duration: 501 
rate: 17508 	 duration: 501 
rate: 14424 	 duration: 500 
rate: 17496 	 duration: 500 
rate: 7392 	 duration: 500 
rate: 13368 	 duration: 500 
rate: 4134 	 duration: 505 
rate: 6744 	 duration: 500 
rate: 9336 	 duration: 500 
rate: 8904 	 duration: 500 
rate: 7824 	 duration: 500 
rate: 13800 	 duration: 500 
rate: 6288 	 duration: 500 
rate: 4592 	 duration: 533 
rate: 18576 	 duration: 500 
rate: 21888 	 duration: 500 
rate: 17400 	 duration: 500 
rate: 20256 	 duration: 500 
rate: 23832 	 duration: 500 
rate: 33192 	 duration: 500 
rate: 21144 	 duration: 500 
rate: 21240 	 duration: 500 
rate: 23472 	 duration: 500 
rate: 20424 	 duration: 500 
rate: 22872 	 duration: 500 
rate: 19224 	 duration: 500 
rate: 21576 	 duration: 500 
rate: 21720 	 duration: 500 
rate: 21168 	 duration: 500 
rate: 21120 	 duration: 500 
rate: 22200 	 duration: 500 
rate: 18720 	 duration: 500 
rate: 20712 	 duration: 500 
rate: 21240 	 duration: 500 
rate: 22608 	 duration: 500 
rate: 17376 	 duration: 500 
rate: 9792 	 duration: 500 
rate: 7104 	 duration: 500 
rate: 6600 	 duration: 500 
rate: 8929 	 duration: 512 
rate: 3968 	 duration: 505 
rate: 11160 	 duration: 500 
rate: 8324 	 duration: 542 
rate: 12120 	 duration: 500 
rate: 13568 	 duration: 505 
rate: 15744 	 duration: 500 
rate: 15720 	 duration: 500 
rate: 12864 	 duration: 500 
rate: 11304 	 duration: 500 
rate: 17784 	 duration: 502 
rate: 8287 	 duration: 514 
rate: 8688 	 duration: 500 
rate: 10176 	 duration: 500 
rate: 10733 	 duration: 502 
rate: 16824 	 duration: 500 
rate: 15585 	 duration: 502 
rate: 11568 	 duration: 500 
rate: 12887 	 duration: 514 
rate: 7195 	 duration: 507 
rate: 3681 	 duration: 502 
rate: 5430 	 duration: 506 
rate: 7056 	 duration: 500 
rate: 8160 	 duration: 500 
rate: 6251 	 duration: 501 
rate: 8261 	 duration: 520 
rate: 8712 	 duration: 500 
rate: 6768 	 duration: 500 
rate: 2544 	 duration: 500 
rate: 10632 	 duration: 500 
rate: 8040 	 duration: 500 
rate: 8143 	 duration: 501 
rate: 9120 	 duration: 500 
rate: 10425 	 duration: 503 
rate: 10163 	 duration: 503 
rate: 9096 	 duration: 500 
rate: 7728 	 duration: 500 
rate: 8694 	 duration: 501 
rate: 10200 	 duration: 500 
rate: 10296 	 duration: 500 
rate: 8160 	 duration: 500 
rate: 6960 	 duration: 500 
rate: 8448 	 duration: 500 
rate: 8827 	 duration: 503 
rate: 10258 	 duration: 503 
rate: 9776 	 duration: 502 
rate: 11064 	 duration: 500 
rate: 16270 	 duration: 503 
rate: 7368 	 duration: 500 
rate: 8976 	 duration: 500 
rate: 8790 	 duration: 501 
rate: 8784 	 duration: 500 
rate: 8605 	 duration: 502 
rate: 11664 	 duration: 500 
rate: 8520 	 duration: 500 
rate: 8766 	 duration: 501 
rate: 11209 	 duration: 501 
rate: 10207 	 duration: 502 
rate: 6047 	 duration: 502 
rate: 3445 	 duration: 505 
rate: 5224 	 duration: 503 
rate: 7729 	 duration: 503 
rate: 7392 	 duration: 500 
rate: 8622 	 duration: 501 
rate: 5304 	 duration: 500 
rate: 6934 	 duration: 507 
rate: 10440 	 duration: 500 
rate: 12190 	 duration: 504 
rate: 7888 	 duration: 502 
rate: 8191 	 duration: 501 
rate: 6341 	 duration: 509 
rate: 9333 	 duration: 504 
rate: 11043 	 duration: 502 
rate: 10706 	 duration: 501 
rate: 7080 	 duration: 500 
rate: 8278 	 duration: 503 
rate: 8260 	 duration: 507 
rate: 8856 	 duration: 500 
rate: 14588 	 duration: 510 
rate: 14778 	 duration: 501 
rate: 14160 	 duration: 500 
rate: 12576 	 duration: 500 
rate: 18096 	 duration: 500 
rate: 12696 	 duration: 500 
rate: 6023 	 duration: 504 
rate: 5043 	 duration: 502 
rate: 8856 	 duration: 500 
rate: 9493 	 duration: 517 
rate: 10344 	 duration: 500 
rate: 12982 	 duration: 513 
rate: 11496 	 duration: 500 
rate: 7968 	 duration: 500 
rate: 12641 	 duration: 505 
rate: 10704 	 duration: 500 
rate: 15456 	 duration: 500 
rate: 19800 	 duration: 500 
rate: 17760 	 duration: 500 
rate: 23688 	 duration: 500 
rate: 20184 	 duration: 500 
rate: 18744 	 duration: 500 
rate: 23856 	 duration: 500 
rate: 21600 	 duration: 500 
rate: 12456 	 duration: 500 
rate: 19440 	 duration: 500 
rate: 21624 	 duration: 500 
rate: 19032 	 duration: 500 
rate: 20664 	 duration: 500 
rate: 20688 	 duration: 500 
rate: 20304 	 duration: 500 
rate: 23472 	 duration: 500 
rate: 19488 	 duration: 500 
rate: 22824 	 duration: 500 
rate: 22824 	 duration: 500 
rate: 19416 	 duration: 500 
rate: 18480 	 duration: 500 
rate: 17928 	 duration: 500 
rate: 18480 	 duration: 500 
rate: 21216 	 duration: 500 
rate: 19968 	 duration: 500 
rate: 19904 	 duration: 501 
rate: 21888 	 duration: 500 
rate: 18730 	 duration: 501 
rate: 21120 	 duration: 500 
rate: 20736 	 duration: 500 
rate: 20016 	 duration: 500 
rate: 19272 	 duration: 500 
rate: 23976 	 duration: 500 
rate: 17664 	 duration: 500 
rate: 21696 	 duration: 500 
rate: 21000 	 duration: 500 
