rate: 1686314 	 duration: 916 
rate: 1685746 	 duration: 930 
rate: 1683920 	 duration: 959 
rate: 1686026 	 duration: 901 
rate: 1685062 	 duration: 920 
rate: 1685196 	 duration: 888 
rate: 1686442 	 duration: 901 
rate: 1686438 	 duration: 917 
rate: 1685002 	 duration: 940 
rate: 1685657 	 duration: 924 
rate: 1687094 	 duration: 881 
rate: 1684761 	 duration: 931 
rate: 1684788 	 duration: 887 
rate: 1686367 	 duration: 901 
rate: 1685372 	 duration: 926 
rate: 1685737 	 duration: 938 
rate: 1686510 	 duration: 913 
rate: 1685787 	 duration: 931 
rate: 1685282 	 duration: 900 
rate: 1684815 	 duration: 956 
rate: 1685483 	 duration: 951 
rate: 1684624 	 duration: 885 
rate: 1685357 	 duration: 898 
rate: 1686698 	 duration: 903 
rate: 1685774 	 duration: 884 
rate: 1685263 	 duration: 959 
rate: 1685897 	 duration: 911 
rate: 1686341 	 duration: 925 
rate: 1685622 	 duration: 931 
rate: 1685634 	 duration: 927 
rate: 1684342 	 duration: 910 
rate: 1684421 	 duration: 941 
rate: 1685070 	 duration: 889 
rate: 1686691 	 duration: 920 
rate: 1684137 	 duration: 904 
rate: 1686427 	 duration: 925 
rate: 1686151 	 duration: 918 
rate: 1684947 	 duration: 934 
rate: 1683505 	 duration: 953 
rate: 1685659 	 duration: 938 
rate: 1686499 	 duration: 916 
rate: 1686248 	 duration: 938 
rate: 1685588 	 duration: 908 
rate: 1686275 	 duration: 932 
rate: 1686866 	 duration: 952 
rate: 1684571 	 duration: 897 
rate: 1686049 	 duration: 886 
rate: 1685371 	 duration: 934 
rate: 1684585 	 duration: 898 
rate: 1685012 	 duration: 910 
rate: 1684603 	 duration: 894 
rate: 1686509 	 duration: 928 
rate: 1684956 	 duration: 920 
rate: 1684582 	 duration: 958 
rate: 1684986 	 duration: 883 
rate: 1685292 	 duration: 919 
rate: 1685269 	 duration: 923 
rate: 1685680 	 duration: 897 
rate: 1683986 	 duration: 902 
rate: 1685041 	 duration: 881 
rate: 1682315 	 duration: 902 
rate: 1687012 	 duration: 883 
rate: 1684493 	 duration: 959 
rate: 1685649 	 duration: 948 
rate: 1686158 	 duration: 896 
rate: 1684226 	 duration: 907 
rate: 1685015 	 duration: 934 
rate: 1685908 	 duration: 925 
rate: 1685182 	 duration: 959 
rate: 1685036 	 duration: 931 
rate: 1686833 	 duration: 923 
rate: 1686926 	 duration: 886 
rate: 1684672 	 duration: 931 
rate: 1685848 	 duration: 940 
rate: 1685510 	 duration: 903 
rate: 1684156 	 duration: 928 
rate: 1686373 	 duration: 934 
rate: 1686457 	 duration: 903 
rate: 1687093 	 duration: 912 
rate: 1687205 	 duration: 939 
rate: 1686152 	 duration: 909 
rate: 1686124 	 duration: 905 
rate: 1685485 	 duration: 886 
rate: 1687159 	 duration: 950 
rate: 1684421 	 duration: 922 
rate: 1687710 	 duration: 916 
rate: 1685477 	 duration: 938 
rate: 1684603 	 duration: 941 
rate: 1684300 	 duration: 916 
rate: 1685772 	 duration: 958 
rate: 1684389 	 duration: 913 
rate: 1686124 	 duration: 898 
rate: 1686021 	 duration: 886 
rate: 1684551 	 duration: 959 
rate: 1686002 	 duration: 890 
rate: 1684563 	 duration: 959 
rate: 1685319 	 duration: 932 
rate: 1684321 	 duration: 918 
rate: 1684441 	 duration: 910 
rate: 1685461 	 duration: 954 
rate: 1682642 	 duration: 912 
rate: 1686566 	 duration: 930 
rate: 1687090 	 duration: 947 
rate: 1685562 	 duration: 942 
rate: 1684666 	 duration: 934 
rate: 1685458 	 duration: 906 
rate: 1686914 	 duration: 897 
rate: 1684624 	 duration: 901 
